model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,36,13899,RAW,IV,2,ate,price,anticommonsense,KEEP,no,no,1,1,144,337,
gpt-4.1-nano,36,13899,ORACLE,IV,2,ate,price,anticommonsense,KEEP,no,no,1,1,187,630,
gpt-4.1-nano,36,13899,DR_k1,IV,2,ate,price,anticommonsense,KEEP,no,no,1,1,188,562,
gpt-4.1-nano,36,13899,DR_k2,IV,2,ate,price,anticommonsense,KEEP,no,,0,0,188,700,
gpt-4.1-nano,36,13899,DR_k3,IV,2,ate,price,anticommonsense,KEEP,no,no,1,1,182,387,
gpt-4.1-nano,37,9467,RAW,IV,2,ate,water_cholera,hard,KEEP,no,no,1,1,147,446,
gpt-4.1-nano,37,9467,ORACLE,IV,2,ate,water_cholera,hard,KEEP,no,yes,0,1,195,528,
gpt-4.1-nano,37,9467,DR_k1,IV,2,ate,water_cholera,hard,KEEP,no,no,1,1,194,535,
gpt-4.1-nano,37,9467,DR_k2,IV,2,ate,water_cholera,hard,KEEP,no,yes,0,1,193,585,
gpt-4.1-nano,37,9467,DR_k3,IV,2,ate,water_cholera,hard,KEEP,no,no,1,1,193,630,
gpt-4.1-nano,38,8277,RAW,IV,2,ate,price,hard,KEEP,no,no,1,1,144,428,
gpt-4.1-nano,38,8277,ORACLE,IV,2,ate,price,hard,KEEP,no,no,1,1,187,635,
gpt-4.1-nano,38,8277,DR_k1,IV,2,ate,price,hard,KEEP,no,no,1,1,187,498,
gpt-4.1-nano,38,8277,DR_k2,IV,2,ate,price,hard,KEEP,no,no,1,1,187,578,
gpt-4.1-nano,38,8277,DR_k3,IV,2,ate,price,hard,KEEP,no,no,1,1,187,600,
gpt-4.1-nano,42,16786,RAW,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,146,444,
gpt-4.1-nano,42,16786,ORACLE,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,201,469,
gpt-4.1-nano,42,16786,DR_k1,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,203,545,
gpt-4.1-nano,42,16786,DR_k2,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,207,350,
gpt-4.1-nano,42,16786,DR_k3,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,207,471,
