model,lexicon,cond,item,old_pred,new_pred,old_correct,new_correct
gpt-4.1-nano,KEEP,RAW,20,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,21,no,yes,1,0
gpt-4.1-nano,KEEP,RAW,23,no,no,1,1
gpt-4.1-nano,KEEP,RAW,24,no,no,0,0
gpt-4.1-nano,KEEP,RAW,26,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,29,no,no,1,1
gpt-4.1-nano,KEEP,RAW,32,no,no,1,1
gpt-4.1-nano,KEEP,RAW,33,no,no,0,0
gpt-4.1-nano,KEEP,RAW,34,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,35,no,no,0,0
gpt-4.1-nano,KEEP,RAW,37,no,no,1,1
gpt-4.1-nano,KEEP,RAW,38,no,no,1,1
gpt-4.1-nano,KEEP,RAW,39,no,no,1,1
gpt-4.1-nano,KEEP,RAW,40,no,no,0,0
gpt-4.1-nano,KEEP,RAW,41,yes,no,1,0
gpt-4.1-nano,KEEP,RAW,42,no,yes,1,0
gpt-4.1-nano,KEEP,RAW,43,yes,no,1,0
gpt-4.1-nano,KEEP,RAW,44,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,45,yes,no,0,1
gpt-4.1-nano,KEEP,RAW,46,yes,no,0,1
gpt-4.1-nano,KEEP,RAW,47,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,48,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,49,no,no,1,1
gpt-4.1-nano,KEEP,RAW,50,no,no,0,0
gpt-4.1-nano,KEEP,RAW,51,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,52,no,no,1,1
gpt-4.1-nano,KEEP,RAW,53,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,54,no,no,1,1
gpt-4.1-nano,KEEP,RAW,55,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,56,no,no,1,1
gpt-4.1-nano,KEEP,RAW,80,no,no,1,1
gpt-4.1-nano,KEEP,RAW,81,no,no,1,1
gpt-4.1-nano,KEEP,RAW,82,no,no,1,1
gpt-4.1-nano,KEEP,RAW,83,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,86,no,no,1,1
gpt-4.1-nano,KEEP,RAW,87,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,88,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,89,no,no,1,1
gpt-4.1-nano,KEEP,RAW,91,no,no,1,1
gpt-4.1-nano,KEEP,RAW,94,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,95,no,no,1,1
gpt-4.1-nano,KEEP,RAW,96,no,no,1,1
gpt-4.1-nano,KEEP,RAW,97,,,0,0
gpt-4.1-nano,KEEP,RAW,98,yes,no,1,0
