model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,19800,RAW_CLEAN,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,yes,0,1,103,174,
gpt-4.1-nano,1,4782,RAW_CLEAN,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,103,228,
gpt-4.1-nano,2,19758,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,111,575,
gpt-4.1-nano,3,4655,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,110,281,
gpt-4.1-nano,4,9401,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,yes,0,1,112,186,
gpt-4.1-nano,5,4711,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,110,235,
gpt-4.1-nano,6,16813,RAW_CLEAN,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,116,3,
gpt-4.1-nano,7,15133,RAW_CLEAN,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,no,1,1,136,700,
gpt-4.1-nano,8,13835,RAW_CLEAN,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,134,217,
gpt-4.1-nano,9,19839,RAW_CLEAN,IV,2,backadj,water_cholera,anticommonsense,PSEUDO,yes,no,0,1,122,3,
gpt-4.1-nano,10,4741,RAW_CLEAN,IV,2,ate,water_cholera,easy,PSEUDO,no,no,1,1,139,671,
gpt-4.1-nano,11,9410,RAW_CLEAN,IV,2,ate,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,131,327,
gpt-4.1-nano,12,10311,RAW_CLEAN,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,PSEUDO,no,no,1,1,107,433,
gpt-4.1-nano,13,20753,RAW_CLEAN,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,no,no,1,1,113,416,
gpt-4.1-nano,14,20742,RAW_CLEAN,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,113,320,
gpt-4.1-nano,15,20143,RAW_CLEAN,IV,3,det-counterfactual,cholesterol,anticommonsense,PSEUDO,yes,yes,1,1,108,417,
gpt-4.1-nano,16,9804,RAW_CLEAN,IV,3,det-counterfactual,college_wage,commonsense,PSEUDO,no,yes,0,1,115,343,
gpt-4.1-nano,17,10048,RAW_CLEAN,IV,3,det-counterfactual,price,commonsense,PSEUDO,no,yes,0,1,110,592,
gpt-4.1-nano,18,3257,RAW_CLEAN,arrowhead,1,marginal,obesity_mortality,easy,PSEUDO,no,,0,0,105,700,
gpt-4.1-nano,19,7727,RAW_CLEAN,arrowhead,1,marginal,nature_vs_nurture,hard,PSEUDO,no,no,1,1,108,272,
gpt-4.1-nano,20,19542,RAW_CLEAN,arrowhead,1,marginal,smoking_gene_cancer,anticommonsense,PSEUDO,no,yes,0,1,111,627,
gpt-4.1-nano,21,13243,RAW_CLEAN,arrowhead,1,correlation,nature_vs_nurture,anticommonsense,PSEUDO,no,no,1,1,103,220,
gpt-4.1-nano,22,18339,RAW_CLEAN,arrowhead,1,marginal,obesity_mortality,anticommonsense,PSEUDO,no,no,1,1,112,234,
gpt-4.1-nano,23,19527,RAW_CLEAN,arrowhead,1,marginal,smoking_gene_cancer,anticommonsense,PSEUDO,yes,no,0,1,112,393,
gpt-4.1-nano,24,17802,RAW_CLEAN,arrowhead,2,backadj,gender_pay,anticommonsense,PSEUDO,no,yes,0,1,122,3,
gpt-4.1-nano,25,7137,RAW_CLEAN,arrowhead,2,backadj,gender_admission_state,hard,PSEUDO,yes,no,0,1,116,3,
gpt-4.1-nano,26,12885,RAW_CLEAN,arrowhead,2,ate,gender_pay,anticommonsense,PSEUDO,yes,yes,1,1,99,72,
gpt-4.1-nano,27,7599,RAW_CLEAN,arrowhead,2,ate,nature_vs_nurture,hard,PSEUDO,yes,yes,1,1,97,1,
gpt-4.1-nano,28,2356,RAW_CLEAN,arrowhead,2,ate,gender_admission_state,easy,PSEUDO,yes,no,0,1,97,67,
gpt-4.1-nano,29,4313,RAW_CLEAN,arrowhead,2,backadj,smoking_gene_cancer,easy,PSEUDO,no,no,1,1,127,3,
gpt-4.1-nano,30,9885,RAW_CLEAN,arrowhead,3,det-counterfactual,gender_admission_state,commonsense,PSEUDO,no,yes,0,1,107,327,
gpt-4.1-nano,31,19218,RAW_CLEAN,arrowhead,3,nde,smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,252,700,
gpt-4.1-nano,32,17732,RAW_CLEAN,arrowhead,3,nie,gender_pay,anticommonsense,PSEUDO,no,no,1,1,256,507,
gpt-4.1-nano,33,20254,RAW_CLEAN,arrowhead,3,det-counterfactual,gender_admission_state,anticommonsense,PSEUDO,no,no,1,1,108,660,
