model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error,provider,finish,reason_tok,usd,answer_from,temperature,max_tokens
meta-llama/llama-3.3-70b-instruct,20,8239,PROSE,IV,2,ate,price,hard,PSEUDO,yes,yes,1,1,193,348,,Novita,stop,0,0.000165255,content,0.0,700
meta-llama/llama-3.3-70b-instruct,20,8239,RAW,IV,2,ate,price,hard,PSEUDO,yes,no,0,1,155,269,,Novita,stop,0,0.000128525,content,0.0,700
meta-llama/llama-3.3-70b-instruct,20,8239,ORACLE,IV,2,ate,price,hard,PSEUDO,yes,no,0,1,208,455,,Novita,stop,0,0.00021008,content,0.0,700
meta-llama/llama-3.3-70b-instruct,20,8239,DR_k1,IV,2,ate,price,hard,PSEUDO,yes,no,0,1,207,345,,Novita,stop,0,0.000165945,content,0.0,700
meta-llama/llama-3.3-70b-instruct,21,19806,PROSE,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,187,545,,Novita,stop,0,0.000243245,content,0.0,700
meta-llama/llama-3.3-70b-instruct,21,19806,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,149,319,,Novita,stop,0,0.000147715,content,0.0,700
meta-llama/llama-3.3-70b-instruct,21,19806,ORACLE,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,202,448,,Novita,stop,0,0.00020647,content,0.0,700
meta-llama/llama-3.3-70b-instruct,21,19806,DR_k1,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,203,644,,Novita,stop,0,0.000285005,content,0.0,700
meta-llama/llama-3.3-70b-instruct,23,16818,PROSE,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,187,459,,Novita,stop,0,0.000208845,content,0.0,700
meta-llama/llama-3.3-70b-instruct,23,16818,RAW,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,149,584,,Novita,stop,0,0.000253715,content,0.0,700
meta-llama/llama-3.3-70b-instruct,23,16818,ORACLE,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,202,473,,Novita,stop,0,0.00021647,content,0.0,700
meta-llama/llama-3.3-70b-instruct,23,16818,DR_k1,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,201,329,,Novita,stop,0,0.000158735,content,0.0,700
meta-llama/llama-3.3-70b-instruct,24,19796,PROSE,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,188,317,,Novita,stop,0,0.00015218,content,0.0,700
meta-llama/llama-3.3-70b-instruct,24,19796,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,148,528,,Novita,stop,0,0.00023118,content,0.0,700
meta-llama/llama-3.3-70b-instruct,24,19796,ORACLE,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,203,405,,Novita,stop,0,0.000189405,content,0.0,700
meta-llama/llama-3.3-70b-instruct,24,19796,DR_k1,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,203,281,,Novita,stop,0,0.000139805,content,0.0,700
meta-llama/llama-3.3-70b-instruct,26,6588,PROSE,IV,2,ate,college_wage,hard,PSEUDO,yes,yes,1,1,187,433,,Novita,stop,0,0.000198445,content,0.0,700
meta-llama/llama-3.3-70b-instruct,26,6588,RAW,IV,2,ate,college_wage,hard,PSEUDO,yes,no,0,1,149,517,,Novita,stop,0,0.000226915,content,0.0,700
meta-llama/llama-3.3-70b-instruct,26,6588,ORACLE,IV,2,ate,college_wage,hard,PSEUDO,yes,no,0,1,202,643,,Novita,stop,0,0.00028447,content,0.0,700
meta-llama/llama-3.3-70b-instruct,26,6588,DR_k1,IV,2,ate,college_wage,hard,PSEUDO,yes,yes,1,1,202,495,,Novita,stop,0,0.00022527,content,0.0,700
meta-llama/llama-3.3-70b-instruct,29,1591,PROSE,IV,2,ate,cholesterol,easy,PSEUDO,no,yes,0,1,191,290,,Novita,stop,0,0.000141785,content,0.0,700
meta-llama/llama-3.3-70b-instruct,29,1591,RAW,IV,2,ate,cholesterol,easy,PSEUDO,no,no,1,1,152,456,,Novita,stop,0,0.00020292,content,0.0,700
meta-llama/llama-3.3-70b-instruct,29,1591,ORACLE,IV,2,ate,cholesterol,easy,PSEUDO,no,no,1,1,206,543,,Novita,stop,0,0.00024501,content,0.0,700
meta-llama/llama-3.3-70b-instruct,29,1591,DR_k1,IV,2,ate,cholesterol,easy,PSEUDO,no,no,1,1,198,536,,Novita,stop,0,0.00024113,content,0.0,700
meta-llama/llama-3.3-70b-instruct,32,15108,PROSE,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,yes,0,1,190,516,,Novita,stop,0,0.00023205,content,0.0,700
