item,story,cond,lexicon,gold,n_nodes,has_data,path,model,pred,parsed,correct,in_tok,out_tok,error,provider,finish,usd,max_tokens
182,"the final grade of the student | whether a student studies for an exam | whether the student is well-prepared | whether the student performs well on the exam | whether the student understands the material || AB,AC,AD,BC,BD,BE,CD,DE",RAW,KEEP,no,5,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,316,761,,Novita,stop,0.00034706,1500
359,"amount of trash left on the beach | number of people going to the beach | weather conditions || AB,AC,BC",ORACLE,KEEP,yes,3,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,350,792,,Novita,stop,0.00036405,1500
422,"availability of alternative routes | road construction | traffic congestion | travel time to destination || AB,AC,AD,BD,CD",RAW,KEEP,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,256,731,,Novita,stop,0.00032696,1500
748,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",RAW,KEEP,yes,5,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,298,731,,Novita,stop,0.00033263,1500
821,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",ORACLE,KEEP,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,389,721,,Novita,stop,0.000340915,1500
913,"a person's education level | a person's financial stability | a person's income | a person's job status || AB,AC,AD,BC",RAW,KEEP,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,280,756,,Novita,stop,0.0003402,1500
960,"a manufacturing plant | the efficiency of the plant's machinery | the overall profitability of the plant | the production output of the plant || AB,AC,AD,BC,BD",RAW,KEEP,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,286,856,,Novita,stop,0.00038101,1500
1111,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",RAW,KEEP,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,310,636,,Novita,stop,0.00029625,1500
1111,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",ORACLE,KEEP,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,389,621,,Novita,stop,0.000300915,1500
1344,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",RAW,KEEP,no,5,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,298,739,,Novita,stop,0.00033583,1500
1356,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",RAW,KEEP,no,4,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,310,580,,Novita,stop,0.00027385,1500
1369,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",RAW,KEEP,yes,5,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,298,736,,Novita,stop,0.00033463,1500
1369,"the amount of exercise a person does | the person's cardiovascular health | the person's immune system | the person's overall health | the person's respiratory health || AB,AD,BC,BE,CD,CE,DE",ORACLE,KEEP,yes,5,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,397,525,,Novita,stop,0.000263595,1500
1446,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",ORACLE,KEEP,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,371,699,,Novita,stop,0.000329685,1500
1476,"crop yield | the amount of rainfall | the soil moisture level || AB,AC,BC",RAW,KEEP,no,3,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,256,825,,Novita,stop,0.00036456,1500
1476,"crop yield | the amount of rainfall | the soil moisture level || AB,AC,BC",ORACLE,KEEP,no,3,True,True,meta-llama/llama-3.3-70b-instruct,no,1,1,300,550,,Novita,stop,0.0002605,1500
1523,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",RAW,KEEP,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,310,764,,Novita,stop,0.00034745,1500
1578,"a manufacturing plant | the efficiency of the plant's machinery | the overall profitability of the plant | the production output of the plant || AB,AC,AD,BC,BD",RAW,KEEP,yes,4,True,True,meta-llama/llama-3.3-70b-instruct,yes,1,1,292,778,,Novita,stop,0.00035062,1500
