item,family,query_type,cond,arm,k,estimand_unchanged,touches_causal_path,strict_unchanged,unchanged_qt
0,IV,correlation,DR_k1,DR,1,False,True,False,False
0,IV,correlation,DR_k2,DR,2,False,True,False,False
0,IV,correlation,DR_k3,DR,3,False,True,False,False
0,IV,correlation,ED_k1,ED,1,False,True,False,False
0,IV,correlation,ED_k2,ED,2,False,False,False,False
0,IV,correlation,ED_k3,ED,3,False,True,False,False
0,IV,correlation,FE_k1,FE,1,True,False,True,True
0,IV,correlation,FE_k2,FE,2,False,False,False,False
1,IV,correlation,DR_k1,DR,1,False,True,False,False
1,IV,correlation,DR_k2,DR,2,False,True,False,False
1,IV,correlation,DR_k3,DR,3,False,True,False,False
1,IV,correlation,ED_k1,ED,1,True,False,True,True
1,IV,correlation,ED_k2,ED,2,False,False,False,False
1,IV,correlation,ED_k3,ED,3,False,True,False,False
1,IV,correlation,FE_k1,FE,1,True,False,True,True
1,IV,correlation,FE_k2,FE,2,False,False,False,False
2,IV,marginal,DR_k1,DR,1,False,True,False,False
2,IV,marginal,DR_k2,DR,2,False,True,False,False
2,IV,marginal,DR_k3,DR,3,False,True,False,False
2,IV,marginal,ED_k1,ED,1,False,True,False,False
2,IV,marginal,ED_k2,ED,2,False,True,False,False
2,IV,marginal,ED_k3,ED,3,False,True,False,False
2,IV,marginal,FE_k1,FE,1,True,False,True,True
2,IV,marginal,FE_k2,FE,2,False,False,False,False
3,IV,marginal,DR_k1,DR,1,False,True,False,False
3,IV,marginal,DR_k2,DR,2,False,True,False,False
3,IV,marginal,DR_k3,DR,3,False,True,False,False
3,IV,marginal,ED_k1,ED,1,False,True,False,False
3,IV,marginal,ED_k2,ED,2,False,True,False,False
3,IV,marginal,ED_k3,ED,3,False,True,False,False
3,IV,marginal,FE_k1,FE,1,True,False,True,True
3,IV,marginal,FE_k2,FE,2,False,False,False,False
4,IV,marginal,DR_k1,DR,1,False,True,False,False
4,IV,marginal,DR_k2,DR,2,False,True,False,False
4,IV,marginal,DR_k3,DR,3,False,True,False,False
4,IV,marginal,ED_k1,ED,1,False,False,False,False
4,IV,marginal,ED_k2,ED,2,False,True,False,False
4,IV,marginal,ED_k3,ED,3,False,True,False,False
4,IV,marginal,FE_k1,FE,1,True,False,True,True
4,IV,marginal,FE_k2,FE,2,False,False,False,False
5,IV,marginal,DR_k1,DR,1,False,True,False,False
5,IV,marginal,DR_k2,DR,2,False,True,False,False
5,IV,marginal,DR_k3,DR,3,False,True,False,False
5,IV,marginal,ED_k1,ED,1,False,True,False,False
5,IV,marginal,ED_k2,ED,2,False,True,False,False
5,IV,marginal,ED_k3,ED,3,False,False,False,False
5,IV,marginal,FE_k1,FE,1,True,False,True,True
5,IV,marginal,FE_k2,FE,2,False,False,False,False
6,IV,marginal,DR_k1,DR,1,False,True,False,False
6,IV,marginal,DR_k2,DR,2,False,True,False,False
6,IV,marginal,DR_k3,DR,3,False,True,False,False
6,IV,marginal,ED_k1,ED,1,False,False,False,False
6,IV,marginal,ED_k2,ED,2,False,False,False,False
6,IV,marginal,ED_k3,ED,3,False,False,False,False
6,IV,marginal,FE_k1,FE,1,True,False,True,True
6,IV,marginal,FE_k2,FE,2,False,False,False,False
7,IV,correlation,DR_k1,DR,1,False,True,False,False
7,IV,correlation,DR_k2,DR,2,False,True,False,False
7,IV,correlation,DR_k3,DR,3,False,True,False,False
7,IV,correlation,ED_k1,ED,1,False,True,False,False
7,IV,correlation,ED_k2,ED,2,False,False,False,False
7,IV,correlation,ED_k3,ED,3,False,False,False,False
7,IV,correlation,FE_k1,FE,1,True,False,True,True
7,IV,correlation,FE_k2,FE,2,False,False,False,False
8,IV,correlation,DR_k1,DR,1,False,True,False,False
8,IV,correlation,DR_k2,DR,2,False,True,False,False
8,IV,correlation,DR_k3,DR,3,False,True,False,False
8,IV,correlation,ED_k1,ED,1,False,False,False,False
8,IV,correlation,ED_k2,ED,2,False,False,False,False
8,IV,correlation,ED_k3,ED,3,False,True,False,False
8,IV,correlation,FE_k1,FE,1,False,False,False,False
8,IV,correlation,FE_k2,FE,2,False,False,False,False
9,IV,correlation,DR_k1,DR,1,False,True,False,False
9,IV,correlation,DR_k2,DR,2,False,True,False,False
9,IV,correlation,DR_k3,DR,3,False,True,False,False
9,IV,correlation,ED_k1,ED,1,False,False,False,False
9,IV,correlation,ED_k2,ED,2,False,True,False,False
