model,lexicon,cond,item,id,old_pred,new_pred,old_correct,new_correct
gpt-4.1-nano,KEEP,RAW,20,8239,no,yes,0,1
gpt-4.1-nano,KEEP,ORACLE,20,8239,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,20,8239,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,21,19806,no,yes,1,0
gpt-4.1-nano,KEEP,ORACLE,21,19806,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,21,19806,no,no,1,1
gpt-4.1-nano,KEEP,RAW,23,16818,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,23,16818,no,,1,0
gpt-4.1-nano,KEEP,DR_k1,23,16818,no,no,1,1
gpt-4.1-nano,KEEP,RAW,24,19796,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,24,19796,yes,no,1,0
gpt-4.1-nano,KEEP,DR_k1,24,19796,,no,0,0
gpt-4.1-nano,KEEP,RAW,26,6588,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,26,6588,yes,,1,0
gpt-4.1-nano,KEEP,DR_k1,26,6588,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,29,1591,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,29,1591,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,29,1591,,no,0,1
gpt-4.1-nano,KEEP,RAW,32,15108,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,32,15108,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,32,15108,no,no,1,1
gpt-4.1-nano,KEEP,RAW,33,18628,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,33,18628,no,no,0,0
gpt-4.1-nano,KEEP,DR_k1,33,18628,no,no,0,0
gpt-4.1-nano,KEEP,RAW,34,17061,no,yes,0,1
gpt-4.1-nano,KEEP,ORACLE,34,17061,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,34,17061,no,no,0,0
gpt-4.1-nano,KEEP,RAW,35,15152,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,35,15152,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,35,15152,no,no,0,0
gpt-4.1-nano,KEEP,RAW,37,3443,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,37,3443,yes,no,0,1
gpt-4.1-nano,KEEP,DR_k1,37,3443,yes,no,0,1
gpt-4.1-nano,KEEP,RAW,39,1668,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,39,1668,yes,no,0,1
gpt-4.1-nano,KEEP,DR_k1,39,1668,,no,0,1
gpt-4.1-nano,KEEP,RAW,40,20200,no,no,0,0
gpt-4.1-nano,KEEP,ORACLE,40,20200,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,40,20200,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,41,9719,yes,no,1,0
gpt-4.1-nano,KEEP,ORACLE,41,9719,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,41,9719,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,42,10021,no,yes,1,0
gpt-4.1-nano,KEEP,ORACLE,42,10021,yes,no,0,1
gpt-4.1-nano,KEEP,DR_k1,42,10021,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,43,9798,yes,no,1,0
gpt-4.1-nano,KEEP,ORACLE,43,9798,no,yes,0,1
gpt-4.1-nano,KEEP,DR_k1,43,9798,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,44,10379,yes,yes,0,0
gpt-4.1-nano,KEEP,ORACLE,44,10379,yes,yes,0,0
gpt-4.1-nano,KEEP,DR_k1,44,10379,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,45,10366,yes,no,0,1
gpt-4.1-nano,KEEP,ORACLE,45,10366,yes,yes,0,0
gpt-4.1-nano,KEEP,DR_k1,45,10366,yes,no,0,1
gpt-4.1-nano,KEEP,RAW,46,9799,yes,no,0,1
gpt-4.1-nano,KEEP,ORACLE,46,9799,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,46,9799,no,yes,1,0
gpt-4.1-nano,KEEP,RAW,47,9728,yes,yes,1,1
gpt-4.1-nano,KEEP,ORACLE,47,9728,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,47,9728,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,48,20193,no,yes,0,1
gpt-4.1-nano,KEEP,ORACLE,48,20193,yes,yes,1,1
gpt-4.1-nano,KEEP,DR_k1,48,20193,no,no,0,0
gpt-4.1-nano,KEEP,RAW,49,10313,no,no,1,1
gpt-4.1-nano,KEEP,ORACLE,49,10313,no,no,1,1
gpt-4.1-nano,KEEP,DR_k1,49,10313,no,no,1,1
gpt-4.1-nano,KEEP,RAW,50,20727,no,no,0,0
