item,id
0,19800
1,4782
2,19758
3,4655
4,9401
5,4711
6,17025
7,15193
8,13861
9,19761
10,6400
11,9438
12,6402
13,18644
14,18624
15,12019
16,3469
17,6363
18,19821
19,3514
20,8239
21,19806
22,12014
23,16818
24,19796
25,16984
26,6588
27,12201
28,8284
29,1591
30,4713
31,16813
32,15108
33,18628
34,17061
35,15152
36,1653
37,3443
38,9730
39,9754
40,20200
41,9719
42,10021
43,9798
44,10379
45,10366
46,9799
47,9728
48,20193
49,10313
50,20727
51,20195
52,9789
53,20175
54,9795
55,10041
56,10355
57,17701
58,3253
59,4436
60,7633
61,2455
62,13299
63,12888
64,7372
65,2611
66,7390
67,9093
68,17810
69,17809
70,8061
71,4065
72,4477
73,4417
74,7605
75,2320
76,12762
77,4457
78,12707
79,7378
80,13538
81,9160
82,2848
83,7592
84,7396
85,2590
86,13650
87,2574
88,2323
89,8091
90,2504
91,19581
92,17803
93,8876
94,7208
95,14791
96,14419
97,7102
98,18048
99,4365
100,3245
101,20288
102,20269
103,13224
104,9178
105,13526
106,2480
107,17732
108,2437
109,14506
110,3206
111,12722
112,4093
113,14729
114,19142
115,3989
116,19037
117,18773
118,8549
119,19068
120,14032
121,8566
122,3888
123,3740
124,13963
125,8462
126,8613
127,14217
128,18742
129,8436
130,3658
131,8614
132,14351
133,19043
134,8360
135,8698
136,14392
137,3553
138,14016
139,8572
140,14163
141,3708
142,3789
143,8542
144,8547
145,8355
146,14241
147,3717
148,8324
149,14307
150,8686
151,14281
152,14393
153,20516
154,3621
155,19014
156,10064
157,10108
158,18847
159,8323
160,3569
161,10183
162,3766
163,8688
164,10149
165,8424
166,20458
167,10130
168,20519
169,18799
170,19117
171,465
172,15810
173,15780
174,15741
175,11630
176,11604
177,526
178,502
179,427
180,5993
181,10820
182,16382
183,5270
184,11013
185,11629
186,5413
187,5372
188,11707
189,5275
190,11602
191,15650
192,15841
193,10956
194,10797
195,15595
196,15596
197,16459
198,10974
199,10852
200,1215
201,16381
202,6046
203,1244
204,5204
205,10869
206,5374
207,16379
208,6008
209,6020
210,5400
211,16376
212,5978
213,5247
214,19987
215,1194
216,642
217,20009
218,15822
219,10825
220,11650
221,16370
222,11008
223,593
224,20002
225,19990
226,10992
227,16444
228,15551
229,10673
230,5131
231,10682
232,10757
233,10711
234,15554
235,10767
236,357
237,352
238,5136
239,5157
240,15479
241,5194
242,10728
243,15533
244,5140
245,304
246,15584
247,10713
248,5084
249,15505
250,315
251,5109
252,10674
253,15483
254,15545
255,15552
256,15509
257,15521
258,5126
259,5169
260,5098
261,15482
262,15562
263,10677
264,5176
265,5099
266,5173
267,19955
268,9563
269,308
270,19969
271,9579
272,5114
273,364
274,10693
275,19951
276,10756
277,15553
278,15530
279,19960
280,351
281,15565
282,10747
283,346
284,19953
285,19387
286,8943
287,9005
288,8966
289,19357
290,8965
291,14685
292,4232
293,4206
294,19378
295,9039
296,19394
297,14561
298,19340
299,9043
300,14598
301,4205
302,14582
303,4266
304,8976
305,4302
306,8975
307,8962
308,19329
309,19341
310,14603
311,14676
312,4247
313,8984
314,19415
315,8952
316,19384
317,4229
318,8933
319,14645
320,4294
321,9023
322,4178
323,10244
324,10250
325,8991
326,4255
327,4275
328,20639
329,10230
330,9035
331,10242
332,19432
333,19408
334,14593
335,19407
336,10220
337,14559
338,20624
339,4227
340,8968
341,4304
342,102
343,17313
344,17224
345,11723
346,11425
347,12603
348,6225
349,2055
350,77
351,6206
352,12692
353,13382
354,16524
355,5915
356,16275
357,15239
358,15338
359,5928
360,17337
361,1100
362,15339
363,7906
364,18316
365,16335
366,11787
367,12474
368,7880
369,7
370,10513
371,17339
372,11414
373,11564
374,13406
375,7069
376,17220
377,1051
378,2164
379,13445
380,17408
381,11409
382,13438
383,12575
384,17434
385,10462
386,12469
387,17411
388,10515
389,9831
390,20226
391,20243
392,16615
393,16497
394,19924
395,3095
396,18150
397,11439
398,1147
