model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error,provider,finish,reason_tok,usd,answer_from,temperature,max_tokens
meta-llama/llama-3.3-70b-instruct,0,19800,PROSE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,176,617,,Novita,stop,0,0.00027056,content,0.0,700
meta-llama/llama-3.3-70b-instruct,0,19800,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,130,472,,Novita,stop,0,0.00020635,content,0.0,700
meta-llama/llama-3.3-70b-instruct,0,19800,ORACLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,191,345,,Novita,stop,0,0.000163785,content,0.0,700
meta-llama/llama-3.3-70b-instruct,0,19800,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,191,343,,Novita,stop,0,0.000162985,content,0.0,700
meta-llama/llama-3.3-70b-instruct,1,4782,PROSE,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,149,444,,Novita,stop,0,0.000197715,content,0.0,700
meta-llama/llama-3.3-70b-instruct,1,4782,RAW,IV,1,correlation,water_cholera,easy,KEEP,no,,0,0,117,700,,Novita,length,0,0.000295795,content,0.0,700
meta-llama/llama-3.3-70b-instruct,1,4782,ORACLE,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,165,583,,Novita,stop,0,0.000255475,content,0.0,700
meta-llama/llama-3.3-70b-instruct,1,4782,DR_k1,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,164,345,,Novita,stop,0,0.00016014,content,0.0,700
meta-llama/llama-3.3-70b-instruct,2,19758,PROSE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,182,331,,Novita,stop,0,0.00015697,content,0.0,700
meta-llama/llama-3.3-70b-instruct,2,19758,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,136,383,,Novita,stop,0,0.00017156,content,0.0,700
meta-llama/llama-3.3-70b-instruct,2,19758,ORACLE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,197,386,,Novita,stop,0,0.000180995,content,0.0,700
meta-llama/llama-3.3-70b-instruct,2,19758,DR_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,187,359,,Novita,stop,0,0.000168845,content,0.0,700
meta-llama/llama-3.3-70b-instruct,3,4655,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,180,422,,Novita,stop,0,0.0001931,content,0.0,700
meta-llama/llama-3.3-70b-instruct,3,4655,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,133,405,,Novita,stop,0,0.000179955,content,0.0,700
meta-llama/llama-3.3-70b-instruct,3,4655,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,195,376,,Novita,stop,0,0.000176725,content,0.0,700
meta-llama/llama-3.3-70b-instruct,3,4655,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,198,376,,Novita,stop,0,0.00017713,content,0.0,700
meta-llama/llama-3.3-70b-instruct,4,9401,PROSE,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,180,614,,Novita,stop,0,0.0002699,content,0.0,700
meta-llama/llama-3.3-70b-instruct,4,9401,RAW,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,133,459,,Novita,stop,0,0.000201555,content,0.0,700
