model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,19800,NAMES_ONLY,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,159,341,
gpt-4.1-nano,0,19800,SCRAMBLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,185,373,
gpt-4.1-nano,0,19800,DR_k2,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,183,450,
gpt-4.1-nano,0,19800,DR_k3,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,187,368,
gpt-4.1-nano,1,4782,NAMES_ONLY,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,136,277,
gpt-4.1-nano,1,4782,SCRAMBLE,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,158,223,
gpt-4.1-nano,1,4782,DR_k2,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,157,548,
gpt-4.1-nano,1,4782,DR_k3,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,157,529,
gpt-4.1-nano,2,19758,NAMES_ONLY,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,165,440,
gpt-4.1-nano,2,19758,SCRAMBLE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,194,519,
gpt-4.1-nano,2,19758,DR_k2,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,193,400,
gpt-4.1-nano,2,19758,DR_k3,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,191,442,
gpt-4.1-nano,3,4655,NAMES_ONLY,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,162,361,
gpt-4.1-nano,3,4655,SCRAMBLE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,no,0,1,190,450,
gpt-4.1-nano,3,4655,DR_k2,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,192,285,
gpt-4.1-nano,3,4655,DR_k3,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,190,366,
gpt-4.1-nano,4,9401,NAMES_ONLY,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,162,286,
gpt-4.1-nano,4,9401,SCRAMBLE,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,193,521,
gpt-4.1-nano,4,9401,DR_k2,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,182,332,
gpt-4.1-nano,4,9401,DR_k3,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,183,406,
gpt-4.1-nano,5,4711,NAMES_ONLY,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,162,274,
gpt-4.1-nano,5,4711,SCRAMBLE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,191,470,
gpt-4.1-nano,5,4711,DR_k2,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,188,437,
gpt-4.1-nano,5,4711,DR_k3,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,191,371,
gpt-4.1-nano,6,17025,NAMES_ONLY,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,155,378,
gpt-4.1-nano,6,17025,SCRAMBLE,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,175,518,
gpt-4.1-nano,6,17025,DR_k2,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,174,440,
gpt-4.1-nano,6,17025,DR_k3,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,174,483,
gpt-4.1-nano,7,15193,NAMES_ONLY,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,142,375,
gpt-4.1-nano,7,15193,SCRAMBLE,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,165,465,
gpt-4.1-nano,7,15193,DR_k2,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,165,568,
gpt-4.1-nano,7,15193,DR_k3,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,166,493,
gpt-4.1-nano,8,13861,NAMES_ONLY,IV,1,correlation,price,anticommonsense,KEEP,yes,yes,1,1,132,655,
gpt-4.1-nano,8,13861,SCRAMBLE,IV,1,correlation,price,anticommonsense,KEEP,yes,yes,1,1,154,556,
gpt-4.1-nano,8,13861,DR_k2,IV,1,correlation,price,anticommonsense,KEEP,yes,yes,1,1,152,416,
gpt-4.1-nano,8,13861,DR_k3,IV,1,correlation,price,anticommonsense,KEEP,yes,no,0,1,146,421,
gpt-4.1-nano,9,19761,NAMES_ONLY,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,159,370,
gpt-4.1-nano,9,19761,SCRAMBLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,187,382,
gpt-4.1-nano,9,19761,DR_k2,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,188,364,
gpt-4.1-nano,9,19761,DR_k3,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,185,545,
gpt-4.1-nano,10,6400,NAMES_ONLY,IV,1,marginal,cholesterol,hard,KEEP,no,no,1,1,158,700,
gpt-4.1-nano,10,6400,SCRAMBLE,IV,1,marginal,cholesterol,hard,KEEP,no,no,1,1,177,540,
gpt-4.1-nano,10,6400,DR_k2,IV,1,marginal,cholesterol,hard,KEEP,no,yes,0,1,180,504,
gpt-4.1-nano,10,6400,DR_k3,IV,1,marginal,cholesterol,hard,KEEP,no,no,1,1,184,418,
gpt-4.1-nano,11,9438,NAMES_ONLY,IV,1,correlation,water_cholera,hard,KEEP,yes,yes,1,1,136,221,
gpt-4.1-nano,11,9438,SCRAMBLE,IV,1,correlation,water_cholera,hard,KEEP,yes,yes,1,1,157,641,
gpt-4.1-nano,11,9438,DR_k2,IV,1,correlation,water_cholera,hard,KEEP,yes,yes,1,1,157,450,
