model,item,id,cond,graph_id,rung,query_type,story_id,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,3,4655,RAW,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,yes,no,0,1,125,274,
gpt-4.1-nano,0,19800,RAW,IV,1,correlation,tax_smoke_birthWeight,PERMUTE,no,no,1,1,120,229,
gpt-4.1-nano,3,4655,ORACLE,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,yes,yes,1,1,191,410,
gpt-4.1-nano,1,4782,RAW,IV,1,correlation,water_cholera,PERMUTE,no,no,1,1,113,386,
gpt-4.1-nano,3,4655,DR_k1,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,yes,no,0,1,187,537,
gpt-4.1-nano,1,4782,DR_k1,IV,1,correlation,water_cholera,PERMUTE,no,no,1,1,159,669,
gpt-4.1-nano,2,19758,RAW,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,yes,yes,1,1,125,491,
gpt-4.1-nano,1,4782,PROSE,IV,1,correlation,water_cholera,PERMUTE,no,no,1,1,144,303,
gpt-4.1-nano,4,9401,RAW,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,no,no,1,1,122,264,
gpt-4.1-nano,3,4655,PROSE,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,yes,yes,1,1,175,545,
gpt-4.1-nano,4,9401,PROSE,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,no,no,1,1,168,417,
gpt-4.1-nano,6,16813,RAW,IV,2,backadj,cholesterol,PERMUTE,no,no,1,1,137,3,
gpt-4.1-nano,0,19800,DR_k1,IV,1,correlation,tax_smoke_birthWeight,PERMUTE,no,no,1,1,182,413,
gpt-4.1-nano,0,19800,PROSE,IV,1,correlation,tax_smoke_birthWeight,PERMUTE,no,,0,0,167,700,
gpt-4.1-nano,1,4782,ORACLE,IV,1,correlation,water_cholera,PERMUTE,no,no,1,1,159,519,
gpt-4.1-nano,2,19758,ORACLE,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,yes,no,0,1,182,700,
gpt-4.1-nano,2,19758,DR_k1,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,yes,no,0,1,173,700,
gpt-4.1-nano,5,4711,RAW,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,yes,yes,1,1,128,269,
gpt-4.1-nano,5,4711,PROSE,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,yes,yes,1,1,174,370,
gpt-4.1-nano,4,9401,ORACLE,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,no,no,1,1,184,465,
gpt-4.1-nano,5,4711,DR_k1,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,yes,yes,1,1,189,537,
gpt-4.1-nano,6,16813,ORACLE,IV,2,backadj,cholesterol,PERMUTE,no,no,1,1,201,295,
gpt-4.1-nano,4,9401,DR_k1,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,no,no,1,1,182,508,
gpt-4.1-nano,8,13835,DR_k1,IV,2,ate,price,PERMUTE,no,yes,0,1,183,45,
gpt-4.1-nano,5,4711,ORACLE,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,yes,yes,1,1,190,422,
gpt-4.1-nano,0,19800,ORACLE,IV,1,correlation,tax_smoke_birthWeight,PERMUTE,no,no,1,1,182,453,
gpt-4.1-nano,7,15133,PROSE,IV,2,ate,water_cholera,PERMUTE,no,no,1,1,185,318,
gpt-4.1-nano,2,19758,PROSE,IV,1,marginal,tax_smoke_birthWeight,PERMUTE,yes,no,0,1,167,700,
