lexicon,sample,quantity,delta_pp,ci_lo,ci_hi,p_boot,n_items
KEEP,price400,slope per reversed edge,0.46,-2.24,3.2,0.736,164
KEEP,price400,k=2 to k=3 step,2.85,-2.24,8.13,0.3035,164
KEEP,n600,slope per reversed edge,-3.28,-5.9,-0.66,0.0185,178
KEEP,n600,k=2 to k=3 step,-3.75,-8.24,0.94,0.1,178
KEEP,pooled,slope per reversed edge,-1.82,-3.86,0.17,0.0755,289
KEEP,n600 minus price400,slope per reversed edge,-3.73,-7.62,0.16,0.058,342
PSEUDO,price400,slope per reversed edge,-1.86,-4.37,0.55,0.1485,166
PSEUDO,price400,k=2 to k=3 step,-2.21,-7.53,3.21,0.422,166
PSEUDO,n600,slope per reversed edge,-1.76,-4.28,0.68,0.169,185
PSEUDO,n600,k=2 to k=3 step,0.81,-3.51,5.14,0.7305,185
PSEUDO,pooled,slope per reversed edge,-1.81,-3.67,0.04,0.0605,295
PSEUDO,n600 minus price400,slope per reversed edge,0.1,-3.47,3.62,0.9555,351
