model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,1,4782,RAW,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,111,295,
gpt-4.1-nano,6,16813,DR_k1,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,166,196,
gpt-4.1-nano,4,9401,DR_k1,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,170,472,
gpt-4.1-nano,1,4782,ORACLE,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,161,454,
gpt-4.1-nano,1,4782,FE_k1,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,165,459,
gpt-4.1-nano,3,4655,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,169,483,
gpt-4.1-nano,0,19800,ED_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,149,527,
gpt-4.1-nano,4,9401,ORACLE,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,170,422,
gpt-4.1-nano,0,19800,FE_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,162,387,
gpt-4.1-nano,0,19800,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,110,220,
gpt-4.1-nano,1,4782,PROSE,IV,1,correlation,water_cholera,easy,PSEUDO,no,yes,0,1,146,488,
gpt-4.1-nano,2,19758,FE_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,no,0,1,172,700,
gpt-4.1-nano,7,15133,RAW,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,no,1,1,143,535,
gpt-4.1-nano,6,16813,PROSE,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,157,3,
gpt-4.1-nano,4,9401,RAW,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,119,253,
gpt-4.1-nano,0,19800,ORACLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,159,521,
gpt-4.1-nano,5,4711,FE_k1,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,171,349,
gpt-4.1-nano,4,9401,PROSE,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,155,320,
gpt-4.1-nano,2,19758,ORACLE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,no,0,1,169,700,
gpt-4.1-nano,3,4655,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,168,420,
gpt-4.1-nano,5,4711,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,168,334,
gpt-4.1-nano,3,4655,FE_k1,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,171,422,
gpt-4.1-nano,2,19758,PROSE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,,0,0,154,700,
gpt-4.1-nano,1,4782,ED_k1,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,150,563,
gpt-4.1-nano,2,19758,ED_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,no,0,1,159,700,
gpt-4.1-nano,5,4711,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,168,330,
gpt-4.1-nano,5,4711,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,118,249,
gpt-4.1-nano,6,16813,RAW,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,123,3,
gpt-4.1-nano,0,19800,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,158,475,
gpt-4.1-nano,3,4655,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,118,285,
gpt-4.1-nano,0,19800,PROSE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,,0,0,144,700,
gpt-4.1-nano,6,16813,FE_k1,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,yes,0,1,175,257,
gpt-4.1-nano,3,4655,ED_k1,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,157,399,
gpt-4.1-nano,2,19758,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,119,465,
gpt-4.1-nano,2,19758,DR_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,no,0,1,162,700,
gpt-4.1-nano,1,4782,DR_k1,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,161,427,
gpt-4.1-nano,5,4711,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,152,336,
gpt-4.1-nano,4,9401,FE_k1,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,173,431,
gpt-4.1-nano,3,4655,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,153,406,
gpt-4.1-nano,4,9401,ED_k1,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,166,275,
gpt-4.1-nano,6,16813,ORACLE,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,172,269,
gpt-4.1-nano,7,15133,PROSE,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,no,1,1,177,537,
gpt-4.1-nano,7,15133,ORACLE,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,no,1,1,192,240,
gpt-4.1-nano,9,19839,RAW,IV,2,backadj,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,129,3,
gpt-4.1-nano,7,15133,DR_k1,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,no,1,1,192,664,
gpt-4.1-nano,8,13835,ORACLE,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,190,311,
gpt-4.1-nano,8,13835,PROSE,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,175,357,
gpt-4.1-nano,5,4711,ED_k1,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,158,345,
gpt-4.1-nano,6,16813,ED_k1,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,169,214,
gpt-4.1-nano,9,19839,PROSE,IV,2,backadj,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,163,3,
gpt-4.1-nano,8,13835,RAW,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,141,133,
gpt-4.1-nano,8,13835,FE_k1,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,193,340,
gpt-4.1-nano,10,4741,ORACLE,IV,2,ate,water_cholera,easy,PSEUDO,no,no,1,1,200,262,
gpt-4.1-nano,8,13835,DR_k1,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,183,322,
gpt-4.1-nano,9,19839,ORACLE,IV,2,backadj,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,178,212,
gpt-4.1-nano,7,15133,ED_k1,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,no,1,1,181,500,
gpt-4.1-nano,10,4741,PROSE,IV,2,ate,water_cholera,easy,PSEUDO,no,no,1,1,185,318,
gpt-4.1-nano,12,10311,PROSE,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,PSEUDO,no,yes,0,1,147,314,
gpt-4.1-nano,11,9410,DR_k1,IV,2,ate,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,183,251,
gpt-4.1-nano,11,9410,PROSE,IV,2,ate,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,175,502,
gpt-4.1-nano,12,10311,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,PSEUDO,no,no,1,1,114,214,
gpt-4.1-nano,12,10311,ORACLE,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,PSEUDO,no,yes,0,1,162,493,
gpt-4.1-nano,7,15133,FE_k1,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,no,1,1,195,463,
gpt-4.1-nano,10,4741,DR_k1,IV,2,ate,water_cholera,easy,PSEUDO,no,no,1,1,200,650,
gpt-4.1-nano,12,10311,DR_k1,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,PSEUDO,no,no,1,1,162,700,
gpt-4.1-nano,11,9410,RAW,IV,2,ate,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,139,176,
gpt-4.1-nano,9,19839,DR_k1,IV,2,backadj,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,171,192,
gpt-4.1-nano,13,20753,PROSE,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,no,no,1,1,156,448,
gpt-4.1-nano,13,20753,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,no,no,1,1,120,700,
gpt-4.1-nano,9,19839,FE_k1,IV,2,backadj,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,182,209,
gpt-4.1-nano,10,4741,RAW,IV,2,ate,water_cholera,easy,PSEUDO,no,no,1,1,147,383,
gpt-4.1-nano,13,20753,ORACLE,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,no,no,1,1,171,529,
gpt-4.1-nano,14,20742,PROSE,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,no,0,1,157,442,
gpt-4.1-nano,13,20753,DR_k1,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,no,no,1,1,171,395,
gpt-4.1-nano,11,9410,ORACLE,IV,2,ate,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,190,637,
gpt-4.1-nano,8,13835,ED_k1,IV,2,ate,price,anticommonsense,PSEUDO,no,yes,0,1,187,119,
gpt-4.1-nano,14,20742,ORACLE,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,no,0,1,172,292,
gpt-4.1-nano,14,20742,DR_k1,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,no,0,1,171,420,
gpt-4.1-nano,14,20742,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,121,411,
gpt-4.1-nano,10,4741,ED_k1,IV,2,ate,water_cholera,easy,PSEUDO,no,no,1,1,196,251,
gpt-4.1-nano,15,20143,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,PSEUDO,yes,yes,1,1,115,308,
gpt-4.1-nano,15,20143,ORACLE,IV,3,det-counterfactual,cholesterol,anticommonsense,PSEUDO,yes,yes,1,1,164,359,
gpt-4.1-nano,16,9804,RAW,IV,3,det-counterfactual,college_wage,commonsense,PSEUDO,no,no,1,1,123,401,
