model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-5.6-luna,36,13899,RAW,IV,2,ate,price,anticommonsense,PERMUTE,no,no,1,1,141,834,
gpt-5.6-luna,37,9467,RAW,IV,2,ate,water_cholera,hard,PERMUTE,no,no,1,1,143,377,
gpt-5.6-luna,38,8277,RAW,IV,2,ate,price,hard,PERMUTE,no,no,1,1,141,572,
gpt-5.6-luna,42,16786,RAW,IV,2,ate,cholesterol,anticommonsense,PERMUTE,no,no,1,1,145,934,
gpt-5.6-luna,44,18686,RAW,IV,2,ate,price,anticommonsense,PERMUTE,yes,no,0,1,145,406,
gpt-5.6-luna,50,6665,RAW,IV,2,ate,college_wage,hard,PERMUTE,yes,yes,1,1,151,524,
gpt-5.6-luna,51,11998,RAW,IV,2,ate,cholesterol,anticommonsense,PERMUTE,no,no,1,1,150,1447,
gpt-5.6-luna,53,6642,RAW,IV,2,ate,college_wage,hard,PERMUTE,no,no,1,1,151,730,
gpt-5.6-luna,62,13847,RAW,IV,2,ate,price,anticommonsense,PERMUTE,yes,no,0,1,141,524,
gpt-5.6-luna,66,13836,RAW,IV,2,ate,price,anticommonsense,PERMUTE,yes,no,0,1,141,550,
gpt-5.6-luna,68,9755,RAW,IV,3,det-counterfactual,cholesterol,commonsense,PERMUTE,no,no,1,1,128,280,
gpt-5.6-luna,69,20698,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PERMUTE,yes,yes,1,1,120,225,
gpt-5.6-luna,70,20743,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,PERMUTE,yes,yes,1,1,123,263,
gpt-5.6-luna,71,20700,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PERMUTE,yes,yes,1,1,117,144,
gpt-5.6-luna,72,10039,RAW,IV,3,det-counterfactual,price,commonsense,PERMUTE,no,no,1,1,114,240,
gpt-5.6-luna,73,20728,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PERMUTE,no,no,1,1,117,226,
gpt-5.6-luna,74,10332,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,PERMUTE,yes,yes,1,1,128,367,
gpt-5.6-luna,75,9782,RAW,IV,3,det-counterfactual,college_wage,commonsense,PERMUTE,no,no,1,1,130,269,
gpt-5.6-luna,76,20757,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,PERMUTE,no,no,1,1,123,161,
