model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,1884,RAW,IV,2,ate,college_wage,easy,PSEUDO,yes,no,0,1,136,700,
gpt-4.1-nano,0,1884,ORACLE,IV,2,ate,college_wage,easy,PSEUDO,yes,yes,1,1,186,608,
gpt-4.1-nano,0,1884,ORACLE_NI,IV,2,ate,college_wage,easy,PSEUDO,yes,yes,1,1,179,446,
gpt-4.1-nano,0,1884,DR_k1,IV,2,ate,college_wage,easy,PSEUDO,yes,,0,0,187,700,
gpt-4.1-nano,0,1884,DR_k1_NI,IV,2,ate,college_wage,easy,PSEUDO,yes,no,0,1,180,472,
gpt-4.1-nano,0,1884,DR_k2,IV,2,ate,college_wage,easy,PSEUDO,yes,yes,1,1,188,625,
gpt-4.1-nano,0,1884,DR_k2_NI,IV,2,ate,college_wage,easy,PSEUDO,yes,no,0,1,181,696,
gpt-4.1-nano,0,1884,DR_k3,IV,2,ate,college_wage,easy,PSEUDO,yes,yes,1,1,188,537,
gpt-4.1-nano,0,1884,DR_k3_NI,IV,2,ate,college_wage,easy,PSEUDO,yes,no,0,1,181,700,
gpt-4.1-nano,1,1641,RAW,IV,2,ate,cholesterol,easy,PSEUDO,yes,yes,1,1,140,173,
gpt-4.1-nano,1,1641,ORACLE,IV,2,ate,cholesterol,easy,PSEUDO,yes,yes,1,1,189,343,
gpt-4.1-nano,1,1641,ORACLE_NI,IV,2,ate,cholesterol,easy,PSEUDO,yes,yes,1,1,182,188,
gpt-4.1-nano,1,1641,DR_k1,IV,2,ate,cholesterol,easy,PSEUDO,yes,yes,1,1,190,399,
gpt-4.1-nano,1,1641,DR_k1_NI,IV,2,ate,cholesterol,easy,PSEUDO,yes,yes,1,1,183,336,
gpt-4.1-nano,1,1641,DR_k2,IV,2,ate,cholesterol,easy,PSEUDO,yes,yes,1,1,191,355,
gpt-4.1-nano,1,1641,DR_k2_NI,IV,2,ate,cholesterol,easy,PSEUDO,yes,yes,1,1,184,382,
gpt-4.1-nano,1,1641,DR_k3,IV,2,ate,cholesterol,easy,PSEUDO,yes,yes,1,1,184,369,
gpt-4.1-nano,1,1641,DR_k3_NI,IV,2,ate,cholesterol,easy,PSEUDO,yes,yes,1,1,177,166,
gpt-4.1-nano,2,1613,RAW,IV,2,ate,cholesterol,easy,PSEUDO,no,no,1,1,142,376,
gpt-4.1-nano,2,1613,ORACLE,IV,2,ate,cholesterol,easy,PSEUDO,no,no,1,1,194,507,
gpt-4.1-nano,2,1613,ORACLE_NI,IV,2,ate,cholesterol,easy,PSEUDO,no,no,1,1,187,570,
gpt-4.1-nano,2,1613,DR_k1,IV,2,ate,cholesterol,easy,PSEUDO,no,no,1,1,193,475,
gpt-4.1-nano,2,1613,DR_k1_NI,IV,2,ate,cholesterol,easy,PSEUDO,no,no,1,1,186,368,
gpt-4.1-nano,2,1613,DR_k2,IV,2,ate,cholesterol,easy,PSEUDO,no,no,1,1,195,483,
gpt-4.1-nano,2,1613,DR_k2_NI,IV,2,ate,cholesterol,easy,PSEUDO,no,no,1,1,188,341,
gpt-4.1-nano,2,1613,DR_k3,IV,2,ate,cholesterol,easy,PSEUDO,no,no,1,1,194,511,
gpt-4.1-nano,2,1613,DR_k3_NI,IV,2,ate,cholesterol,easy,PSEUDO,no,no,1,1,187,399,
gpt-4.1-nano,3,16780,RAW,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,140,499,
gpt-4.1-nano,3,16780,ORACLE,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,190,326,
gpt-4.1-nano,3,16780,ORACLE_NI,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,183,207,
gpt-4.1-nano,3,16780,DR_k1,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,191,665,
gpt-4.1-nano,3,16780,DR_k1_NI,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,184,394,
gpt-4.1-nano,3,16780,DR_k2,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,191,469,
gpt-4.1-nano,3,16780,DR_k2_NI,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,184,431,
gpt-4.1-nano,3,16780,DR_k3,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,183,305,
gpt-4.1-nano,3,16780,DR_k3_NI,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,176,204,
gpt-4.1-nano,4,6631,RAW,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,143,336,
gpt-4.1-nano,4,6631,ORACLE,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,195,661,
gpt-4.1-nano,4,6631,ORACLE_NI,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,188,222,
gpt-4.1-nano,4,6631,DR_k1,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,195,329,
gpt-4.1-nano,4,6631,DR_k1_NI,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,188,300,
gpt-4.1-nano,4,6631,DR_k2,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,195,447,
gpt-4.1-nano,4,6631,DR_k2_NI,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,188,515,
gpt-4.1-nano,4,6631,DR_k3,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,187,379,
gpt-4.1-nano,4,6631,DR_k3_NI,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,180,260,
gpt-4.1-nano,5,15094,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,136,322,
gpt-4.1-nano,5,15094,ORACLE,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,185,592,
gpt-4.1-nano,5,15094,ORACLE_NI,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,178,554,
gpt-4.1-nano,5,15094,DR_k1,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,185,540,
gpt-4.1-nano,5,15094,DR_k1_NI,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,178,404,
gpt-4.1-nano,5,15094,DR_k2,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,185,642,
gpt-4.1-nano,5,15094,DR_k2_NI,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,178,456,
gpt-4.1-nano,5,15094,DR_k3,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,177,428,
gpt-4.1-nano,5,15094,DR_k3_NI,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,170,157,
gpt-4.1-nano,6,4790,RAW,IV,2,ate,water_cholera,easy,PSEUDO,yes,yes,1,1,143,167,
