model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,36,13899,RAW,IV,2,ate,price,anticommonsense,SYMBOL,no,no,1,1,130,124,
gpt-4.1-nano,37,9467,RAW,IV,2,ate,water_cholera,hard,SYMBOL,no,no,1,1,132,462,
gpt-4.1-nano,38,8277,RAW,IV,2,ate,price,hard,SYMBOL,no,no,1,1,130,366,
gpt-4.1-nano,42,16786,RAW,IV,2,ate,cholesterol,anticommonsense,SYMBOL,no,yes,0,1,132,216,
gpt-4.1-nano,44,18686,RAW,IV,2,ate,price,anticommonsense,SYMBOL,yes,yes,1,1,130,158,
gpt-4.1-nano,50,6665,RAW,IV,2,ate,college_wage,hard,SYMBOL,yes,yes,1,1,124,427,
gpt-4.1-nano,51,11998,RAW,IV,2,ate,cholesterol,anticommonsense,SYMBOL,no,no,1,1,132,229,
gpt-4.1-nano,53,6642,RAW,IV,2,ate,college_wage,hard,SYMBOL,no,no,1,1,124,293,
gpt-4.1-nano,62,13847,RAW,IV,2,ate,price,anticommonsense,SYMBOL,yes,no,0,1,130,190,
gpt-4.1-nano,66,13836,RAW,IV,2,ate,price,anticommonsense,SYMBOL,yes,yes,1,1,130,192,
gpt-4.1-nano,68,9755,RAW,IV,3,det-counterfactual,cholesterol,commonsense,SYMBOL,no,no,1,1,101,322,
gpt-4.1-nano,69,20698,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,yes,1,1,98,335,
gpt-4.1-nano,70,20743,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,SYMBOL,yes,yes,1,1,105,285,
gpt-4.1-nano,71,20700,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,yes,1,1,98,363,
gpt-4.1-nano,72,10039,RAW,IV,3,det-counterfactual,price,commonsense,SYMBOL,no,yes,0,1,103,538,
gpt-4.1-nano,73,20728,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,SYMBOL,no,no,1,1,99,327,
gpt-4.1-nano,74,10332,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,SYMBOL,yes,yes,1,1,102,449,
gpt-4.1-nano,75,9782,RAW,IV,3,det-counterfactual,college_wage,commonsense,SYMBOL,no,no,1,1,100,383,
