model,item,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,1,ORACLE,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,161,454,
gpt-4.1-nano,1,RAW,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,111,295,
gpt-4.1-nano,0,ORACLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,159,521,
gpt-4.1-nano,2,ORACLE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,no,0,1,169,700,
gpt-4.1-nano,0,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,110,220,
gpt-4.1-nano,4,RAW,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,119,253,
gpt-4.1-nano,3,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,168,420,
gpt-4.1-nano,3,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,118,285,
gpt-4.1-nano,2,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,119,465,
gpt-4.1-nano,1,DR_k1,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,161,427,
gpt-4.1-nano,4,ORACLE,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,170,422,
gpt-4.1-nano,2,PROSE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,,0,0,154,700,
gpt-4.1-nano,0,PROSE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,,0,0,144,700,
gpt-4.1-nano,4,PROSE,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,155,320,
gpt-4.1-nano,1,PROSE,IV,1,correlation,water_cholera,easy,PSEUDO,no,yes,0,1,146,488,
gpt-4.1-nano,0,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,158,475,
gpt-4.1-nano,3,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,153,406,
gpt-4.1-nano,2,DR_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,no,0,1,162,700,
gpt-4.1-nano,3,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,169,483,
gpt-4.1-nano,5,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,168,330,
gpt-4.1-nano,6,ORACLE,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,172,269,
gpt-4.1-nano,5,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,118,249,
gpt-4.1-nano,6,RAW,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,123,3,
gpt-4.1-nano,7,RAW,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,no,1,1,143,535,
gpt-4.1-nano,7,ORACLE,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,no,1,1,192,240,
gpt-4.1-nano,4,DR_k1,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,170,472,
gpt-4.1-nano,7,PROSE,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,no,1,1,177,537,
gpt-4.1-nano,5,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,152,336,
gpt-4.1-nano,6,DR_k1,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,166,196,
gpt-4.1-nano,5,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,168,334,
gpt-4.1-nano,8,PROSE,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,175,357,
gpt-4.1-nano,6,PROSE,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,157,3,
