model,item,id,graph_id,rung,gold,pred,correct,parsed_answer,parsed_graph,precision,recall,f1,n_reversed,n_spurious,n_missing,n_wrong_edges,exact_match,n_true
gpt-4.1-nano,0,19800,IV,1,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,1,4782,IV,1,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,2,19758,IV,1,yes,yes,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,3,4655,IV,1,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,4,9401,IV,1,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,5,4711,IV,1,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,6,16813,IV,2,no,no,1,1,1,0.75,0.75,0.75,0,1,1,2,0,4
gpt-4.1-nano,7,15133,IV,2,no,no,1,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-nano,8,13835,IV,2,no,no,1,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-nano,9,19839,IV,2,yes,yes,1,1,1,1.0,0.75,0.8571428571428571,0,0,1,1,0,4
gpt-4.1-nano,10,4741,IV,2,no,no,1,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,11,9410,IV,2,no,no,1,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,12,10311,IV,3,no,yes,0,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,13,20753,IV,3,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,14,20742,IV,3,yes,no,0,1,1,1.0,0.75,0.8571428571428571,0,0,1,1,0,4
gpt-4.1-nano,15,20143,IV,3,yes,yes,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,16,9804,IV,3,no,yes,0,1,1,1.0,0.75,0.8571428571428571,0,0,1,1,0,4
gpt-4.1-nano,17,10048,IV,3,no,yes,0,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,18,3257,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,19,7727,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,20,19542,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,21,13243,arrowhead,1,no,no,1,1,1,0.5,0.4,0.4444444444444445,1,1,2,4,0,5
gpt-4.1-nano,22,18339,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,23,19527,arrowhead,1,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,24,17802,arrowhead,2,no,yes,0,1,1,1.0,0.6,0.7499999999999999,0,0,2,2,0,5
gpt-4.1-nano,25,7137,arrowhead,2,yes,yes,1,1,1,1.0,0.4,0.5714285714285715,0,0,3,3,0,5
gpt-4.1-nano,26,12885,arrowhead,2,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,27,7599,arrowhead,2,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,28,2356,arrowhead,2,yes,yes,1,1,0,0.0,0.0,0.0,0,0,5,5,0,5
gpt-4.1-nano,29,4313,arrowhead,2,no,yes,0,1,1,0.75,0.6,0.6666666666666665,0,1,2,3,0,5
gpt-4.1-nano,30,9885,arrowhead,3,no,no,1,1,0,0.0,0.0,0.0,0,0,5,5,0,5
gpt-4.1-nano,31,19218,arrowhead,3,no,yes,0,1,1,1.0,0.8,0.888888888888889,0,0,1,1,0,5
gpt-4.1-nano,32,17732,arrowhead,3,no,yes,0,1,1,1.0,0.8,0.888888888888889,0,0,1,1,0,5
gpt-4.1-nano,33,20254,arrowhead,3,no,no,1,1,1,1.0,0.4,0.5714285714285715,0,0,3,3,0,5
gpt-4.1-nano,34,19501,arrowhead,3,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,35,18031,arrowhead,3,yes,,0,0,1,1.0,0.4,0.5714285714285715,0,0,3,3,0,5
gpt-4.1-nano,36,3303,chain,1,yes,no,0,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,37,3405,chain,1,yes,no,0,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,38,1752,chain,1,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,39,3314,chain,1,no,no,1,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,40,16918,chain,1,no,yes,0,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,41,1679,chain,1,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,42,4521,chain,2,no,no,1,1,1,0.6666666666666666,1.0,0.8,0,1,0,1,0,2
gpt-4.1-nano,43,3348,chain,2,no,yes,0,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,44,12094,chain,2,no,no,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,45,9311,chain,2,no,yes,0,1,1,0.6666666666666666,1.0,0.8,0,1,0,1,0,2
gpt-4.1-nano,46,3363,chain,2,no,yes,0,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,47,1702,chain,2,no,no,1,1,1,0.6666666666666666,1.0,0.8,0,1,0,1,0,2
gpt-4.1-nano,48,13793,chain,3,no,no,1,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,49,6551,chain,3,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,50,18540,chain,3,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
