model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,36,13899,RAW,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,145,249,
gpt-4.1-nano,36,13899,ORACLE,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,194,294,
gpt-4.1-nano,36,13899,DR_k1,IV,2,ate,price,anticommonsense,PSEUDO,no,yes,0,1,195,352,
gpt-4.1-nano,36,13899,DR_k2,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,195,203,
gpt-4.1-nano,36,13899,DR_k3,IV,2,ate,price,anticommonsense,PSEUDO,no,yes,0,1,188,267,
gpt-4.1-nano,37,9467,RAW,IV,2,ate,water_cholera,hard,PSEUDO,no,,0,0,146,700,
gpt-4.1-nano,37,9467,ORACLE,IV,2,ate,water_cholera,hard,PSEUDO,no,,0,0,196,700,
gpt-4.1-nano,37,9467,DR_k1,IV,2,ate,water_cholera,hard,PSEUDO,no,,0,0,196,700,
gpt-4.1-nano,37,9467,DR_k2,IV,2,ate,water_cholera,hard,PSEUDO,no,no,1,1,196,620,
gpt-4.1-nano,37,9467,DR_k3,IV,2,ate,water_cholera,hard,PSEUDO,no,no,1,1,195,695,
gpt-4.1-nano,38,8277,RAW,IV,2,ate,price,hard,PSEUDO,no,no,1,1,144,498,
gpt-4.1-nano,38,8277,ORACLE,IV,2,ate,price,hard,PSEUDO,no,no,1,1,195,439,
gpt-4.1-nano,38,8277,DR_k1,IV,2,ate,price,hard,PSEUDO,no,no,1,1,195,549,
gpt-4.1-nano,38,8277,DR_k2,IV,2,ate,price,hard,PSEUDO,no,no,1,1,195,599,
gpt-4.1-nano,38,8277,DR_k3,IV,2,ate,price,hard,PSEUDO,no,no,1,1,195,589,
gpt-4.1-nano,42,16786,RAW,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,143,198,
gpt-4.1-nano,42,16786,ORACLE,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,yes,0,1,195,452,
gpt-4.1-nano,42,16786,DR_k1,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,194,342,
gpt-4.1-nano,42,16786,DR_k2,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,yes,0,1,194,351,
gpt-4.1-nano,42,16786,DR_k3,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,195,423,
gpt-4.1-nano,44,18686,RAW,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,141,160,
gpt-4.1-nano,44,18686,ORACLE,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,189,236,
gpt-4.1-nano,44,18686,DR_k1,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,190,226,
gpt-4.1-nano,44,18686,DR_k2,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,190,237,
gpt-4.1-nano,44,18686,DR_k3,IV,2,ate,price,anticommonsense,PSEUDO,yes,no,0,1,190,522,
gpt-4.1-nano,50,6665,RAW,IV,2,ate,college_wage,hard,PSEUDO,yes,yes,1,1,141,285,
gpt-4.1-nano,50,6665,ORACLE,IV,2,ate,college_wage,hard,PSEUDO,yes,yes,1,1,194,477,
gpt-4.1-nano,50,6665,DR_k1,IV,2,ate,college_wage,hard,PSEUDO,yes,yes,1,1,187,344,
gpt-4.1-nano,50,6665,DR_k2,IV,2,ate,college_wage,hard,PSEUDO,yes,no,0,1,186,288,
gpt-4.1-nano,50,6665,DR_k3,IV,2,ate,college_wage,hard,PSEUDO,yes,yes,1,1,193,537,
gpt-4.1-nano,51,11998,RAW,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,139,180,
gpt-4.1-nano,51,11998,ORACLE,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,188,194,
gpt-4.1-nano,51,11998,DR_k1,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,188,329,
gpt-4.1-nano,51,11998,DR_k2,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,180,349,
gpt-4.1-nano,51,11998,DR_k3,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,187,434,
gpt-4.1-nano,53,6642,RAW,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,136,700,
gpt-4.1-nano,53,6642,ORACLE,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,185,593,
gpt-4.1-nano,53,6642,DR_k1,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,186,520,
gpt-4.1-nano,53,6642,DR_k2,IV,2,ate,college_wage,hard,PSEUDO,no,,0,0,187,700,
gpt-4.1-nano,53,6642,DR_k3,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,180,650,
gpt-4.1-nano,62,13847,RAW,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,145,264,
gpt-4.1-nano,62,13847,ORACLE,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,198,368,
gpt-4.1-nano,62,13847,DR_k1,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,197,374,
gpt-4.1-nano,62,13847,DR_k2,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,198,487,
gpt-4.1-nano,62,13847,DR_k3,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,197,367,
gpt-4.1-nano,66,13836,RAW,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,141,118,
gpt-4.1-nano,66,13836,ORACLE,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,190,209,
gpt-4.1-nano,66,13836,DR_k1,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,190,261,
gpt-4.1-nano,66,13836,DR_k2,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,184,181,
gpt-4.1-nano,66,13836,DR_k3,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,183,167,
gpt-4.1-nano,68,9755,RAW,IV,3,det-counterfactual,cholesterol,commonsense,PSEUDO,no,no,1,1,114,473,
gpt-4.1-nano,68,9755,ORACLE,IV,3,det-counterfactual,cholesterol,commonsense,PSEUDO,no,no,1,1,164,396,
gpt-4.1-nano,68,9755,DR_k1,IV,3,det-counterfactual,cholesterol,commonsense,PSEUDO,no,no,1,1,164,337,
gpt-4.1-nano,68,9755,DR_k2,IV,3,det-counterfactual,cholesterol,commonsense,PSEUDO,no,yes,0,1,164,355,
gpt-4.1-nano,68,9755,DR_k3,IV,3,det-counterfactual,cholesterol,commonsense,PSEUDO,no,yes,0,1,163,472,
gpt-4.1-nano,69,20698,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,116,390,
gpt-4.1-nano,69,20698,ORACLE,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,168,502,
gpt-4.1-nano,69,20698,DR_k1,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,169,479,
gpt-4.1-nano,69,20698,DR_k2,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,167,508,
gpt-4.1-nano,69,20698,DR_k3,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,161,382,
gpt-4.1-nano,70,20743,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,119,394,
gpt-4.1-nano,70,20743,ORACLE,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,168,436,
gpt-4.1-nano,70,20743,DR_k1,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,169,516,
gpt-4.1-nano,70,20743,DR_k2,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,169,437,
gpt-4.1-nano,70,20743,DR_k3,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,169,562,
gpt-4.1-nano,71,20700,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,110,248,
gpt-4.1-nano,71,20700,ORACLE,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,159,279,
gpt-4.1-nano,71,20700,DR_k1,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,151,234,
gpt-4.1-nano,71,20700,DR_k2,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,159,629,
gpt-4.1-nano,71,20700,DR_k3,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,no,0,1,158,606,
gpt-4.1-nano,72,10039,RAW,IV,3,det-counterfactual,price,commonsense,PSEUDO,no,no,1,1,117,370,
gpt-4.1-nano,72,10039,ORACLE,IV,3,det-counterfactual,price,commonsense,PSEUDO,no,no,1,1,167,424,
gpt-4.1-nano,72,10039,DR_k1,IV,3,det-counterfactual,price,commonsense,PSEUDO,no,no,1,1,166,410,
gpt-4.1-nano,72,10039,DR_k2,IV,3,det-counterfactual,price,commonsense,PSEUDO,no,no,1,1,167,332,
gpt-4.1-nano,72,10039,DR_k3,IV,3,det-counterfactual,price,commonsense,PSEUDO,no,no,1,1,167,381,
gpt-4.1-nano,73,20728,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,113,587,
gpt-4.1-nano,73,20728,ORACLE,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,yes,0,1,163,504,
gpt-4.1-nano,73,20728,DR_k1,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,156,432,
gpt-4.1-nano,73,20728,DR_k2,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,yes,0,1,162,231,
gpt-4.1-nano,73,20728,DR_k3,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,162,499,
gpt-4.1-nano,74,10332,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,PSEUDO,yes,no,0,1,115,441,
gpt-4.1-nano,74,10332,ORACLE,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,PSEUDO,yes,yes,1,1,166,500,
gpt-4.1-nano,74,10332,DR_k1,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,PSEUDO,yes,yes,1,1,166,538,
