model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,19800,RAW_CLEAN,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,113,380,
gpt-4.1-nano,1,4782,RAW_CLEAN,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,105,282,
gpt-4.1-nano,2,19758,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,119,343,
gpt-4.1-nano,3,4655,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,116,266,
gpt-4.1-nano,4,9401,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,116,235,
gpt-4.1-nano,5,4711,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,116,281,
gpt-4.1-nano,6,17025,RAW_CLEAN,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,112,325,
gpt-4.1-nano,7,15193,RAW_CLEAN,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,110,390,
gpt-4.1-nano,8,13861,RAW_CLEAN,IV,1,correlation,price,anticommonsense,KEEP,yes,yes,1,1,102,176,
gpt-4.1-nano,9,19761,RAW_CLEAN,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,113,224,
gpt-4.1-nano,10,6400,RAW_CLEAN,IV,1,marginal,cholesterol,hard,KEEP,no,no,1,1,115,389,
gpt-4.1-nano,11,9438,RAW_CLEAN,IV,1,correlation,water_cholera,hard,KEEP,yes,yes,1,1,105,395,
gpt-4.1-nano,12,6402,RAW_CLEAN,IV,1,correlation,cholesterol,hard,KEEP,yes,yes,1,1,115,315,
gpt-4.1-nano,13,18644,RAW_CLEAN,IV,1,marginal,price,anticommonsense,KEEP,yes,yes,1,1,112,238,
gpt-4.1-nano,14,18624,RAW_CLEAN,IV,1,marginal,price,anticommonsense,KEEP,no,no,1,1,112,298,
gpt-4.1-nano,15,12019,RAW_CLEAN,IV,1,correlation,cholesterol,anticommonsense,KEEP,no,,0,0,112,700,
gpt-4.1-nano,16,3469,RAW_CLEAN,IV,1,correlation,price,easy,KEEP,yes,yes,1,1,102,344,
gpt-4.1-nano,17,6363,RAW_CLEAN,IV,1,correlation,cholesterol,hard,KEEP,yes,yes,1,1,115,324,
gpt-4.1-nano,18,19821,RAW_CLEAN,IV,1,marginal,water_cholera,anticommonsense,KEEP,no,no,1,1,106,291,
gpt-4.1-nano,19,3514,RAW_CLEAN,IV,2,backadj,price,easy,KEEP,no,no,1,1,111,3,
gpt-4.1-nano,20,8239,RAW_CLEAN,IV,2,ate,price,hard,KEEP,yes,no,0,1,138,356,
gpt-4.1-nano,21,19806,RAW_CLEAN,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,139,175,
gpt-4.1-nano,22,12014,RAW_CLEAN,IV,2,backadj,cholesterol,anticommonsense,KEEP,no,no,1,1,118,3,
gpt-4.1-nano,23,16818,RAW_CLEAN,IV,2,ate,cholesterol,anticommonsense,KEEP,no,yes,0,1,135,115,
gpt-4.1-nano,24,19796,RAW_CLEAN,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,yes,no,0,1,139,164,
gpt-4.1-nano,25,16984,RAW_CLEAN,IV,2,backadj,college_wage,anticommonsense,KEEP,yes,no,0,1,126,3,
gpt-4.1-nano,26,6588,RAW_CLEAN,IV,2,ate,college_wage,hard,KEEP,yes,no,0,1,140,472,
gpt-4.1-nano,27,12201,RAW_CLEAN,IV,2,backadj,college_wage,anticommonsense,KEEP,no,no,1,1,118,3,
gpt-4.1-nano,28,8284,RAW_CLEAN,IV,2,backadj,price,hard,KEEP,yes,no,0,1,115,3,
gpt-4.1-nano,29,1591,RAW_CLEAN,IV,2,ate,cholesterol,easy,KEEP,no,no,1,1,141,434,
gpt-4.1-nano,30,4713,RAW_CLEAN,IV,2,backadj,tax_smoke_birthWeight,easy,KEEP,yes,no,0,1,135,3,
gpt-4.1-nano,31,16813,RAW_CLEAN,IV,2,backadj,cholesterol,anticommonsense,KEEP,no,no,1,1,122,3,
gpt-4.1-nano,32,15108,RAW_CLEAN,IV,2,ate,water_cholera,anticommonsense,KEEP,no,no,1,1,144,700,
gpt-4.1-nano,33,18628,RAW_CLEAN,IV,2,ate,price,anticommonsense,KEEP,yes,yes,1,1,138,409,
gpt-4.1-nano,34,17061,RAW_CLEAN,IV,2,ate,college_wage,anticommonsense,KEEP,yes,no,0,1,140,238,
gpt-4.1-nano,35,15152,RAW_CLEAN,IV,2,ate,water_cholera,anticommonsense,KEEP,yes,yes,1,1,144,302,
gpt-4.1-nano,36,1653,RAW_CLEAN,IV,2,backadj,cholesterol,easy,KEEP,yes,no,0,1,126,3,
gpt-4.1-nano,37,3443,RAW_CLEAN,IV,2,ate,price,easy,KEEP,no,no,1,1,138,314,
gpt-4.1-nano,38,9730,RAW_CLEAN,IV,3,det-counterfactual,cholesterol,commonsense,KEEP,no,no,1,1,124,323,
gpt-4.1-nano,39,9754,RAW_CLEAN,IV,3,det-counterfactual,cholesterol,commonsense,KEEP,no,no,1,1,126,375,
gpt-4.1-nano,40,20200,RAW_CLEAN,IV,3,det-counterfactual,college_wage,anticommonsense,KEEP,yes,yes,1,1,114,256,
gpt-4.1-nano,41,9719,RAW_CLEAN,IV,3,det-counterfactual,cholesterol,commonsense,KEEP,yes,yes,1,1,124,398,
gpt-4.1-nano,42,10021,RAW_CLEAN,IV,3,det-counterfactual,price,commonsense,KEEP,no,no,1,1,109,203,
gpt-4.1-nano,43,9798,RAW_CLEAN,IV,3,det-counterfactual,college_wage,commonsense,KEEP,yes,yes,1,1,122,198,
gpt-4.1-nano,44,10379,RAW_CLEAN,IV,3,det-counterfactual,water_cholera,commonsense,KEEP,no,no,1,1,111,273,
gpt-4.1-nano,45,10366,RAW_CLEAN,IV,3,det-counterfactual,water_cholera,commonsense,KEEP,no,no,1,1,111,320,
gpt-4.1-nano,46,9799,RAW_CLEAN,IV,3,det-counterfactual,college_wage,commonsense,KEEP,no,no,1,1,122,229,
gpt-4.1-nano,47,9728,RAW_CLEAN,IV,3,det-counterfactual,cholesterol,commonsense,KEEP,yes,yes,1,1,126,522,
gpt-4.1-nano,48,20193,RAW_CLEAN,IV,3,det-counterfactual,college_wage,anticommonsense,KEEP,yes,no,0,1,114,422,
gpt-4.1-nano,49,10313,RAW_CLEAN,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,KEEP,no,yes,0,1,116,385,
gpt-4.1-nano,50,20727,RAW_CLEAN,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,111,181,
gpt-4.1-nano,51,20195,RAW_CLEAN,IV,3,det-counterfactual,college_wage,anticommonsense,KEEP,yes,yes,1,1,114,189,
gpt-4.1-nano,52,9789,RAW_CLEAN,IV,3,det-counterfactual,college_wage,commonsense,KEEP,no,no,1,1,122,152,
gpt-4.1-nano,53,20175,RAW_CLEAN,IV,3,det-counterfactual,college_wage,anticommonsense,KEEP,yes,yes,1,1,114,422,
gpt-4.1-nano,54,9795,RAW_CLEAN,IV,3,det-counterfactual,college_wage,commonsense,KEEP,no,no,1,1,122,186,
gpt-4.1-nano,55,10041,RAW_CLEAN,IV,3,det-counterfactual,price,commonsense,KEEP,no,no,1,1,109,168,
gpt-4.1-nano,56,10355,RAW_CLEAN,IV,3,det-counterfactual,water_cholera,commonsense,KEEP,no,no,1,1,111,144,
gpt-4.1-nano,57,17701,RAW_CLEAN,arrowhead,1,marginal,gender_pay,anticommonsense,KEEP,no,no,1,1,111,330,
gpt-4.1-nano,58,3253,RAW_CLEAN,arrowhead,1,correlation,obesity_mortality,easy,KEEP,no,no,1,1,99,317,
gpt-4.1-nano,59,4436,RAW_CLEAN,arrowhead,1,marginal,smoking_gene_cancer,easy,KEEP,no,no,1,1,110,240,
gpt-4.1-nano,60,7633,RAW_CLEAN,arrowhead,1,marginal,nature_vs_nurture,hard,KEEP,no,no,1,1,108,320,
gpt-4.1-nano,61,2455,RAW_CLEAN,arrowhead,1,marginal,gender_admission_state,easy,KEEP,no,no,1,1,107,316,
gpt-4.1-nano,62,13299,RAW_CLEAN,arrowhead,1,marginal,nature_vs_nurture,anticommonsense,KEEP,yes,yes,1,1,112,313,
gpt-4.1-nano,63,12888,RAW_CLEAN,arrowhead,1,marginal,gender_pay,anticommonsense,KEEP,yes,yes,1,1,110,222,
gpt-4.1-nano,64,7372,RAW_CLEAN,arrowhead,1,correlation,gender_pay,hard,KEEP,no,no,1,1,104,389,
gpt-4.1-nano,65,2611,RAW_CLEAN,arrowhead,1,marginal,gender_pay,easy,KEEP,no,no,1,1,107,247,
gpt-4.1-nano,66,7390,RAW_CLEAN,arrowhead,1,correlation,gender_pay,hard,KEEP,yes,no,0,1,104,515,
gpt-4.1-nano,67,9093,RAW_CLEAN,arrowhead,1,marginal,smoking_gene_cancer,hard,KEEP,yes,yes,1,1,110,292,
gpt-4.1-nano,68,17810,RAW_CLEAN,arrowhead,1,correlation,gender_pay,anticommonsense,KEEP,no,no,1,1,107,196,
gpt-4.1-nano,69,17809,RAW_CLEAN,arrowhead,1,marginal,gender_pay,anticommonsense,KEEP,yes,yes,1,1,111,237,
gpt-4.1-nano,70,8061,RAW_CLEAN,arrowhead,1,correlation,obesity_mortality,hard,KEEP,yes,yes,1,1,99,219,
gpt-4.1-nano,71,4065,RAW_CLEAN,arrowhead,1,correlation,smoke_birthWeight,easy,KEEP,no,no,1,1,107,381,
gpt-4.1-nano,72,4477,RAW_CLEAN,arrowhead,1,correlation,smoking_gene_cancer,easy,KEEP,no,no,1,1,104,435,
gpt-4.1-nano,73,4417,RAW_CLEAN,arrowhead,1,marginal,smoking_gene_cancer,easy,KEEP,no,no,1,1,110,255,
gpt-4.1-nano,74,7605,RAW_CLEAN,arrowhead,1,correlation,nature_vs_nurture,hard,KEEP,no,yes,0,1,103,334,
gpt-4.1-nano,75,2320,RAW_CLEAN,arrowhead,1,marginal,gender_admission_state,easy,KEEP,no,no,1,1,107,300,
gpt-4.1-nano,76,12762,RAW_CLEAN,arrowhead,2,backadj,gender_admission_state,anticommonsense,KEEP,no,no,1,1,119,3,
gpt-4.1-nano,77,4457,RAW_CLEAN,arrowhead,2,backadj,smoking_gene_cancer,easy,KEEP,yes,no,0,1,113,3,
gpt-4.1-nano,78,12707,RAW_CLEAN,arrowhead,2,backadj,gender_admission_state,anticommonsense,KEEP,no,no,1,1,119,3,
gpt-4.1-nano,79,7378,RAW_CLEAN,arrowhead,2,backadj,gender_pay,hard,KEEP,no,yes,0,1,115,3,
gpt-4.1-nano,80,13538,RAW_CLEAN,arrowhead,2,ate,obesity_mortality,anticommonsense,KEEP,no,yes,0,1,98,1,
gpt-4.1-nano,81,9160,RAW_CLEAN,arrowhead,2,ate,smoking_gene_cancer,hard,KEEP,no,no,1,1,98,121,
gpt-4.1-nano,82,2848,RAW_CLEAN,arrowhead,2,ate,nature_vs_nurture,easy,KEEP,no,no,1,1,97,152,
gpt-4.1-nano,83,7592,RAW_CLEAN,arrowhead,2,ate,nature_vs_nurture,hard,KEEP,yes,yes,1,1,97,118,
