model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-5.6-luna,36,13899,RAW,IV,2,ate,price,anticommonsense,IRRELEVANT,no,no,1,1,129,461,
gpt-5.6-luna,37,9467,RAW,IV,2,ate,water_cholera,hard,IRRELEVANT,no,no,1,1,131,524,
gpt-5.6-luna,38,8277,RAW,IV,2,ate,price,hard,IRRELEVANT,no,no,1,1,129,918,
gpt-5.6-luna,42,16786,RAW,IV,2,ate,cholesterol,anticommonsense,IRRELEVANT,no,no,1,1,131,458,
gpt-5.6-luna,44,18686,RAW,IV,2,ate,price,anticommonsense,IRRELEVANT,yes,no,0,1,129,251,
gpt-5.6-luna,50,6665,RAW,IV,2,ate,college_wage,hard,IRRELEVANT,yes,no,0,1,123,524,
gpt-5.6-luna,51,11998,RAW,IV,2,ate,cholesterol,anticommonsense,IRRELEVANT,no,no,1,1,131,310,
gpt-5.6-luna,53,6642,RAW,IV,2,ate,college_wage,hard,IRRELEVANT,no,no,1,1,123,524,
gpt-5.6-luna,62,13847,RAW,IV,2,ate,price,anticommonsense,IRRELEVANT,yes,no,0,1,129,524,
gpt-5.6-luna,66,13836,RAW,IV,2,ate,price,anticommonsense,IRRELEVANT,yes,no,0,1,130,524,
gpt-5.6-luna,68,9755,RAW,IV,3,det-counterfactual,cholesterol,commonsense,IRRELEVANT,no,no,1,1,100,524,
gpt-5.6-luna,69,20698,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,yes,yes,1,1,97,178,
gpt-5.6-luna,70,20743,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,IRRELEVANT,yes,yes,1,1,104,239,
gpt-5.6-luna,71,20700,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,yes,yes,1,1,97,413,
gpt-5.6-luna,72,10039,RAW,IV,3,det-counterfactual,price,commonsense,IRRELEVANT,no,no,1,1,102,212,
gpt-5.6-luna,73,20728,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,no,no,1,1,98,208,
gpt-5.6-luna,74,10332,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,IRRELEVANT,yes,no,0,1,101,524,
gpt-5.6-luna,75,9782,RAW,IV,3,det-counterfactual,college_wage,commonsense,IRRELEVANT,no,no,1,1,99,134,
gpt-5.6-luna,76,20757,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,IRRELEVANT,no,no,1,1,104,251,
gpt-5.6-luna,77,20169,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,IRRELEVANT,yes,yes,1,1,100,155,
gpt-5.6-luna,78,20125,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,IRRELEVANT,yes,no,0,1,100,300,
gpt-5.6-luna,79,10360,RAW,IV,3,det-counterfactual,water_cholera,commonsense,IRRELEVANT,yes,yes,1,1,105,151,
gpt-5.6-luna,80,20408,RAW,IV,3,det-counterfactual,price,anticommonsense,IRRELEVANT,yes,no,0,1,104,254,
gpt-5.6-luna,81,20114,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,IRRELEVANT,no,no,1,1,100,371,
gpt-5.6-luna,82,20451,RAW,IV,3,det-counterfactual,price,anticommonsense,IRRELEVANT,no,no,1,1,101,137,
gpt-5.6-luna,83,9819,RAW,IV,3,det-counterfactual,college_wage,commonsense,IRRELEVANT,no,no,1,1,99,221,
gpt-5.6-luna,84,20116,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,IRRELEVANT,no,no,1,1,102,144,
