model,item,id,cond,graph_id,rung,query_type,story_id,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,5,4711,DR_k1,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,yes,yes,1,1,148,498,
gpt-4.1-nano,7,15133,DR_k1,IV,2,ate,water_cholera,SYMBOL,no,no,1,1,173,324,
gpt-4.1-nano,6,16813,DR_k1,IV,2,backadj,cholesterol,SYMBOL,no,yes,0,1,152,163,
gpt-4.1-nano,2,19758,PROSE,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,yes,,0,0,138,700,
gpt-4.1-nano,6,16813,ORACLE,IV,2,backadj,cholesterol,SYMBOL,no,yes,0,1,158,350,
gpt-4.1-nano,7,15133,RAW,IV,2,ate,water_cholera,SYMBOL,no,no,1,1,132,578,
gpt-4.1-nano,9,19839,RAW,IV,2,backadj,water_cholera,SYMBOL,yes,no,0,1,121,3,
gpt-4.1-nano,5,4711,RAW,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,yes,yes,1,1,107,227,
gpt-4.1-nano,6,16813,RAW,IV,2,backadj,cholesterol,SYMBOL,no,no,1,1,117,3,
gpt-4.1-nano,0,19800,DR_k1,IV,1,correlation,tax_smoke_birthWeight,SYMBOL,no,no,1,1,143,320,
gpt-4.1-nano,0,19800,RAW,IV,1,correlation,tax_smoke_birthWeight,SYMBOL,no,no,1,1,102,339,
gpt-4.1-nano,6,16813,PROSE,IV,2,backadj,cholesterol,SYMBOL,no,no,1,1,143,218,
gpt-4.1-nano,3,4655,ORACLE,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,yes,yes,1,1,148,375,
gpt-4.1-nano,0,19800,ORACLE,IV,1,correlation,tax_smoke_birthWeight,SYMBOL,no,no,1,1,143,349,
gpt-4.1-nano,7,15133,PROSE,IV,2,ate,water_cholera,SYMBOL,no,no,1,1,158,449,
gpt-4.1-nano,3,4655,RAW,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,yes,yes,1,1,107,227,
gpt-4.1-nano,5,4711,ORACLE,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,yes,yes,1,1,148,407,
gpt-4.1-nano,0,19800,PROSE,IV,1,correlation,tax_smoke_birthWeight,SYMBOL,no,no,1,1,128,310,
gpt-4.1-nano,2,19758,DR_k1,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,yes,no,0,1,147,700,
gpt-4.1-nano,2,19758,RAW,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,yes,yes,1,1,112,433,
gpt-4.1-nano,3,4655,PROSE,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,yes,yes,1,1,133,426,
gpt-4.1-nano,1,4782,DR_k1,IV,1,correlation,water_cholera,SYMBOL,no,no,1,1,143,347,
gpt-4.1-nano,7,15133,ORACLE,IV,2,ate,water_cholera,SYMBOL,no,no,1,1,173,366,
gpt-4.1-nano,1,4782,RAW,IV,1,correlation,water_cholera,SYMBOL,no,no,1,1,102,185,
gpt-4.1-nano,3,4655,DR_k1,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,yes,yes,1,1,148,297,
gpt-4.1-nano,4,9401,RAW,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,no,no,1,1,107,158,
gpt-4.1-nano,5,4711,PROSE,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,yes,yes,1,1,133,331,
gpt-4.1-nano,4,9401,PROSE,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,no,no,1,1,133,325,
gpt-4.1-nano,4,9401,ORACLE,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,no,no,1,1,148,368,
gpt-4.1-nano,8,13835,ORACLE,IV,2,ate,price,SYMBOL,no,no,1,1,171,357,
gpt-4.1-nano,8,13835,PROSE,IV,2,ate,price,SYMBOL,no,no,1,1,156,319,
gpt-4.1-nano,1,4782,ORACLE,IV,1,correlation,water_cholera,SYMBOL,no,no,1,1,143,340,
gpt-4.1-nano,2,19758,ORACLE,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,yes,no,0,1,153,700,
gpt-4.1-nano,4,9401,DR_k1,IV,1,marginal,tax_smoke_birthWeight,SYMBOL,no,no,1,1,148,383,
gpt-4.1-nano,1,4782,PROSE,IV,1,correlation,water_cholera,SYMBOL,no,no,1,1,128,365,
