item,story,cond,lexicon,gold,n_nodes,has_data,path,model,pred,parsed,correct,in_tok,out_tok,error
6,"the amount of exercise a person does per week | the person's physical fitness level | the person's risk of developing chronic diseases || AB,AC",ORACLE,KEEP,no,3,True,True,gpt-4.1,no,1,1,218,114,
6,"the amount of exercise a person does per week | the person's physical fitness level | the person's risk of developing chronic diseases || AB,AC",RAW,KEEP,no,3,True,True,gpt-4.1,no,1,1,175,57,
7,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",ORACLE,KEEP,yes,3,True,True,gpt-4.1,yes,1,1,230,150,
7,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",RAW,KEEP,yes,3,True,True,gpt-4.1,yes,1,1,174,93,
8,"amount of money saved | financial return on investment | investment in stocks || AB,AC,BC",ORACLE,KEEP,yes,3,True,True,gpt-4.1,yes,1,1,196,138,
8,"amount of money saved | financial return on investment | investment in stocks || AB,AC,BC",RAW,KEEP,yes,3,True,True,gpt-4.1,yes,1,1,150,3,
17,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",ORACLE,KEEP,yes,3,True,True,gpt-4.1,yes,1,1,230,143,
17,"the grade obtained on the exam | whether a student studies for an exam or not | whether the student passes the course or not || AB,BC",RAW,KEEP,yes,3,True,True,gpt-4.1,yes,1,1,174,64,
19,"amount of exercise | body weight | dietary habits | risk of developing chronic diseases || AC,BC,CD",ORACLE,KEEP,no,4,True,True,gpt-4.1,no,1,1,195,140,
19,"amount of exercise | body weight | dietary habits | risk of developing chronic diseases || AC,BC,CD",RAW,KEEP,no,4,True,True,gpt-4.1,no,1,1,146,73,
20,"amount of rainfall | growth rate of plants | water level in a nearby river || AB,AC",ORACLE,KEEP,no,3,False,False,gpt-4.1,no,1,1,131,70,
20,"amount of rainfall | growth rate of plants | water level in a nearby river || AB,AC",RAW,KEEP,no,3,False,False,gpt-4.1,no,1,1,96,96,
28,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",ORACLE,KEEP,no,4,True,True,gpt-4.1,no,1,1,415,577,
28,"the amount of sleep the night before the exam | the number of hours studied for an exam | the overall performance in the course | the score obtained on the exam || AB,AC,BD,CD",RAW,KEEP,no,4,True,True,gpt-4.1,no,1,1,331,541,
37,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,175,122,
37,"customer satisfaction with a product | number of positive reviews for the product | revenue generated from the product | sales performance of the product || AB,AD,BC,CD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,102,100,
46,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",ORACLE,KEEP,no,4,True,True,gpt-4.1,no,1,1,253,155,
46,"whether a person eats a healthy diet | whether a person exercises regularly | whether a person has good cardiovascular health | whether a person maintains a healthy weight || AB,AD,BC,CD",RAW,KEEP,no,4,True,True,gpt-4.1,no,1,1,174,3,
50,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",ORACLE,KEEP,no,5,True,True,gpt-4.1,no,1,1,431,496,
50,"whether a person is exposed to a contagious disease | whether the person receives appropriate treatment | whether the person recovers from the disease | whether the person seeks medical attention | whether the person shows symptoms of the disease || AB,AE,BC,BD,CD,CE,DE",RAW,KEEP,no,5,True,True,gpt-4.1,no,1,1,310,581,
51,"employment status | happiness level | income | level of education || AB,AC,AD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,123,70,
51,"employment status | happiness level | income | level of education || AB,AC,AD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,92,149,
63,"amount of exercise | body weight | caloric intake | overall health || AD,BC,CD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,139,68,
63,"amount of exercise | body weight | caloric intake | overall health || AD,BC,CD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,92,3,
64,"the amount of sleep the night before the exam | the exam score | the number of hours studied for an exam || AC,BC",ORACLE,KEEP,no,3,False,False,gpt-4.1,no,1,1,167,79,
64,"the amount of sleep the night before the exam | the exam score | the number of hours studied for an exam || AC,BC",RAW,KEEP,no,3,False,False,gpt-4.1,no,1,1,117,3,
65,"crop yield | harvest quality | temperature | weather conditions || AC,AD,BC,BD,CD",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,180,161,
65,"crop yield | harvest quality | temperature | weather conditions || AC,AD,BC,BD,CD",RAW,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,130,3,
66,"a company | company expenses | company profit | company revenue || AB,AC,AD,BC",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,131,128,
66,"a company | company expenses | company profit | company revenue || AB,AC,AD,BC",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,90,131,
67,"first-born child | parent | second-born child | third-born child || AB,AC,AD,BC,BD",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,140,95,
67,"first-born child | parent | second-born child | third-born child || AB,AC,AD,BC,BD",RAW,KEEP,no,4,False,False,gpt-4.1,no,1,1,91,3,
68,"amount of exercise | overall health status | physical fitness level || AB,BC",ORACLE,KEEP,no,3,False,False,gpt-4.1,no,1,1,133,72,
68,"amount of exercise | overall health status | physical fitness level || AB,BC",RAW,KEEP,no,3,False,False,gpt-4.1,no,1,1,94,85,
69,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",ORACLE,KEEP,no,5,True,True,gpt-4.1,no,1,1,204,143,
69,"patient's diet | patient's exercise habits | patient's life expectancy | patient's overall health | patient's stress levels || AD,BD,CD,DE",RAW,KEEP,no,5,True,True,gpt-4.1,no,1,1,138,41,
71,"the exam score | the number of hours spent sleeping the night before the exam | the number of hours spent studying for an exam || AC,BC",ORACLE,KEEP,yes,3,True,True,gpt-4.1,yes,1,1,219,162,
71,"the exam score | the number of hours spent sleeping the night before the exam | the number of hours spent studying for an exam || AC,BC",RAW,KEEP,yes,3,True,True,gpt-4.1,yes,1,1,166,3,
72,"a person's education level | the person's income | the person's job title | the person's salary || AC,AD,BC",ORACLE,KEEP,no,4,False,False,gpt-4.1,no,1,1,140,71,
72,"a person's education level | the person's income | the person's job title | the person's salary || AC,AD,BC",RAW,KEEP,no,4,False,False,gpt-4.1,yes,1,0,94,221,
75,"job performance rating | level of education | salary | years of work experience || AC,AD,BC,BD",ORACLE,KEEP,yes,4,True,True,gpt-4.1,yes,1,1,191,97,
