model,item,id,cond,graph_id,rung,query_type,story_id,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,1,4782,RAW,IV,1,correlation,water_cholera,KEEP,no,no,1,1,111,281,
gpt-4.1-nano,3,4655,RAW,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,127,253,
gpt-4.1-nano,2,19758,DR_k1,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,181,364,
gpt-4.1-nano,2,19758,PROSE,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,175,317,
gpt-4.1-nano,2,19758,RAW,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,130,304,
gpt-4.1-nano,1,4782,ORACLE,IV,1,correlation,water_cholera,KEEP,no,no,1,1,159,353,
gpt-4.1-nano,0,19800,RAW,IV,1,correlation,tax_smoke_birthWeight,KEEP,no,no,1,1,124,319,
gpt-4.1-nano,0,19800,DR_k1,IV,1,correlation,tax_smoke_birthWeight,KEEP,no,no,1,1,185,397,
gpt-4.1-nano,3,4655,ORACLE,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,189,382,
gpt-4.1-nano,3,4655,PROSE,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,173,391,
gpt-4.1-nano,3,4655,DR_k1,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,192,395,
gpt-4.1-nano,0,19800,ORACLE,IV,1,correlation,tax_smoke_birthWeight,KEEP,no,no,1,1,185,369,
gpt-4.1-nano,2,19758,ORACLE,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,191,406,
gpt-4.1-nano,6,16813,RAW,IV,2,backadj,cholesterol,KEEP,no,no,1,1,133,3,
gpt-4.1-nano,0,19800,PROSE,IV,1,correlation,tax_smoke_birthWeight,KEEP,no,no,1,1,169,477,
gpt-4.1-nano,1,4782,PROSE,IV,1,correlation,water_cholera,KEEP,no,no,1,1,143,487,
gpt-4.1-nano,4,9401,RAW,IV,1,marginal,tax_smoke_birthWeight,KEEP,no,no,1,1,127,254,
gpt-4.1-nano,5,4711,PROSE,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,173,254,
gpt-4.1-nano,4,9401,PROSE,IV,1,marginal,tax_smoke_birthWeight,KEEP,no,no,1,1,173,275,
gpt-4.1-nano,4,9401,ORACLE,IV,1,marginal,tax_smoke_birthWeight,KEEP,no,no,1,1,189,375,
gpt-4.1-nano,5,4711,RAW,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,127,264,
gpt-4.1-nano,4,9401,DR_k1,IV,1,marginal,tax_smoke_birthWeight,KEEP,no,no,1,1,192,374,
gpt-4.1-nano,1,4782,DR_k1,IV,1,correlation,water_cholera,KEEP,no,no,1,1,158,650,
gpt-4.1-nano,6,16813,DR_k1,IV,2,backadj,cholesterol,KEEP,no,yes,0,1,180,236,
gpt-4.1-nano,9,19839,RAW,IV,2,backadj,water_cholera,KEEP,yes,no,0,1,124,3,
gpt-4.1-nano,10,4741,PROSE,IV,2,ate,water_cholera,KEEP,no,no,1,1,179,269,
gpt-4.1-nano,10,4741,RAW,IV,2,ate,water_cholera,KEEP,no,no,1,1,147,700,
gpt-4.1-nano,10,4741,ORACLE,IV,2,ate,water_cholera,KEEP,no,no,1,1,195,683,
gpt-4.1-nano,7,15133,ORACLE,IV,2,ate,water_cholera,KEEP,no,yes,0,1,201,224,
gpt-4.1-nano,6,16813,ORACLE,IV,2,backadj,cholesterol,KEEP,no,no,1,1,188,190,
gpt-4.1-nano,8,13835,PROSE,IV,2,ate,price,KEEP,no,no,1,1,172,379,
gpt-4.1-nano,7,15133,RAW,IV,2,ate,water_cholera,KEEP,no,no,1,1,150,292,
gpt-4.1-nano,5,4711,DR_k1,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,188,450,
gpt-4.1-nano,5,4711,ORACLE,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,189,427,
gpt-4.1-nano,9,19839,PROSE,IV,2,backadj,water_cholera,KEEP,yes,yes,1,1,154,183,
gpt-4.1-nano,9,19839,ORACLE,IV,2,backadj,water_cholera,KEEP,yes,yes,1,1,170,177,
gpt-4.1-nano,9,19839,DR_k1,IV,2,backadj,water_cholera,KEEP,yes,yes,1,1,163,173,
gpt-4.1-nano,7,15133,DR_k1,IV,2,ate,water_cholera,KEEP,no,yes,0,1,199,153,
gpt-4.1-nano,7,15133,PROSE,IV,2,ate,water_cholera,KEEP,no,no,1,1,186,695,
gpt-4.1-nano,8,13835,RAW,IV,2,ate,price,KEEP,no,no,1,1,144,450,
gpt-4.1-nano,11,9410,PROSE,IV,2,ate,tax_smoke_birthWeight,KEEP,no,no,1,1,193,341,
gpt-4.1-nano,8,13835,DR_k1,IV,2,ate,price,KEEP,no,no,1,1,181,514,
gpt-4.1-nano,11,9410,DR_k1,IV,2,ate,tax_smoke_birthWeight,KEEP,no,no,1,1,199,384,
gpt-4.1-nano,8,13835,ORACLE,IV,2,ate,price,KEEP,no,no,1,1,187,547,
gpt-4.1-nano,11,9410,RAW,IV,2,ate,tax_smoke_birthWeight,KEEP,no,no,1,1,147,411,
gpt-4.1-nano,11,9410,ORACLE,IV,2,ate,tax_smoke_birthWeight,KEEP,no,no,1,1,209,386,
gpt-4.1-nano,13,20753,PROSE,IV,3,det-counterfactual,water_cholera,KEEP,no,yes,0,1,158,360,
gpt-4.1-nano,6,16813,PROSE,IV,2,backadj,cholesterol,KEEP,no,no,1,1,173,3,
gpt-4.1-nano,12,10311,PROSE,IV,3,det-counterfactual,tax_smoke_birthWeight,KEEP,no,no,1,1,173,500,
gpt-4.1-nano,12,10311,DR_k1,IV,3,det-counterfactual,tax_smoke_birthWeight,KEEP,no,no,1,1,188,474,
gpt-4.1-nano,12,10311,ORACLE,IV,3,det-counterfactual,tax_smoke_birthWeight,KEEP,no,yes,0,1,189,454,
gpt-4.1-nano,12,10311,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,KEEP,no,no,1,1,127,458,
gpt-4.1-nano,14,20742,PROSE,IV,3,det-counterfactual,water_cholera,KEEP,yes,yes,1,1,158,307,
gpt-4.1-nano,13,20753,ORACLE,IV,3,det-counterfactual,water_cholera,KEEP,no,no,1,1,173,333,
gpt-4.1-nano,10,4741,DR_k1,IV,2,ate,water_cholera,KEEP,no,no,1,1,194,553,
gpt-4.1-nano,14,20742,RAW,IV,3,det-counterfactual,water_cholera,KEEP,yes,yes,1,1,122,294,
gpt-4.1-nano,14,20742,ORACLE,IV,3,det-counterfactual,water_cholera,KEEP,yes,no,0,1,173,353,
gpt-4.1-nano,17,10048,PROSE,IV,3,det-counterfactual,price,KEEP,no,yes,0,1,143,120,
gpt-4.1-nano,13,20753,DR_k1,IV,3,det-counterfactual,water_cholera,KEEP,no,no,1,1,172,465,
gpt-4.1-nano,15,20143,PROSE,IV,3,det-counterfactual,cholesterol,KEEP,yes,yes,1,1,170,309,
gpt-4.1-nano,17,10048,RAW,IV,3,det-counterfactual,price,KEEP,no,no,1,1,115,145,
gpt-4.1-nano,15,20143,DR_k1,IV,3,det-counterfactual,cholesterol,KEEP,yes,yes,1,1,189,376,
gpt-4.1-nano,16,9804,PROSE,IV,3,det-counterfactual,college_wage,KEEP,no,yes,0,1,171,237,
gpt-4.1-nano,15,20143,ORACLE,IV,3,det-counterfactual,cholesterol,KEEP,yes,yes,1,1,185,456,
gpt-4.1-nano,17,10048,ORACLE,IV,3,det-counterfactual,price,KEEP,no,yes,0,1,158,209,
gpt-4.1-nano,16,9804,RAW,IV,3,det-counterfactual,college_wage,KEEP,no,no,1,1,133,272,
gpt-4.1-nano,16,9804,ORACLE,IV,3,det-counterfactual,college_wage,KEEP,no,yes,0,1,186,382,
gpt-4.1-nano,15,20143,RAW,IV,3,det-counterfactual,cholesterol,KEEP,yes,yes,1,1,135,503,
gpt-4.1-nano,17,10048,DR_k1,IV,3,det-counterfactual,price,KEEP,no,yes,0,1,158,187,
gpt-4.1-nano,16,9804,DR_k1,IV,3,det-counterfactual,college_wage,KEEP,no,yes,0,1,178,430,
gpt-4.1-nano,13,20753,RAW,IV,3,det-counterfactual,water_cholera,KEEP,no,no,1,1,122,450,
gpt-4.1-nano,18,3257,RAW,arrowhead,1,marginal,obesity_mortality,KEEP,no,no,1,1,108,267,
gpt-4.1-nano,18,3257,PROSE,arrowhead,1,marginal,obesity_mortality,KEEP,no,no,1,1,137,294,
gpt-4.1-nano,20,19542,PROSE,arrowhead,1,marginal,smoking_gene_cancer,KEEP,no,no,1,1,152,258,
gpt-4.1-nano,19,7727,PROSE,arrowhead,1,marginal,nature_vs_nurture,KEEP,no,no,1,1,164,296,
gpt-4.1-nano,19,7727,RAW,arrowhead,1,marginal,nature_vs_nurture,KEEP,no,no,1,1,118,347,
gpt-4.1-nano,20,19542,RAW,arrowhead,1,marginal,smoking_gene_cancer,KEEP,no,no,1,1,119,274,
gpt-4.1-nano,19,7727,DR_k1,arrowhead,1,marginal,nature_vs_nurture,KEEP,no,no,1,1,180,433,
gpt-4.1-nano,18,3257,DR_k1,arrowhead,1,marginal,obesity_mortality,KEEP,no,no,1,1,153,392,
gpt-4.1-nano,18,3257,ORACLE,arrowhead,1,marginal,obesity_mortality,KEEP,no,no,1,1,153,388,
gpt-4.1-nano,21,13243,RAW,arrowhead,1,correlation,nature_vs_nurture,KEEP,no,no,1,1,117,248,
gpt-4.1-nano,19,7727,ORACLE,arrowhead,1,marginal,nature_vs_nurture,KEEP,no,no,1,1,179,443,
gpt-4.1-nano,20,19542,ORACLE,arrowhead,1,marginal,smoking_gene_cancer,KEEP,no,no,1,1,167,378,
gpt-4.1-nano,21,13243,PROSE,arrowhead,1,correlation,nature_vs_nurture,KEEP,no,no,1,1,164,344,
gpt-4.1-nano,24,17802,RAW,arrowhead,2,backadj,gender_pay,KEEP,no,yes,0,1,127,3,
gpt-4.1-nano,24,17802,PROSE,arrowhead,2,backadj,gender_pay,KEEP,no,yes,0,1,159,3,
gpt-4.1-nano,20,19542,DR_k1,arrowhead,1,marginal,smoking_gene_cancer,KEEP,no,no,1,1,167,384,
gpt-4.1-nano,25,7137,RAW,arrowhead,2,backadj,gender_admission_state,KEEP,yes,no,0,1,121,3,
gpt-4.1-nano,22,18339,RAW,arrowhead,1,marginal,obesity_mortality,KEEP,no,no,1,1,117,263,
gpt-4.1-nano,25,7137,PROSE,arrowhead,2,backadj,gender_admission_state,KEEP,yes,no,0,1,156,3,
gpt-4.1-nano,21,13243,ORACLE,arrowhead,1,correlation,nature_vs_nurture,KEEP,no,no,1,1,179,414,
gpt-4.1-nano,22,18339,PROSE,arrowhead,1,marginal,obesity_mortality,KEEP,no,no,1,1,147,342,
gpt-4.1-nano,23,19527,PROSE,arrowhead,1,marginal,smoking_gene_cancer,KEEP,yes,yes,1,1,152,248,
gpt-4.1-nano,26,12885,RAW,arrowhead,2,ate,gender_pay,KEEP,yes,yes,1,1,106,1,
gpt-4.1-nano,22,18339,DR_k1,arrowhead,1,marginal,obesity_mortality,KEEP,no,no,1,1,164,356,
gpt-4.1-nano,23,19527,RAW,arrowhead,1,marginal,smoking_gene_cancer,KEEP,yes,yes,1,1,119,241,
gpt-4.1-nano,26,12885,PROSE,arrowhead,2,ate,gender_pay,KEEP,yes,yes,1,1,137,95,
gpt-4.1-nano,21,13243,DR_k1,arrowhead,1,correlation,nature_vs_nurture,KEEP,no,no,1,1,178,396,
gpt-4.1-nano,24,17802,DR_k1,arrowhead,2,backadj,gender_pay,KEEP,no,yes,0,1,176,205,
gpt-4.1-nano,24,17802,ORACLE,arrowhead,2,backadj,gender_pay,KEEP,no,yes,0,1,174,202,
gpt-4.1-nano,25,7137,ORACLE,arrowhead,2,backadj,gender_admission_state,KEEP,yes,yes,1,1,171,223,
gpt-4.1-nano,29,4313,PROSE,arrowhead,2,backadj,smoking_gene_cancer,KEEP,no,yes,0,1,155,174,
gpt-4.1-nano,29,4313,RAW,arrowhead,2,backadj,smoking_gene_cancer,KEEP,no,yes,0,1,124,3,
gpt-4.1-nano,26,12885,ORACLE,arrowhead,2,ate,gender_pay,KEEP,yes,yes,1,1,152,125,
gpt-4.1-nano,22,18339,ORACLE,arrowhead,1,marginal,obesity_mortality,KEEP,no,no,1,1,163,408,
gpt-4.1-nano,23,19527,DR_k1,arrowhead,1,marginal,smoking_gene_cancer,KEEP,yes,yes,1,1,167,454,
gpt-4.1-nano,23,19527,ORACLE,arrowhead,1,marginal,smoking_gene_cancer,KEEP,yes,yes,1,1,167,474,
gpt-4.1-nano,27,7599,RAW,arrowhead,2,ate,nature_vs_nurture,KEEP,yes,yes,1,1,107,105,
gpt-4.1-nano,28,2356,RAW,arrowhead,2,ate,gender_admission_state,KEEP,yes,yes,1,1,104,53,
gpt-4.1-nano,28,2356,PROSE,arrowhead,2,ate,gender_admission_state,KEEP,yes,yes,1,1,139,55,
gpt-4.1-nano,25,7137,DR_k1,arrowhead,2,backadj,gender_admission_state,KEEP,yes,yes,1,1,170,278,
gpt-4.1-nano,26,12885,DR_k1,arrowhead,2,ate,gender_pay,KEEP,yes,yes,1,1,154,440,
gpt-4.1-nano,27,7599,PROSE,arrowhead,2,ate,nature_vs_nurture,KEEP,yes,yes,1,1,153,228,
gpt-4.1-nano,27,7599,DR_k1,arrowhead,2,ate,nature_vs_nurture,KEEP,yes,yes,1,1,169,240,
gpt-4.1-nano,28,2356,DR_k1,arrowhead,2,ate,gender_admission_state,KEEP,yes,yes,1,1,153,382,
gpt-4.1-nano,29,4313,ORACLE,arrowhead,2,backadj,smoking_gene_cancer,KEEP,no,yes,0,1,170,390,
gpt-4.1-nano,27,7599,ORACLE,arrowhead,2,ate,nature_vs_nurture,KEEP,yes,yes,1,1,168,347,
gpt-4.1-nano,28,2356,ORACLE,arrowhead,2,ate,gender_admission_state,KEEP,yes,yes,1,1,154,378,
gpt-4.1-nano,29,4313,DR_k1,arrowhead,2,backadj,smoking_gene_cancer,KEEP,no,no,1,1,170,296,
gpt-4.1-nano,30,9885,RAW,arrowhead,3,det-counterfactual,gender_admission_state,KEEP,no,no,1,1,112,183,
gpt-4.1-nano,30,9885,ORACLE,arrowhead,3,det-counterfactual,gender_admission_state,KEEP,no,no,1,1,162,353,
gpt-4.1-nano,30,9885,PROSE,arrowhead,3,det-counterfactual,gender_admission_state,KEEP,no,no,1,1,147,514,
gpt-4.1-nano,32,17732,PROSE,arrowhead,3,nie,gender_pay,KEEP,no,yes,0,1,299,396,
gpt-4.1-nano,30,9885,DR_k1,arrowhead,3,det-counterfactual,gender_admission_state,KEEP,no,no,1,1,161,497,
gpt-4.1-nano,32,17732,RAW,arrowhead,3,nie,gender_pay,KEEP,no,yes,0,1,267,486,
gpt-4.1-nano,33,20254,RAW,arrowhead,3,det-counterfactual,gender_admission_state,KEEP,no,no,1,1,114,316,
gpt-4.1-nano,31,19218,RAW,arrowhead,3,nde,smoke_birthWeight,KEEP,no,no,1,1,278,700,
gpt-4.1-nano,31,19218,ORACLE,arrowhead,3,nde,smoke_birthWeight,KEEP,no,yes,0,1,336,700,
gpt-4.1-nano,33,20254,ORACLE,arrowhead,3,det-counterfactual,gender_admission_state,KEEP,no,no,1,1,164,457,
gpt-4.1-nano,31,19218,PROSE,arrowhead,3,nde,smoke_birthWeight,KEEP,no,yes,0,1,321,700,
gpt-4.1-nano,14,20742,DR_k1,IV,3,det-counterfactual,water_cholera,KEEP,yes,yes,1,1,172,395,
gpt-4.1-nano,31,19218,DR_k1,arrowhead,3,nde,smoke_birthWeight,KEEP,no,no,1,1,334,700,
gpt-4.1-nano,34,19501,PROSE,arrowhead,3,ett,smoking_gene_cancer,KEEP,no,no,1,1,154,334,
gpt-4.1-nano,32,17732,ORACLE,arrowhead,3,nie,gender_pay,KEEP,no,,0,0,314,700,
gpt-4.1-nano,32,17732,DR_k1,arrowhead,3,nie,gender_pay,KEEP,no,yes,0,1,314,589,
gpt-4.1-nano,34,19501,RAW,arrowhead,3,ett,smoking_gene_cancer,KEEP,no,no,1,1,121,480,
gpt-4.1-nano,33,20254,DR_k1,arrowhead,3,det-counterfactual,gender_admission_state,KEEP,no,no,1,1,164,545,
gpt-4.1-nano,33,20254,PROSE,arrowhead,3,det-counterfactual,gender_admission_state,KEEP,no,no,1,1,149,615,
gpt-4.1-nano,34,19501,ORACLE,arrowhead,3,ett,smoking_gene_cancer,KEEP,no,no,1,1,169,423,
gpt-4.1-nano,36,3303,RAW,chain,1,correlation,orange_scurvy,KEEP,yes,no,0,1,106,347,
gpt-4.1-nano,35,18031,RAW,arrowhead,3,nie,nature_vs_nurture,KEEP,yes,yes,1,1,276,414,
gpt-4.1-nano,34,19501,DR_k1,arrowhead,3,ett,smoking_gene_cancer,KEEP,no,no,1,1,169,483,
gpt-4.1-nano,36,3303,PROSE,chain,1,correlation,orange_scurvy,KEEP,yes,no,0,1,129,559,
gpt-4.1-nano,37,3405,PROSE,chain,1,correlation,orange_scurvy,KEEP,yes,yes,1,1,129,335,
gpt-4.1-nano,38,1752,RAW,chain,1,marginal,college_salary,KEEP,yes,yes,1,1,112,256,
gpt-4.1-nano,36,3303,ORACLE,chain,1,correlation,orange_scurvy,KEEP,yes,no,0,1,144,482,
gpt-4.1-nano,38,1752,PROSE,chain,1,marginal,college_salary,KEEP,yes,yes,1,1,129,274,
gpt-4.1-nano,35,18031,PROSE,arrowhead,3,nie,nature_vs_nurture,KEEP,yes,,0,0,322,700,
gpt-4.1-nano,37,3405,DR_k1,chain,1,correlation,orange_scurvy,KEEP,yes,yes,1,1,136,451,
gpt-4.1-nano,38,1752,ORACLE,chain,1,marginal,college_salary,KEEP,yes,yes,1,1,144,322,
gpt-4.1-nano,36,3303,DR_k1,chain,1,correlation,orange_scurvy,KEEP,yes,no,0,1,144,554,
gpt-4.1-nano,35,18031,ORACLE,arrowhead,3,nie,nature_vs_nurture,KEEP,yes,,0,0,337,700,
gpt-4.1-nano,35,18031,DR_k1,arrowhead,3,nie,nature_vs_nurture,KEEP,yes,,0,0,339,700,
