item,id
0,19800
1,4782
2,19758
3,4655
4,9401
5,4711
6,16813
7,15133
8,13835
9,19839
10,4741
11,9410
12,10311
13,20753
14,20742
15,20143
16,9804
17,10048
18,3257
19,7727
20,19542
21,13243
22,18339
23,19527
24,17802
25,7137
26,12885
27,7599
28,2356
29,4313
30,9885
31,19218
32,17732
33,20254
34,19501
35,18031
36,3303
37,3405
38,1752
39,3314
40,16918
41,1679
42,4521
43,3348
44,12094
45,9311
46,3363
47,1702
48,13793
49,6551
50,18540
51,13794
52,3292
53,13705
54,1961
55,2761
56,6741
57,17117
58,2714
59,2769
60,6732
61,1564
62,12370
63,12314
64,6349
65,1960
66,8463
67,8750
68,18904
69,18888
70,8701
71,3959
72,18763
73,3966
74,3962
75,8487
76,3542
77,14113
78,10113
79,18807
80,10155
81,20463
82,18797
83,8435
84,6085
85,6065
86,563
87,15747
88,548
89,395
90,10879
91,586
92,10974
93,5379
94,15694
95,11664
96,6068
97,5443
98,5283
99,20088
100,11645
101,517
102,15486
103,281
104,10734
105,323
106,10667
107,337
108,15482
109,15577
110,5106
111,15552
112,15509
113,5137
114,19977
115,10764
116,9570
117,5086
118,350
119,10718
120,5508
121,5633
122,11358
123,15462
124,5480
125,687
126,5634
127,11317
128,16150
129,5055
130,5789
131,15365
132,207
133,16015
134,9656
135,19943
136,940
137,5054
138,8978
139,8979
140,8919
141,14610
142,4207
143,4301
144,14674
145,9014
146,14651
147,14575
148,19325
149,4166
150,20623
151,9004
152,10229
153,19421
154,4267
155,4167
156,17471
157,17284
158,7033
159,1013
160,2238
161,6811
162,1128
163,12414
164,17234
165,18271
166,16571
167,4955
168,15266
169,16591
170,11567
171,13453
172,20217
173,20215
