model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,19800,RAW_CLEAN,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,113,380,
gpt-4.1-nano,1,4782,RAW_CLEAN,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,105,282,
gpt-4.1-nano,2,19758,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,119,343,
gpt-4.1-nano,3,4655,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,116,266,
gpt-4.1-nano,4,9401,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,116,235,
gpt-4.1-nano,5,4711,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,116,281,
gpt-4.1-nano,6,16813,RAW_CLEAN,IV,2,backadj,cholesterol,anticommonsense,KEEP,no,no,1,1,122,3,
gpt-4.1-nano,7,15133,RAW_CLEAN,IV,2,ate,water_cholera,anticommonsense,KEEP,no,no,1,1,144,264,
gpt-4.1-nano,8,13835,RAW_CLEAN,IV,2,ate,price,anticommonsense,KEEP,no,no,1,1,138,312,
gpt-4.1-nano,9,19839,RAW_CLEAN,IV,2,backadj,water_cholera,anticommonsense,KEEP,yes,no,0,1,118,3,
gpt-4.1-nano,10,4741,RAW_CLEAN,IV,2,ate,water_cholera,easy,KEEP,no,no,1,1,141,700,
gpt-4.1-nano,11,9410,RAW_CLEAN,IV,2,ate,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,136,700,
gpt-4.1-nano,12,10311,RAW_CLEAN,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,KEEP,no,no,1,1,116,480,
gpt-4.1-nano,13,20753,RAW_CLEAN,IV,3,det-counterfactual,water_cholera,anticommonsense,KEEP,no,no,1,1,116,375,
gpt-4.1-nano,14,20742,RAW_CLEAN,IV,3,det-counterfactual,water_cholera,anticommonsense,KEEP,yes,yes,1,1,116,221,
gpt-4.1-nano,15,20143,RAW_CLEAN,IV,3,det-counterfactual,cholesterol,anticommonsense,KEEP,yes,yes,1,1,124,492,
gpt-4.1-nano,16,9804,RAW_CLEAN,IV,3,det-counterfactual,college_wage,commonsense,KEEP,no,yes,0,1,122,195,
gpt-4.1-nano,17,10048,RAW_CLEAN,IV,3,det-counterfactual,price,commonsense,KEEP,no,no,1,1,109,153,
gpt-4.1-nano,18,3257,RAW_CLEAN,arrowhead,1,marginal,obesity_mortality,easy,KEEP,no,no,1,1,102,243,
gpt-4.1-nano,19,7727,RAW_CLEAN,arrowhead,1,marginal,nature_vs_nurture,hard,KEEP,no,no,1,1,108,313,
gpt-4.1-nano,20,19542,RAW_CLEAN,arrowhead,1,marginal,smoking_gene_cancer,anticommonsense,KEEP,no,no,1,1,113,217,
gpt-4.1-nano,21,13243,RAW_CLEAN,arrowhead,1,correlation,nature_vs_nurture,anticommonsense,KEEP,no,no,1,1,107,273,
gpt-4.1-nano,22,18339,RAW_CLEAN,arrowhead,1,marginal,obesity_mortality,anticommonsense,KEEP,no,no,1,1,111,296,
gpt-4.1-nano,23,19527,RAW_CLEAN,arrowhead,1,marginal,smoking_gene_cancer,anticommonsense,KEEP,yes,yes,1,1,113,278,
gpt-4.1-nano,24,17802,RAW_CLEAN,arrowhead,2,backadj,gender_pay,anticommonsense,KEEP,no,yes,0,1,121,3,
gpt-4.1-nano,25,7137,RAW_CLEAN,arrowhead,2,backadj,gender_admission_state,hard,KEEP,yes,no,0,1,114,3,
gpt-4.1-nano,26,12885,RAW_CLEAN,arrowhead,2,ate,gender_pay,anticommonsense,KEEP,yes,yes,1,1,100,1,
gpt-4.1-nano,27,7599,RAW_CLEAN,arrowhead,2,ate,nature_vs_nurture,hard,KEEP,yes,yes,1,1,97,105,
gpt-4.1-nano,28,2356,RAW_CLEAN,arrowhead,2,ate,gender_admission_state,easy,KEEP,yes,yes,1,1,97,40,
gpt-4.1-nano,29,4313,RAW_CLEAN,arrowhead,2,backadj,smoking_gene_cancer,easy,KEEP,no,yes,0,1,118,3,
gpt-4.1-nano,30,9885,RAW_CLEAN,arrowhead,3,det-counterfactual,gender_admission_state,commonsense,KEEP,no,no,1,1,105,295,
gpt-4.1-nano,31,19218,RAW_CLEAN,arrowhead,3,nde,smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,271,700,
gpt-4.1-nano,32,17732,RAW_CLEAN,arrowhead,3,nie,gender_pay,anticommonsense,KEEP,no,no,1,1,261,641,
gpt-4.1-nano,33,20254,RAW_CLEAN,arrowhead,3,det-counterfactual,gender_admission_state,anticommonsense,KEEP,no,no,1,1,107,344,
gpt-4.1-nano,34,19501,RAW_CLEAN,arrowhead,3,ett,smoking_gene_cancer,anticommonsense,KEEP,no,yes,0,1,115,151,
gpt-4.1-nano,35,18031,RAW_CLEAN,arrowhead,3,nie,nature_vs_nurture,anticommonsense,KEEP,yes,,0,0,266,700,
gpt-4.1-nano,36,3303,RAW_CLEAN,chain,1,correlation,orange_scurvy,easy,KEEP,yes,no,0,1,106,347,
gpt-4.1-nano,37,3405,RAW_CLEAN,chain,1,correlation,orange_scurvy,easy,KEEP,yes,no,0,1,106,700,
gpt-4.1-nano,38,1752,RAW_CLEAN,chain,1,marginal,college_salary,easy,KEEP,yes,yes,1,1,112,256,
gpt-4.1-nano,39,3314,RAW_CLEAN,chain,1,marginal,orange_scurvy,easy,KEEP,no,no,1,1,110,305,
gpt-4.1-nano,40,16918,RAW_CLEAN,chain,1,marginal,college_salary,anticommonsense,KEEP,no,no,1,1,111,213,
gpt-4.1-nano,41,1679,RAW_CLEAN,chain,1,correlation,college_salary,easy,KEEP,yes,yes,1,1,111,514,
gpt-4.1-nano,42,4521,RAW_CLEAN,chain,2,backadj,smoking_tar_cancer,easy,KEEP,no,no,1,1,119,3,
gpt-4.1-nano,43,3348,RAW_CLEAN,chain,2,backadj,orange_scurvy,easy,KEEP,no,yes,0,1,126,3,
gpt-4.1-nano,44,12094,RAW_CLEAN,chain,2,ate,college_salary,anticommonsense,KEEP,no,no,1,1,102,64,
gpt-4.1-nano,45,9311,RAW_CLEAN,chain,2,backadj,smoking_tar_cancer,hard,KEEP,no,no,1,1,119,3,
gpt-4.1-nano,46,3363,RAW_CLEAN,chain,2,backadj,orange_scurvy,easy,KEEP,no,yes,0,1,126,3,
gpt-4.1-nano,47,1702,RAW_CLEAN,chain,2,ate,college_salary,easy,KEEP,no,no,1,1,102,49,
gpt-4.1-nano,48,13793,RAW_CLEAN,chain,3,nie,orange_scurvy,anticommonsense,KEEP,no,no,1,1,97,58,
gpt-4.1-nano,49,6551,RAW_CLEAN,chain,3,ett,college_salary,hard,KEEP,yes,yes,1,1,118,84,
gpt-4.1-nano,50,18540,RAW_CLEAN,chain,3,ett,orange_scurvy,anticommonsense,KEEP,yes,yes,1,1,107,75,
gpt-4.1-nano,51,13794,RAW_CLEAN,chain,3,nie,orange_scurvy,anticommonsense,KEEP,yes,no,0,1,97,105,
gpt-4.1-nano,52,3292,RAW_CLEAN,chain,3,ett,orange_scurvy,easy,KEEP,no,no,1,1,110,148,
gpt-4.1-nano,53,13705,RAW_CLEAN,chain,3,ett,orange_scurvy,anticommonsense,KEEP,yes,yes,1,1,107,101,
gpt-4.1-nano,54,1961,RAW_CLEAN,collision,1,exp_away,elite_students,easy,KEEP,yes,yes,1,1,172,433,
gpt-4.1-nano,55,2761,RAW_CLEAN,collision,1,exp_away,man_in_relationship,easy,KEEP,no,no,1,1,158,595,
gpt-4.1-nano,56,6741,RAW_CLEAN,collision,1,marginal,elite_students,hard,KEEP,no,no,1,1,109,289,
gpt-4.1-nano,57,17117,RAW_CLEAN,collision,1,marginal,elite_students,anticommonsense,KEEP,no,no,1,1,106,260,
gpt-4.1-nano,58,2714,RAW_CLEAN,collision,1,exp_away,hospitalization,easy,KEEP,no,no,1,1,164,168,
gpt-4.1-nano,59,2769,RAW_CLEAN,collision,1,exp_away,man_in_relationship,easy,KEEP,yes,yes,1,1,158,176,
gpt-4.1-nano,60,6732,RAW_CLEAN,collision,2,collider_bias,elite_students,hard,KEEP,no,no,1,1,97,139,
gpt-4.1-nano,61,1564,RAW_CLEAN,collision,2,backadj,celebrity,easy,KEEP,yes,no,0,1,111,3,
gpt-4.1-nano,62,12370,RAW_CLEAN,collision,2,collider_bias,elite_students,anticommonsense,KEEP,no,no,1,1,101,3,
gpt-4.1-nano,63,12314,RAW_CLEAN,collision,2,collider_bias,elite_students,anticommonsense,KEEP,no,no,1,1,101,1,
gpt-4.1-nano,64,6349,RAW_CLEAN,collision,2,backadj,celebrity,hard,KEEP,no,no,1,1,115,3,
gpt-4.1-nano,65,1960,RAW_CLEAN,collision,2,collider_bias,elite_students,easy,KEEP,yes,no,0,1,99,158,
gpt-4.1-nano,66,8463,RAW_CLEAN,confounding,1,correlation,simpson_hospital,hard,KEEP,yes,yes,1,1,103,346,
gpt-4.1-nano,67,8750,RAW_CLEAN,confounding,1,correlation,simpson_vaccine,hard,KEEP,yes,yes,1,1,111,279,
gpt-4.1-nano,68,18904,RAW_CLEAN,confounding,1,correlation,simpson_hospital,anticommonsense,KEEP,no,no,1,1,106,322,
gpt-4.1-nano,69,18888,RAW_CLEAN,confounding,1,correlation,simpson_hospital,anticommonsense,KEEP,yes,yes,1,1,106,393,
gpt-4.1-nano,70,8701,RAW_CLEAN,confounding,1,marginal,simpson_vaccine,hard,KEEP,yes,yes,1,1,115,269,
gpt-4.1-nano,71,3959,RAW_CLEAN,confounding,1,marginal,simpson_vaccine,easy,KEEP,no,no,1,1,115,322,
gpt-4.1-nano,72,18763,RAW_CLEAN,confounding,2,backadj,simpson_drug,anticommonsense,KEEP,no,no,1,1,113,3,
gpt-4.1-nano,73,3966,RAW_CLEAN,confounding,2,backadj,simpson_vaccine,easy,KEEP,no,no,1,1,113,3,
gpt-4.1-nano,74,3962,RAW_CLEAN,confounding,2,backadj,simpson_vaccine,easy,KEEP,yes,yes,1,1,117,3,
gpt-4.1-nano,75,8487,RAW_CLEAN,confounding,2,ate,simpson_hospital,hard,KEEP,yes,,0,0,156,700,
gpt-4.1-nano,76,3542,RAW_CLEAN,confounding,2,backadj,simpson_drug,easy,KEEP,no,no,1,1,111,3,
gpt-4.1-nano,77,14113,RAW_CLEAN,confounding,2,ate,simpson_hospital,anticommonsense,KEEP,yes,yes,1,1,156,407,
gpt-4.1-nano,78,10113,RAW_CLEAN,confounding,3,det-counterfactual,simpson_hospital,commonsense,KEEP,no,no,1,1,97,162,
gpt-4.1-nano,79,18807,RAW_CLEAN,confounding,3,ett,simpson_drug,anticommonsense,KEEP,yes,no,0,1,174,576,
gpt-4.1-nano,80,10155,RAW_CLEAN,confounding,3,det-counterfactual,simpson_kidneystone,commonsense,KEEP,no,no,1,1,99,219,
gpt-4.1-nano,81,20463,RAW_CLEAN,confounding,3,det-counterfactual,simpson_drug,anticommonsense,KEEP,yes,no,0,1,99,297,
gpt-4.1-nano,82,18797,RAW_CLEAN,confounding,3,ett,simpson_drug,anticommonsense,KEEP,no,no,1,1,174,700,
gpt-4.1-nano,83,8435,RAW_CLEAN,confounding,3,ett,simpson_hospital,hard,KEEP,no,no,1,1,173,700,
