model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,36,13899,RAW,IV,2,ate,price,anticommonsense,PERMUTE,no,no,1,1,142,389,
gpt-4.1-nano,37,9467,RAW,IV,2,ate,water_cholera,hard,PERMUTE,no,no,1,1,144,208,
gpt-4.1-nano,38,8277,RAW,IV,2,ate,price,hard,PERMUTE,no,yes,0,1,142,352,
gpt-4.1-nano,42,16786,RAW,IV,2,ate,cholesterol,anticommonsense,PERMUTE,no,yes,0,1,146,442,
gpt-4.1-nano,44,18686,RAW,IV,2,ate,price,anticommonsense,PERMUTE,yes,no,0,1,146,308,
gpt-4.1-nano,50,6665,RAW,IV,2,ate,college_wage,hard,PERMUTE,yes,yes,1,1,152,430,
gpt-4.1-nano,51,11998,RAW,IV,2,ate,cholesterol,anticommonsense,PERMUTE,no,no,1,1,151,335,
gpt-4.1-nano,53,6642,RAW,IV,2,ate,college_wage,hard,PERMUTE,no,no,1,1,152,459,
gpt-4.1-nano,62,13847,RAW,IV,2,ate,price,anticommonsense,PERMUTE,yes,yes,1,1,142,374,
gpt-4.1-nano,66,13836,RAW,IV,2,ate,price,anticommonsense,PERMUTE,yes,no,0,1,142,645,
gpt-4.1-nano,68,9755,RAW,IV,3,det-counterfactual,cholesterol,commonsense,PERMUTE,no,no,1,1,129,525,
gpt-4.1-nano,69,20698,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PERMUTE,yes,yes,1,1,121,414,
gpt-4.1-nano,70,20743,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,PERMUTE,yes,yes,1,1,124,410,
gpt-4.1-nano,71,20700,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PERMUTE,yes,no,0,1,118,452,
gpt-4.1-nano,72,10039,RAW,IV,3,det-counterfactual,price,commonsense,PERMUTE,no,no,1,1,115,293,
gpt-4.1-nano,73,20728,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PERMUTE,no,yes,0,1,118,423,
gpt-4.1-nano,74,10332,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,PERMUTE,yes,no,0,1,129,581,
gpt-4.1-nano,75,9782,RAW,IV,3,det-counterfactual,college_wage,commonsense,PERMUTE,no,no,1,1,131,402,
gpt-4.1-nano,76,20757,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,PERMUTE,no,no,1,1,124,401,
gpt-4.1-nano,77,20169,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,PERMUTE,yes,yes,1,1,122,400,
gpt-4.1-nano,78,20125,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,PERMUTE,yes,yes,1,1,132,481,
gpt-4.1-nano,79,10360,RAW,IV,3,det-counterfactual,water_cholera,commonsense,PERMUTE,yes,yes,1,1,122,438,
gpt-4.1-nano,80,20408,RAW,IV,3,det-counterfactual,price,anticommonsense,PERMUTE,yes,no,0,1,119,158,
gpt-4.1-nano,81,20114,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,PERMUTE,no,no,1,1,132,417,
gpt-4.1-nano,82,20451,RAW,IV,3,det-counterfactual,price,anticommonsense,PERMUTE,no,no,1,1,119,332,
gpt-4.1-nano,83,9819,RAW,IV,3,det-counterfactual,college_wage,commonsense,PERMUTE,no,yes,0,1,125,298,
gpt-4.1-nano,84,20116,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,PERMUTE,no,no,1,1,125,477,
gpt-4.1-nano,85,9818,RAW,IV,3,det-counterfactual,college_wage,commonsense,PERMUTE,yes,yes,1,1,125,462,
gpt-4.1-nano,86,20719,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PERMUTE,yes,no,0,1,118,392,
gpt-4.1-nano,87,10364,RAW,IV,3,det-counterfactual,water_cholera,commonsense,PERMUTE,yes,yes,1,1,122,322,
gpt-4.1-nano,88,20420,RAW,IV,3,det-counterfactual,price,anticommonsense,PERMUTE,yes,yes,1,1,118,311,
gpt-4.1-nano,89,10376,RAW,IV,3,det-counterfactual,water_cholera,commonsense,PERMUTE,no,no,1,1,121,453,
gpt-4.1-nano,90,10033,RAW,IV,3,det-counterfactual,price,commonsense,PERMUTE,no,no,1,1,119,295,
gpt-4.1-nano,91,20412,RAW,IV,3,det-counterfactual,price,anticommonsense,PERMUTE,no,no,1,1,114,186,
gpt-4.1-nano,92,20131,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,PERMUTE,yes,no,0,1,127,469,
gpt-4.1-nano,93,20198,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,PERMUTE,no,no,1,1,121,437,
gpt-4.1-nano,94,10381,RAW,IV,3,det-counterfactual,water_cholera,commonsense,PERMUTE,no,no,1,1,119,443,
gpt-4.1-nano,95,10348,RAW,IV,3,det-counterfactual,water_cholera,commonsense,PERMUTE,no,no,1,1,121,395,
