model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,19800,RAW_CLEAN,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,yes,0,1,103,174,
gpt-4.1-nano,1,4782,RAW_CLEAN,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,103,228,
gpt-4.1-nano,2,19758,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,111,575,
gpt-4.1-nano,3,4655,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,110,281,
gpt-4.1-nano,4,9401,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,hard,PSEUDO,no,yes,0,1,112,186,
gpt-4.1-nano,5,4711,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,110,235,
gpt-4.1-nano,6,17025,RAW_CLEAN,IV,1,marginal,college_wage,anticommonsense,PSEUDO,no,no,1,1,109,315,
gpt-4.1-nano,7,15193,RAW_CLEAN,IV,1,correlation,water_cholera,anticommonsense,PSEUDO,no,no,1,1,107,232,
gpt-4.1-nano,8,13861,RAW_CLEAN,IV,1,correlation,price,anticommonsense,PSEUDO,yes,yes,1,1,106,276,
gpt-4.1-nano,9,19761,RAW_CLEAN,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,106,288,
gpt-4.1-nano,10,6400,RAW_CLEAN,IV,1,marginal,cholesterol,hard,PSEUDO,no,no,1,1,113,668,
gpt-4.1-nano,11,9438,RAW_CLEAN,IV,1,correlation,water_cholera,hard,PSEUDO,yes,yes,1,1,107,187,
gpt-4.1-nano,12,6402,RAW_CLEAN,IV,1,correlation,cholesterol,hard,PSEUDO,yes,no,0,1,103,301,
gpt-4.1-nano,13,18644,RAW_CLEAN,IV,1,marginal,price,anticommonsense,PSEUDO,yes,yes,1,1,113,224,
gpt-4.1-nano,14,18624,RAW_CLEAN,IV,1,marginal,price,anticommonsense,PSEUDO,no,no,1,1,113,283,
gpt-4.1-nano,15,12019,RAW_CLEAN,IV,1,correlation,cholesterol,anticommonsense,PSEUDO,no,no,1,1,103,195,
gpt-4.1-nano,16,3469,RAW_CLEAN,IV,1,correlation,price,easy,PSEUDO,yes,yes,1,1,103,187,
gpt-4.1-nano,17,6363,RAW_CLEAN,IV,1,correlation,cholesterol,hard,PSEUDO,yes,yes,1,1,106,216,
gpt-4.1-nano,18,19821,RAW_CLEAN,IV,1,marginal,water_cholera,anticommonsense,PSEUDO,no,no,1,1,118,341,
gpt-4.1-nano,19,3516,RAW_CLEAN,IV,1,marginal,price,easy,PSEUDO,no,no,1,1,108,206,
gpt-4.1-nano,20,8239,RAW_CLEAN,IV,2,ate,price,hard,PSEUDO,yes,yes,1,1,137,161,
gpt-4.1-nano,21,19806,RAW_CLEAN,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,128,246,
gpt-4.1-nano,22,12014,RAW_CLEAN,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,118,3,
gpt-4.1-nano,23,16818,RAW_CLEAN,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,135,401,
gpt-4.1-nano,24,19796,RAW_CLEAN,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,131,365,
gpt-4.1-nano,25,16984,RAW_CLEAN,IV,2,backadj,college_wage,anticommonsense,PSEUDO,yes,no,0,1,122,3,
gpt-4.1-nano,26,6588,RAW_CLEAN,IV,2,ate,college_wage,hard,PSEUDO,yes,no,0,1,135,159,
gpt-4.1-nano,27,12201,RAW_CLEAN,IV,2,backadj,college_wage,anticommonsense,PSEUDO,no,no,1,1,116,3,
gpt-4.1-nano,28,8284,RAW_CLEAN,IV,2,backadj,price,hard,PSEUDO,yes,no,0,1,125,3,
gpt-4.1-nano,29,1591,RAW_CLEAN,IV,2,ate,cholesterol,easy,PSEUDO,no,no,1,1,135,620,
gpt-4.1-nano,30,4713,RAW_CLEAN,IV,2,backadj,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,122,3,
gpt-4.1-nano,31,16813,RAW_CLEAN,IV,2,backadj,cholesterol,anticommonsense,PSEUDO,no,no,1,1,116,3,
gpt-4.1-nano,32,15108,RAW_CLEAN,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,,0,0,140,700,
gpt-4.1-nano,33,18628,RAW_CLEAN,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,134,454,
gpt-4.1-nano,34,17061,RAW_CLEAN,IV,2,ate,college_wage,anticommonsense,PSEUDO,yes,yes,1,1,128,537,
gpt-4.1-nano,35,15152,RAW_CLEAN,IV,2,ate,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,140,578,
