model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error,provider,finish,reason_tok,usd,answer_from,temperature,max_tokens
meta-llama/llama-3.3-70b-instruct,29,1591,ORACLE,IV,2,ate,cholesterol,easy,KEEP,no,no,1,1,210,551,,Novita,stop,0,0.00024875,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,32,15108,RAW,IV,2,ate,water_cholera,anticommonsense,KEEP,no,no,1,1,156,588,,Novita,stop,0,0.00025626,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,33,18628,RAW,IV,2,ate,price,anticommonsense,KEEP,yes,no,0,1,150,771,,Novita,stop,0,0.00032865,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,34,17061,PROSE,IV,2,ate,college_wage,anticommonsense,KEEP,yes,yes,1,1,197,475,,Novita,stop,0,0.000216595,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,104,13224,RAW,arrowhead,3,nie,nature_vs_nurture,anticommonsense,KEEP,yes,no,0,1,282,508,,Novita,stop,0,0.00024127,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,106,13526,RAW,arrowhead,3,nde,obesity_mortality,anticommonsense,KEEP,yes,yes,1,1,247,727,,Novita,stop,0,0.000324145,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,106,13526,ORACLE,arrowhead,3,nde,obesity_mortality,anticommonsense,KEEP,yes,yes,1,1,293,594,,Novita,stop,0,0.000277155,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,109,2437,DR_k1,arrowhead,3,nde,gender_admission_state,easy,KEEP,no,no,1,1,320,808,,Novita,stop,0,0.0003664,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,112,12722,RAW,arrowhead,3,nde,gender_admission_state,anticommonsense,KEEP,yes,yes,1,1,268,1116,,Novita,stop,0,0.00048258,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,113,4093,PROSE,arrowhead,3,nde,smoke_birthWeight,easy,KEEP,no,no,1,1,320,598,,Novita,stop,0,0.0002824,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,113,4093,RAW,arrowhead,3,nde,smoke_birthWeight,easy,KEEP,no,yes,0,1,276,1213,,Novita,stop,0,0.00052246,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,113,4093,DR_k1,arrowhead,3,nde,smoke_birthWeight,easy,KEEP,no,yes,0,1,333,602,,Novita,stop,0,0.000285755,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,117,19297,PROSE,arrowhead,3,nde,smoke_birthWeight,anticommonsense,KEEP,yes,no,0,1,327,538,,Novita,stop,0,0.000259345,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,263,8718,RAW,confounding,3,ett,simpson_vaccine,hard,KEEP,no,yes,0,1,189,729,,Novita,stop,0,0.000317115,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,273,18739,RAW,confounding,3,ett,simpson_drug,anticommonsense,KEEP,no,yes,0,1,180,675,,Novita,stop,0,0.0002943,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,380,351,ORACLE,diamondcut,3,ett,firing_employee,easy,KEEP,yes,no,0,1,270,622,,Novita,stop,0,0.00028525,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,386,10718,ORACLE,diamondcut,3,ett,firing_employee,anticommonsense,KEEP,no,no,1,1,272,819,,Novita,stop,0,0.00036432,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,388,10764,PROSE,diamondcut,3,ett,firing_employee,anticommonsense,KEEP,no,no,1,1,254,780,,Novita,stop,0,0.00034629,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,388,10764,RAW,diamondcut,3,ett,firing_employee,anticommonsense,KEEP,no,no,1,1,224,715,,Novita,stop,0,0.00031624,content,0.0,1500
