model,lexicon,cond,item,id,old_pred,new_pred,old_correct,new_correct
gpt-4.1-nano,KEEP,RAW,20,8239,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,21,19806,no,yes,1,0
gpt-4.1-nano,KEEP,RAW,23,16818,no,no,1,1
gpt-4.1-nano,KEEP,RAW,24,19796,no,no,0,0
gpt-4.1-nano,KEEP,RAW,26,6588,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,29,1591,no,no,1,1
gpt-4.1-nano,KEEP,RAW,32,15108,no,no,1,1
gpt-4.1-nano,KEEP,RAW,33,18628,no,no,0,0
gpt-4.1-nano,KEEP,RAW,34,17061,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,35,15152,no,no,0,0
gpt-4.1-nano,KEEP,RAW,37,3443,no,no,1,1
gpt-4.1-nano,KEEP,RAW,38,9730,no,no,1,1
gpt-4.1-nano,KEEP,RAW,39,9754,no,no,1,1
gpt-4.1-nano,KEEP,RAW,40,20200,no,no,0,0
gpt-4.1-nano,KEEP,RAW,41,9719,yes,no,1,0
gpt-4.1-nano,KEEP,RAW,42,10021,no,yes,1,0
gpt-4.1-nano,KEEP,RAW,43,9798,yes,no,1,0
gpt-4.1-nano,KEEP,RAW,44,10379,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,45,10366,yes,no,0,1
gpt-4.1-nano,KEEP,RAW,46,9799,yes,no,0,1
gpt-4.1-nano,KEEP,RAW,47,9728,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,48,20193,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,49,10313,no,no,1,1
gpt-4.1-nano,KEEP,RAW,50,20727,no,no,0,0
gpt-4.1-nano,KEEP,RAW,51,20195,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,52,9789,no,no,1,1
gpt-4.1-nano,KEEP,RAW,53,20175,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,54,9795,no,no,1,1
gpt-4.1-nano,KEEP,RAW,55,10041,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,56,10355,no,no,1,1
gpt-4.1-nano,KEEP,RAW,80,13538,no,no,1,1
gpt-4.1-nano,KEEP,RAW,81,9160,no,no,1,1
gpt-4.1-nano,KEEP,RAW,82,2848,no,no,1,1
gpt-4.1-nano,KEEP,RAW,83,7592,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,86,13650,no,no,1,1
gpt-4.1-nano,KEEP,RAW,87,2574,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,88,2323,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,89,8091,no,no,1,1
gpt-4.1-nano,KEEP,RAW,91,19581,no,no,1,1
gpt-4.1-nano,KEEP,RAW,94,7208,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,95,14791,no,no,1,1
gpt-4.1-nano,KEEP,RAW,96,14419,no,no,1,1
gpt-4.1-nano,KEEP,RAW,97,7102,,,0,0
gpt-4.1-nano,KEEP,RAW,98,18048,yes,no,1,0
