model,item,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,NAMES_ONLY,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,159,341,
gpt-4.1-nano,0,SCRAMBLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,185,373,
gpt-4.1-nano,0,DR_k2,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,183,450,
gpt-4.1-nano,0,DR_k3,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,187,368,
gpt-4.1-nano,1,NAMES_ONLY,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,136,277,
gpt-4.1-nano,1,SCRAMBLE,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,158,223,
gpt-4.1-nano,1,DR_k2,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,157,548,
gpt-4.1-nano,1,DR_k3,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,157,529,
gpt-4.1-nano,2,NAMES_ONLY,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,165,440,
gpt-4.1-nano,2,SCRAMBLE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,194,519,
gpt-4.1-nano,2,DR_k2,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,193,400,
gpt-4.1-nano,2,DR_k3,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,191,442,
gpt-4.1-nano,3,NAMES_ONLY,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,162,361,
gpt-4.1-nano,3,SCRAMBLE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,no,0,1,190,450,
gpt-4.1-nano,3,DR_k2,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,192,285,
gpt-4.1-nano,3,DR_k3,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,190,366,
gpt-4.1-nano,4,NAMES_ONLY,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,162,286,
gpt-4.1-nano,4,SCRAMBLE,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,193,521,
gpt-4.1-nano,4,DR_k2,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,182,332,
gpt-4.1-nano,4,DR_k3,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,183,406,
gpt-4.1-nano,5,NAMES_ONLY,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,162,274,
gpt-4.1-nano,5,SCRAMBLE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,191,470,
gpt-4.1-nano,5,DR_k2,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,188,437,
gpt-4.1-nano,5,DR_k3,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,191,371,
gpt-4.1-nano,6,NAMES_ONLY,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,155,378,
gpt-4.1-nano,6,SCRAMBLE,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,175,518,
gpt-4.1-nano,6,DR_k2,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,174,440,
gpt-4.1-nano,6,DR_k3,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,174,483,
gpt-4.1-nano,7,NAMES_ONLY,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,142,375,
gpt-4.1-nano,7,SCRAMBLE,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,165,465,
gpt-4.1-nano,7,DR_k2,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,165,568,
gpt-4.1-nano,7,DR_k3,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,166,493,
gpt-4.1-nano,8,NAMES_ONLY,IV,1,correlation,price,anticommonsense,KEEP,yes,yes,1,1,132,655,
gpt-4.1-nano,8,SCRAMBLE,IV,1,correlation,price,anticommonsense,KEEP,yes,yes,1,1,154,556,
gpt-4.1-nano,8,DR_k2,IV,1,correlation,price,anticommonsense,KEEP,yes,yes,1,1,152,416,
gpt-4.1-nano,8,DR_k3,IV,1,correlation,price,anticommonsense,KEEP,yes,no,0,1,146,421,
gpt-4.1-nano,9,NAMES_ONLY,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,159,370,
gpt-4.1-nano,9,SCRAMBLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,187,382,
gpt-4.1-nano,9,DR_k2,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,188,364,
gpt-4.1-nano,9,DR_k3,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,185,545,
gpt-4.1-nano,10,NAMES_ONLY,IV,1,marginal,cholesterol,hard,KEEP,no,no,1,1,158,700,
gpt-4.1-nano,10,SCRAMBLE,IV,1,marginal,cholesterol,hard,KEEP,no,no,1,1,177,540,
gpt-4.1-nano,10,DR_k2,IV,1,marginal,cholesterol,hard,KEEP,no,yes,0,1,180,504,
gpt-4.1-nano,10,DR_k3,IV,1,marginal,cholesterol,hard,KEEP,no,no,1,1,184,418,
gpt-4.1-nano,11,NAMES_ONLY,IV,1,correlation,water_cholera,hard,KEEP,yes,yes,1,1,136,221,
gpt-4.1-nano,11,SCRAMBLE,IV,1,correlation,water_cholera,hard,KEEP,yes,yes,1,1,157,641,
gpt-4.1-nano,11,DR_k2,IV,1,correlation,water_cholera,hard,KEEP,yes,yes,1,1,157,450,
gpt-4.1-nano,11,DR_k3,IV,1,correlation,water_cholera,hard,KEEP,yes,,0,0,157,700,
gpt-4.1-nano,12,NAMES_ONLY,IV,1,correlation,cholesterol,hard,KEEP,yes,yes,1,1,158,372,
gpt-4.1-nano,12,SCRAMBLE,IV,1,correlation,cholesterol,hard,KEEP,yes,yes,1,1,184,550,
gpt-4.1-nano,12,DR_k2,IV,1,correlation,cholesterol,hard,KEEP,yes,yes,1,1,180,427,
gpt-4.1-nano,12,DR_k3,IV,1,correlation,cholesterol,hard,KEEP,yes,yes,1,1,177,519,
gpt-4.1-nano,13,NAMES_ONLY,IV,1,marginal,price,anticommonsense,KEEP,yes,yes,1,1,143,351,
gpt-4.1-nano,13,SCRAMBLE,IV,1,marginal,price,anticommonsense,KEEP,yes,yes,1,1,166,361,
gpt-4.1-nano,13,DR_k2,IV,1,marginal,price,anticommonsense,KEEP,yes,yes,1,1,164,382,
gpt-4.1-nano,13,DR_k3,IV,1,marginal,price,anticommonsense,KEEP,yes,yes,1,1,164,406,
gpt-4.1-nano,14,NAMES_ONLY,IV,1,marginal,price,anticommonsense,KEEP,no,no,1,1,143,308,
gpt-4.1-nano,14,SCRAMBLE,IV,1,marginal,price,anticommonsense,KEEP,no,no,1,1,165,410,
gpt-4.1-nano,14,DR_k2,IV,1,marginal,price,anticommonsense,KEEP,no,no,1,1,163,422,
gpt-4.1-nano,14,DR_k3,IV,1,marginal,price,anticommonsense,KEEP,no,no,1,1,156,478,
gpt-4.1-nano,15,NAMES_ONLY,IV,1,correlation,cholesterol,anticommonsense,KEEP,no,no,1,1,152,700,
gpt-4.1-nano,15,SCRAMBLE,IV,1,correlation,cholesterol,anticommonsense,KEEP,no,no,1,1,168,700,
gpt-4.1-nano,15,DR_k2,IV,1,correlation,cholesterol,anticommonsense,KEEP,no,yes,0,1,170,573,
gpt-4.1-nano,15,DR_k3,IV,1,correlation,cholesterol,anticommonsense,KEEP,no,no,1,1,179,635,
gpt-4.1-nano,16,NAMES_ONLY,IV,1,correlation,price,easy,KEEP,yes,no,0,1,132,319,
gpt-4.1-nano,16,SCRAMBLE,IV,1,correlation,price,easy,KEEP,yes,no,0,1,155,700,
gpt-4.1-nano,16,DR_k2,IV,1,correlation,price,easy,KEEP,yes,no,0,1,145,412,
gpt-4.1-nano,16,DR_k3,IV,1,correlation,price,easy,KEEP,yes,yes,1,1,145,317,
gpt-4.1-nano,17,NAMES_ONLY,IV,1,correlation,cholesterol,hard,KEEP,yes,no,0,1,158,700,
gpt-4.1-nano,17,SCRAMBLE,IV,1,correlation,cholesterol,hard,KEEP,yes,no,0,1,184,350,
gpt-4.1-nano,17,DR_k2,IV,1,correlation,cholesterol,hard,KEEP,yes,no,0,1,175,700,
gpt-4.1-nano,17,DR_k3,IV,1,correlation,cholesterol,hard,KEEP,yes,yes,1,1,177,437,
gpt-4.1-nano,18,NAMES_ONLY,IV,1,marginal,water_cholera,anticommonsense,KEEP,no,no,1,1,137,454,
gpt-4.1-nano,18,SCRAMBLE,IV,1,marginal,water_cholera,anticommonsense,KEEP,no,no,1,1,157,420,
gpt-4.1-nano,18,DR_k2,IV,1,marginal,water_cholera,anticommonsense,KEEP,no,no,1,1,158,508,
gpt-4.1-nano,18,DR_k3,IV,1,marginal,water_cholera,anticommonsense,KEEP,no,no,1,1,158,503,
gpt-4.1-nano,19,NAMES_ONLY,IV,1,marginal,price,easy,KEEP,no,no,1,1,136,451,
gpt-4.1-nano,19,SCRAMBLE,IV,1,marginal,price,easy,KEEP,no,no,1,1,159,630,
gpt-4.1-nano,19,DR_k2,IV,1,marginal,price,easy,KEEP,no,no,1,1,155,475,
gpt-4.1-nano,19,DR_k3,IV,1,marginal,price,easy,KEEP,no,no,1,1,155,448,
gpt-4.1-nano,20,NAMES_ONLY,IV,2,ate,price,hard,KEEP,yes,no,0,1,168,603,
gpt-4.1-nano,20,SCRAMBLE,IV,2,ate,price,hard,KEEP,yes,yes,1,1,187,645,
gpt-4.1-nano,20,DR_k2,IV,2,ate,price,hard,KEEP,yes,yes,1,1,181,554,
gpt-4.1-nano,20,DR_k3,IV,2,ate,price,hard,KEEP,yes,no,0,1,181,466,
gpt-4.1-nano,21,NAMES_ONLY,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,185,386,
gpt-4.1-nano,21,SCRAMBLE,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,210,577,
gpt-4.1-nano,21,DR_k2,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,204,506,
gpt-4.1-nano,21,DR_k3,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,211,489,
gpt-4.1-nano,22,NAMES_ONLY,IV,2,backadj,cholesterol,anticommonsense,KEEP,no,no,1,1,158,338,
gpt-4.1-nano,22,SCRAMBLE,IV,2,backadj,cholesterol,anticommonsense,KEEP,no,no,1,1,178,403,
gpt-4.1-nano,22,DR_k2,IV,2,backadj,cholesterol,anticommonsense,KEEP,no,yes,0,1,176,233,
gpt-4.1-nano,22,DR_k3,IV,2,backadj,cholesterol,anticommonsense,KEEP,no,yes,0,1,177,226,
gpt-4.1-nano,23,NAMES_ONLY,IV,2,ate,cholesterol,anticommonsense,KEEP,no,,0,0,179,700,
gpt-4.1-nano,23,SCRAMBLE,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,209,699,
gpt-4.1-nano,23,DR_k2,IV,2,ate,cholesterol,anticommonsense,KEEP,no,yes,0,1,206,590,
gpt-4.1-nano,23,DR_k3,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,207,626,
gpt-4.1-nano,24,NAMES_ONLY,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,yes,no,0,1,185,381,
gpt-4.1-nano,24,SCRAMBLE,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,209,482,
gpt-4.1-nano,24,DR_k2,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,yes,,0,0,214,700,
