model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-5.6-luna,36,13899,RAW,IV,2,ate,price,anticommonsense,SYMBOL,no,no,1,1,129,524,
gpt-5.6-luna,37,9467,RAW,IV,2,ate,water_cholera,hard,SYMBOL,no,no,1,1,131,279,
gpt-5.6-luna,38,8277,RAW,IV,2,ate,price,hard,SYMBOL,no,no,1,1,129,732,
gpt-5.6-luna,42,16786,RAW,IV,2,ate,cholesterol,anticommonsense,SYMBOL,no,no,1,1,131,454,
gpt-5.6-luna,44,18686,RAW,IV,2,ate,price,anticommonsense,SYMBOL,yes,no,0,1,129,1093,
gpt-5.6-luna,50,6665,RAW,IV,2,ate,college_wage,hard,SYMBOL,yes,no,0,1,123,524,
gpt-5.6-luna,51,11998,RAW,IV,2,ate,cholesterol,anticommonsense,SYMBOL,no,no,1,1,131,287,
gpt-5.6-luna,53,6642,RAW,IV,2,ate,college_wage,hard,SYMBOL,no,no,1,1,123,730,
gpt-5.6-luna,62,13847,RAW,IV,2,ate,price,anticommonsense,SYMBOL,yes,no,0,1,129,524,
gpt-5.6-luna,66,13836,RAW,IV,2,ate,price,anticommonsense,SYMBOL,yes,no,0,1,129,1613,
gpt-5.6-luna,68,9755,RAW,IV,3,det-counterfactual,cholesterol,commonsense,SYMBOL,no,no,1,1,100,504,
gpt-5.6-luna,69,20698,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,yes,1,1,97,320,
gpt-5.6-luna,70,20743,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,SYMBOL,yes,yes,1,1,104,123,
gpt-5.6-luna,71,20700,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,yes,1,1,97,163,
gpt-5.6-luna,72,10039,RAW,IV,3,det-counterfactual,price,commonsense,SYMBOL,no,no,1,1,102,218,
gpt-5.6-luna,73,20728,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,SYMBOL,no,no,1,1,98,174,
gpt-5.6-luna,74,10332,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,SYMBOL,yes,no,0,1,101,240,
gpt-5.6-luna,75,9782,RAW,IV,3,det-counterfactual,college_wage,commonsense,SYMBOL,no,no,1,1,99,148,
gpt-5.6-luna,76,20757,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,SYMBOL,no,no,1,1,104,132,
gpt-5.6-luna,77,20169,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,SYMBOL,yes,yes,1,1,100,147,
gpt-5.6-luna,78,20125,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,SYMBOL,yes,yes,1,1,100,360,
gpt-5.6-luna,79,10360,RAW,IV,3,det-counterfactual,water_cholera,commonsense,SYMBOL,yes,yes,1,1,105,140,
gpt-5.6-luna,80,20408,RAW,IV,3,det-counterfactual,price,anticommonsense,SYMBOL,yes,no,0,1,102,524,
gpt-5.6-luna,81,20114,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,SYMBOL,no,no,1,1,100,349,
gpt-5.6-luna,82,20451,RAW,IV,3,det-counterfactual,price,anticommonsense,SYMBOL,no,no,1,1,101,211,
gpt-5.6-luna,83,9819,RAW,IV,3,det-counterfactual,college_wage,commonsense,SYMBOL,no,no,1,1,99,167,
