model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,1,4782,RAW,IV,1,correlation,water_cholera,easy,IRRELEVANT,no,no,1,1,102,184,
gpt-4.1-nano,1,4782,DR_k1,IV,1,correlation,water_cholera,easy,IRRELEVANT,no,no,1,1,144,286,
gpt-4.1-nano,0,19800,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,no,no,1,1,102,199,
gpt-4.1-nano,0,19800,ORACLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,no,no,1,1,144,326,
gpt-4.1-nano,0,19800,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,no,no,1,1,143,226,
gpt-4.1-nano,2,19758,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,yes,yes,1,1,112,138,
gpt-4.1-nano,3,4655,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,IRRELEVANT,yes,yes,1,1,150,412,
gpt-4.1-nano,3,4655,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,IRRELEVANT,yes,yes,1,1,150,373,
gpt-4.1-nano,3,4655,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,IRRELEVANT,yes,yes,1,1,109,232,
gpt-4.1-nano,0,19800,PROSE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,no,no,1,1,129,431,
gpt-4.1-nano,1,4782,ORACLE,IV,1,correlation,water_cholera,easy,IRRELEVANT,no,no,1,1,144,388,
gpt-4.1-nano,6,16813,PROSE,IV,2,backadj,cholesterol,anticommonsense,IRRELEVANT,no,no,1,1,143,3,
gpt-4.1-nano,6,16813,RAW,IV,2,backadj,cholesterol,anticommonsense,IRRELEVANT,no,no,1,1,117,3,
gpt-4.1-nano,4,9401,PROSE,IV,1,marginal,tax_smoke_birthWeight,hard,IRRELEVANT,no,no,1,1,136,276,
gpt-4.1-nano,4,9401,RAW,IV,1,marginal,tax_smoke_birthWeight,hard,IRRELEVANT,no,no,1,1,109,249,
gpt-4.1-nano,2,19758,PROSE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,yes,yes,1,1,139,581,
gpt-4.1-nano,6,16813,ORACLE,IV,2,backadj,cholesterol,anticommonsense,IRRELEVANT,no,yes,0,1,159,177,
gpt-4.1-nano,2,19758,ORACLE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,yes,yes,1,1,155,700,
gpt-4.1-nano,5,4711,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,IRRELEVANT,yes,yes,1,1,149,347,
