model,item,cond,graph_id,rung,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,DR_k2,IV,1,yes,yes,1,1,155,354,
gpt-4.1-nano,0,PROSE,IV,1,yes,yes,1,1,143,427,
gpt-4.1-nano,0,RAW,IV,1,yes,yes,1,1,111,495,
gpt-4.1-nano,0,DR_k1,IV,1,yes,yes,1,1,155,381,
gpt-4.1-nano,0,ORACLE,IV,1,yes,yes,1,1,154,395,
gpt-4.1-nano,3,RAW,IV,1,yes,yes,1,1,127,225,
gpt-4.1-nano,2,PROSE,IV,1,no,no,1,1,149,283,
gpt-4.1-nano,2,RAW,IV,1,no,no,1,1,118,335,
gpt-4.1-nano,3,ORACLE,IV,1,yes,yes,1,1,170,306,
gpt-4.1-nano,3,PROSE,IV,1,yes,yes,1,1,173,310,
gpt-4.1-nano,1,ORACLE,IV,1,no,no,1,1,164,390,
gpt-4.1-nano,2,DR_k1,IV,1,no,no,1,1,155,403,
gpt-4.1-nano,1,RAW,IV,1,no,no,1,1,121,315,
gpt-4.1-nano,1,DR_k3,IV,1,no,no,1,1,165,320,
gpt-4.1-nano,0,DR_k3,IV,1,yes,yes,1,1,155,355,
gpt-4.1-nano,2,DR_k3,IV,1,no,no,1,1,156,440,
gpt-4.1-nano,5,PROSE,IV,2,no,no,1,1,153,3,
gpt-4.1-nano,2,DR_k2,IV,1,no,no,1,1,156,440,
gpt-4.1-nano,2,ORACLE,IV,1,no,no,1,1,161,433,
gpt-4.1-nano,1,DR_k2,IV,1,no,no,1,1,165,494,
gpt-4.1-nano,1,PROSE,IV,1,no,no,1,1,167,569,
gpt-4.1-nano,5,RAW,IV,2,no,no,1,1,121,3,
gpt-4.1-nano,3,DR_k1,IV,1,yes,yes,1,1,171,321,
gpt-4.1-nano,4,PROSE,IV,1,yes,yes,1,1,156,272,
gpt-4.1-nano,4,RAW,IV,1,yes,yes,1,1,120,267,
gpt-4.1-nano,4,ORACLE,IV,1,yes,yes,1,1,163,332,
gpt-4.1-nano,4,DR_k3,IV,1,yes,no,0,1,158,363,
gpt-4.1-nano,1,DR_k1,IV,1,no,no,1,1,165,700,
gpt-4.1-nano,4,DR_k1,IV,1,yes,yes,1,1,157,310,
gpt-4.1-nano,4,DR_k2,IV,1,yes,yes,1,1,163,368,
gpt-4.1-nano,3,DR_k2,IV,1,yes,yes,1,1,170,380,
gpt-4.1-nano,3,DR_k3,IV,1,yes,yes,1,1,171,404,
