model,item,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,NAMES_ONLY,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,136,372,
gpt-4.1-nano,0,SCRAMBLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,159,481,
gpt-4.1-nano,0,DR_k2,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,159,265,
gpt-4.1-nano,0,DR_k3,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,159,472,
gpt-4.1-nano,1,NAMES_ONLY,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,139,304,
gpt-4.1-nano,1,SCRAMBLE,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,161,488,
gpt-4.1-nano,1,DR_k2,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,160,413,
gpt-4.1-nano,1,DR_k3,IV,1,correlation,water_cholera,easy,PSEUDO,no,no,1,1,160,366,
gpt-4.1-nano,2,NAMES_ONLY,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,147,655,
gpt-4.1-nano,2,SCRAMBLE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,171,613,
gpt-4.1-nano,2,DR_k2,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,no,0,1,170,700,
gpt-4.1-nano,2,DR_k3,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,no,0,1,170,700,
gpt-4.1-nano,3,NAMES_ONLY,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,146,332,
gpt-4.1-nano,3,SCRAMBLE,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,170,461,
gpt-4.1-nano,3,DR_k2,IV,1,marginal,tax_smoke_birthWeight,easy,PSEUDO,yes,yes,1,1,170,407,
