what,cond,count,n,pct
restates the shown reversed edge v -> u,DR_k1,84,86,97.7
"states the true edge u -> v, prompt does not",DR_k1,9,66,13.6
"states the true edge u -> v, det-counterfactual",DR_k1,18,20,90.0
conflict words anywhere,DR_k1,61,86,70.9
conflict words near both names of the pair,DR_k1,57,86,66.3
"conflict words near the pair, no residue",DR_k1,10,18,55.6
restates the shown reversed edge v -> u,ORACLE,0,86,0.0
"states the true edge u -> v, prompt does not",ORACLE,64,66,97.0
"states the true edge u -> v, det-counterfactual",ORACLE,20,20,100.0
conflict words anywhere,ORACLE,53,86,61.6
conflict words near both names of the pair,ORACLE,43,86,50.0
"conflict words near the pair, no residue",ORACLE,8,18,44.4
restates the shown reversed edge v -> u,RAW,0,86,0.0
"states the true edge u -> v, prompt does not",RAW,6,66,9.1
"states the true edge u -> v, det-counterfactual",RAW,13,20,65.0
conflict words anywhere,RAW,57,86,66.3
conflict words near both names of the pair,RAW,34,86,39.5
"conflict words near the pair, no residue",RAW,4,18,22.2
DR_k1 answer equals the ORACLE answer,DR_k1 vs ORACLE,62,86,72.1
accuracy,DR_k1,53,86,61.6
accuracy,ORACLE,73,86,84.9
accuracy,RAW,60,86,69.8
"accuracy, ate/ett, estimand kept, route all",DR_k1,8,9,88.9
"accuracy, ate/ett, estimand kept, route all",ORACLE,8,9,88.9
"accuracy, ate/ett, estimand kept, route backdoor",DR_k1,8,9,88.9
"accuracy, ate/ett, estimand kept, route backdoor",ORACLE,8,9,88.9
"accuracy, ate/ett, estimand changed, answer kept, route all",DR_k1,14,18,77.8
"accuracy, ate/ett, estimand changed, answer kept, route all",ORACLE,15,18,83.3
"accuracy, ate/ett, estimand changed, answer kept, route no path",DR_k1,8,8,100.0
"accuracy, ate/ett, estimand changed, answer kept, route no path",ORACLE,8,8,100.0
"accuracy, ate/ett, estimand changed, answer kept, route backdoor",DR_k1,6,10,60.0
"accuracy, ate/ett, estimand changed, answer kept, route backdoor",ORACLE,7,10,70.0
"accuracy, ate/ett, answer changed, route all",DR_k1,6,16,37.5
"accuracy, ate/ett, answer changed, route all",ORACLE,15,16,93.8
"accuracy, ate/ett, answer changed, route no path",DR_k1,2,11,18.2
"accuracy, ate/ett, answer changed, route no path",ORACLE,10,11,90.9
"accuracy, ate/ett, answer changed, route backdoor",DR_k1,4,5,80.0
"accuracy, ate/ett, answer changed, route backdoor",ORACLE,5,5,100.0
path cut on a Yes item: DR_k1 says No where ORACLE said Yes,DR_k1 vs ORACLE,8,11,72.7
"  of those, the DR_k1 chain has more no-effect phrases",DR_k1 vs ORACLE,8,8,100.0
