model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,1,4782,RAW,IV,1,correlation,water_cholera,easy,SYMBOL,no,no,1,1,102,185,
gpt-4.1-nano,0,19800,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,SYMBOL,no,no,1,1,102,339,
gpt-4.1-nano,1,4782,DR_k1,IV,1,correlation,water_cholera,easy,SYMBOL,no,no,1,1,143,347,
gpt-4.1-nano,1,4782,ORACLE,IV,1,correlation,water_cholera,easy,SYMBOL,no,no,1,1,143,340,
gpt-4.1-nano,4,9401,PROSE,IV,1,marginal,tax_smoke_birthWeight,hard,SYMBOL,no,no,1,1,133,325,
gpt-4.1-nano,2,19758,ORACLE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,no,0,1,153,700,
gpt-4.1-nano,3,4655,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,107,227,
gpt-4.1-nano,0,19800,ORACLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,SYMBOL,no,no,1,1,143,349,
gpt-4.1-nano,2,19758,DR_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,no,0,1,147,700,
gpt-4.1-nano,2,19758,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,yes,1,1,112,433,
gpt-4.1-nano,1,4782,PROSE,IV,1,correlation,water_cholera,easy,SYMBOL,no,no,1,1,128,365,
gpt-4.1-nano,3,4655,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,148,375,
gpt-4.1-nano,2,19758,PROSE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,,0,0,138,700,
gpt-4.1-nano,4,9401,ORACLE,IV,1,marginal,tax_smoke_birthWeight,hard,SYMBOL,no,no,1,1,148,368,
gpt-4.1-nano,0,19800,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,SYMBOL,no,no,1,1,143,320,
gpt-4.1-nano,4,9401,RAW,IV,1,marginal,tax_smoke_birthWeight,hard,SYMBOL,no,no,1,1,107,158,
gpt-4.1-nano,0,19800,PROSE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,SYMBOL,no,no,1,1,128,310,
gpt-4.1-nano,3,4655,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,133,426,
gpt-4.1-nano,3,4655,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,148,297,
gpt-4.1-nano,4,9401,DR_k1,IV,1,marginal,tax_smoke_birthWeight,hard,SYMBOL,no,no,1,1,148,383,
gpt-4.1-nano,5,4711,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,107,227,
gpt-4.1-nano,5,4711,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,148,407,
gpt-4.1-nano,6,16813,RAW,IV,2,backadj,cholesterol,anticommonsense,SYMBOL,no,no,1,1,117,3,
gpt-4.1-nano,6,16813,ORACLE,IV,2,backadj,cholesterol,anticommonsense,SYMBOL,no,yes,0,1,158,350,
gpt-4.1-nano,5,4711,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,133,331,
gpt-4.1-nano,6,16813,PROSE,IV,2,backadj,cholesterol,anticommonsense,SYMBOL,no,no,1,1,143,218,
gpt-4.1-nano,5,4711,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,148,498,
gpt-4.1-nano,6,16813,DR_k1,IV,2,backadj,cholesterol,anticommonsense,SYMBOL,no,yes,0,1,152,163,
gpt-4.1-nano,7,15133,RAW,IV,2,ate,water_cholera,anticommonsense,SYMBOL,no,no,1,1,132,578,
gpt-4.1-nano,7,15133,ORACLE,IV,2,ate,water_cholera,anticommonsense,SYMBOL,no,no,1,1,173,366,
gpt-4.1-nano,7,15133,PROSE,IV,2,ate,water_cholera,anticommonsense,SYMBOL,no,no,1,1,158,449,
gpt-4.1-nano,7,15133,DR_k1,IV,2,ate,water_cholera,anticommonsense,SYMBOL,no,no,1,1,173,324,
gpt-4.1-nano,6,16813,FE_k1,IV,2,backadj,cholesterol,anticommonsense,SYMBOL,no,yes,0,1,160,144,
gpt-4.1-nano,8,13835,PROSE,IV,2,ate,price,anticommonsense,SYMBOL,no,no,1,1,156,319,
gpt-4.1-nano,8,13835,RAW,IV,2,ate,price,anticommonsense,SYMBOL,no,no,1,1,130,193,
gpt-4.1-nano,8,13835,ORACLE,IV,2,ate,price,anticommonsense,SYMBOL,no,no,1,1,171,357,
gpt-4.1-nano,8,13835,DR_k1,IV,2,ate,price,anticommonsense,SYMBOL,no,no,1,1,165,382,
gpt-4.1-nano,6,16813,ED_k1,IV,2,backadj,cholesterol,anticommonsense,SYMBOL,no,no,1,1,156,188,
gpt-4.1-nano,0,19800,FE_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,SYMBOL,no,no,1,1,145,256,
gpt-4.1-nano,1,4782,FE_k1,IV,1,correlation,water_cholera,easy,SYMBOL,no,no,1,1,145,325,
gpt-4.1-nano,9,19839,RAW,IV,2,backadj,water_cholera,anticommonsense,SYMBOL,yes,no,0,1,121,3,
gpt-4.1-nano,9,19839,ORACLE,IV,2,backadj,water_cholera,anticommonsense,SYMBOL,yes,yes,1,1,162,203,
gpt-4.1-nano,9,19839,PROSE,IV,2,backadj,water_cholera,anticommonsense,SYMBOL,yes,yes,1,1,147,153,
gpt-4.1-nano,9,19839,DR_k1,IV,2,backadj,water_cholera,anticommonsense,SYMBOL,yes,yes,1,1,156,290,
gpt-4.1-nano,0,19800,ED_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,SYMBOL,no,no,1,1,135,358,
gpt-4.1-nano,10,4741,PROSE,IV,2,ate,water_cholera,easy,SYMBOL,no,no,1,1,158,449,
gpt-4.1-nano,10,4741,RAW,IV,2,ate,water_cholera,easy,SYMBOL,no,no,1,1,132,578,
gpt-4.1-nano,10,4741,ORACLE,IV,2,ate,water_cholera,easy,SYMBOL,no,no,1,1,173,366,
gpt-4.1-nano,10,4741,DR_k1,IV,2,ate,water_cholera,easy,SYMBOL,no,no,1,1,173,579,
gpt-4.1-nano,3,4655,FE_k1,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,150,364,
gpt-4.1-nano,5,4711,ED_k1,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,140,341,
gpt-4.1-nano,11,9410,PROSE,IV,2,ate,tax_smoke_birthWeight,hard,SYMBOL,no,no,1,1,150,317,
gpt-4.1-nano,11,9410,RAW,IV,2,ate,tax_smoke_birthWeight,hard,SYMBOL,no,no,1,1,124,333,
gpt-4.1-nano,11,9410,ORACLE,IV,2,ate,tax_smoke_birthWeight,hard,SYMBOL,no,no,1,1,165,524,
gpt-4.1-nano,11,9410,DR_k1,IV,2,ate,tax_smoke_birthWeight,hard,SYMBOL,no,no,1,1,159,464,
gpt-4.1-nano,3,4655,ED_k1,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,140,381,
gpt-4.1-nano,1,4782,ED_k1,IV,1,correlation,water_cholera,easy,SYMBOL,no,no,1,1,135,334,
gpt-4.1-nano,12,10311,PROSE,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,SYMBOL,no,yes,0,1,129,369,
gpt-4.1-nano,12,10311,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,SYMBOL,no,yes,0,1,103,441,
gpt-4.1-nano,12,10311,ORACLE,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,SYMBOL,no,yes,0,1,144,231,
gpt-4.1-nano,12,10311,DR_k1,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,SYMBOL,no,no,1,1,144,283,
gpt-4.1-nano,4,9401,ED_k1,IV,1,marginal,tax_smoke_birthWeight,hard,SYMBOL,no,no,1,1,146,384,
gpt-4.1-nano,9,19839,ED_k1,IV,2,backadj,water_cholera,anticommonsense,SYMBOL,yes,yes,1,1,160,170,
gpt-4.1-nano,13,20753,PROSE,IV,3,det-counterfactual,water_cholera,anticommonsense,SYMBOL,no,no,1,1,132,421,
gpt-4.1-nano,13,20753,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,SYMBOL,no,no,1,1,106,552,
gpt-4.1-nano,13,20753,ORACLE,IV,3,det-counterfactual,water_cholera,anticommonsense,SYMBOL,no,no,1,1,147,391,
gpt-4.1-nano,13,20753,DR_k1,IV,3,det-counterfactual,water_cholera,anticommonsense,SYMBOL,no,no,1,1,147,462,
gpt-4.1-nano,7,15133,ED_k1,IV,2,ate,water_cholera,anticommonsense,SYMBOL,no,no,1,1,165,563,
gpt-4.1-nano,5,4711,FE_k1,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,150,473,
gpt-4.1-nano,14,20742,PROSE,IV,3,det-counterfactual,water_cholera,anticommonsense,SYMBOL,yes,no,0,1,131,425,
gpt-4.1-nano,14,20742,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,SYMBOL,yes,no,0,1,105,282,
gpt-4.1-nano,14,20742,ORACLE,IV,3,det-counterfactual,water_cholera,anticommonsense,SYMBOL,yes,no,0,1,146,321,
gpt-4.1-nano,14,20742,DR_k1,IV,3,det-counterfactual,water_cholera,anticommonsense,SYMBOL,yes,no,0,1,146,374,
gpt-4.1-nano,9,19839,FE_k1,IV,2,backadj,water_cholera,anticommonsense,SYMBOL,yes,yes,1,1,164,346,
gpt-4.1-nano,8,13835,FE_k1,IV,2,ate,price,anticommonsense,SYMBOL,no,no,1,1,173,225,
gpt-4.1-nano,15,20143,PROSE,IV,3,det-counterfactual,cholesterol,anticommonsense,SYMBOL,yes,yes,1,1,129,298,
gpt-4.1-nano,15,20143,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,SYMBOL,yes,yes,1,1,103,367,
gpt-4.1-nano,15,20143,ORACLE,IV,3,det-counterfactual,cholesterol,anticommonsense,SYMBOL,yes,yes,1,1,144,297,
gpt-4.1-nano,15,20143,DR_k1,IV,3,det-counterfactual,cholesterol,anticommonsense,SYMBOL,yes,yes,1,1,144,342,
gpt-4.1-nano,4,9401,FE_k1,IV,1,marginal,tax_smoke_birthWeight,hard,SYMBOL,no,no,1,1,150,482,
gpt-4.1-nano,2,19758,ED_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,no,0,1,145,700,
gpt-4.1-nano,16,9804,PROSE,IV,3,det-counterfactual,college_wage,commonsense,SYMBOL,no,no,1,1,127,303,
gpt-4.1-nano,16,9804,RAW,IV,3,det-counterfactual,college_wage,commonsense,SYMBOL,no,yes,0,1,101,351,
gpt-4.1-nano,16,9804,ORACLE,IV,3,det-counterfactual,college_wage,commonsense,SYMBOL,no,no,1,1,142,478,
gpt-4.1-nano,16,9804,DR_k1,IV,3,det-counterfactual,college_wage,commonsense,SYMBOL,no,no,1,1,136,430,
gpt-4.1-nano,12,10311,ED_k1,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,SYMBOL,no,yes,0,1,142,252,
