model,item,cond,graph_id,rung,query_type,story_id,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,1,RAW,IV,1,correlation,water_cholera,KEEP,no,no,1,1,111,281,
gpt-4.1-nano,3,RAW,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,127,253,
gpt-4.1-nano,2,DR_k1,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,181,364,
gpt-4.1-nano,2,PROSE,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,175,317,
gpt-4.1-nano,2,RAW,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,130,304,
gpt-4.1-nano,1,ORACLE,IV,1,correlation,water_cholera,KEEP,no,no,1,1,159,353,
gpt-4.1-nano,0,RAW,IV,1,correlation,tax_smoke_birthWeight,KEEP,no,no,1,1,124,319,
gpt-4.1-nano,0,DR_k1,IV,1,correlation,tax_smoke_birthWeight,KEEP,no,no,1,1,185,397,
gpt-4.1-nano,3,ORACLE,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,189,382,
gpt-4.1-nano,3,PROSE,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,173,391,
gpt-4.1-nano,3,DR_k1,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,192,395,
gpt-4.1-nano,0,ORACLE,IV,1,correlation,tax_smoke_birthWeight,KEEP,no,no,1,1,185,369,
gpt-4.1-nano,2,ORACLE,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,191,406,
gpt-4.1-nano,6,RAW,IV,2,backadj,cholesterol,KEEP,no,no,1,1,133,3,
gpt-4.1-nano,0,PROSE,IV,1,correlation,tax_smoke_birthWeight,KEEP,no,no,1,1,169,477,
gpt-4.1-nano,1,PROSE,IV,1,correlation,water_cholera,KEEP,no,no,1,1,143,487,
gpt-4.1-nano,4,RAW,IV,1,marginal,tax_smoke_birthWeight,KEEP,no,no,1,1,127,254,
gpt-4.1-nano,5,PROSE,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,173,254,
gpt-4.1-nano,4,PROSE,IV,1,marginal,tax_smoke_birthWeight,KEEP,no,no,1,1,173,275,
gpt-4.1-nano,4,ORACLE,IV,1,marginal,tax_smoke_birthWeight,KEEP,no,no,1,1,189,375,
gpt-4.1-nano,5,RAW,IV,1,marginal,tax_smoke_birthWeight,KEEP,yes,yes,1,1,127,264,
gpt-4.1-nano,4,DR_k1,IV,1,marginal,tax_smoke_birthWeight,KEEP,no,no,1,1,192,374,
