model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,1884,RAW,IV,2,ate,college_wage,easy,KEEP,yes,yes,1,1,151,269,
gpt-4.1-nano,0,1884,ORACLE,IV,2,ate,college_wage,easy,KEEP,yes,yes,1,1,204,309,
gpt-4.1-nano,0,1884,ORACLE_NI,IV,2,ate,college_wage,easy,KEEP,yes,yes,1,1,197,126,
gpt-4.1-nano,0,1884,DR_k1,IV,2,ate,college_wage,easy,KEEP,yes,no,0,1,204,309,
gpt-4.1-nano,0,1884,DR_k1_NI,IV,2,ate,college_wage,easy,KEEP,yes,yes,1,1,197,497,
gpt-4.1-nano,0,1884,DR_k2,IV,2,ate,college_wage,easy,KEEP,yes,no,0,1,209,598,
gpt-4.1-nano,0,1884,DR_k2_NI,IV,2,ate,college_wage,easy,KEEP,yes,no,0,1,202,465,
gpt-4.1-nano,0,1884,DR_k3,IV,2,ate,college_wage,easy,KEEP,yes,yes,1,1,209,477,
gpt-4.1-nano,0,1884,DR_k3_NI,IV,2,ate,college_wage,easy,KEEP,yes,yes,1,1,202,334,
gpt-4.1-nano,1,1641,RAW,IV,2,ate,cholesterol,easy,KEEP,yes,yes,1,1,152,260,
gpt-4.1-nano,1,1641,ORACLE,IV,2,ate,cholesterol,easy,KEEP,yes,yes,1,1,204,455,
gpt-4.1-nano,1,1641,ORACLE_NI,IV,2,ate,cholesterol,easy,KEEP,yes,yes,1,1,197,313,
gpt-4.1-nano,1,1641,DR_k1,IV,2,ate,cholesterol,easy,KEEP,yes,yes,1,1,208,639,
gpt-4.1-nano,1,1641,DR_k1_NI,IV,2,ate,cholesterol,easy,KEEP,yes,yes,1,1,201,430,
gpt-4.1-nano,1,1641,DR_k2,IV,2,ate,cholesterol,easy,KEEP,yes,yes,1,1,210,555,
gpt-4.1-nano,1,1641,DR_k2_NI,IV,2,ate,cholesterol,easy,KEEP,yes,yes,1,1,203,436,
gpt-4.1-nano,1,1641,DR_k3,IV,2,ate,cholesterol,easy,KEEP,yes,yes,1,1,203,476,
gpt-4.1-nano,1,1641,DR_k3_NI,IV,2,ate,cholesterol,easy,KEEP,yes,yes,1,1,196,406,
gpt-4.1-nano,2,1613,RAW,IV,2,ate,cholesterol,easy,KEEP,no,no,1,1,152,252,
gpt-4.1-nano,2,1613,ORACLE,IV,2,ate,cholesterol,easy,KEEP,no,no,1,1,204,544,
gpt-4.1-nano,2,1613,ORACLE_NI,IV,2,ate,cholesterol,easy,KEEP,no,no,1,1,197,205,
gpt-4.1-nano,2,1613,DR_k1,IV,2,ate,cholesterol,easy,KEEP,no,,0,0,208,700,
gpt-4.1-nano,2,1613,DR_k1_NI,IV,2,ate,cholesterol,easy,KEEP,no,yes,0,1,201,368,
gpt-4.1-nano,2,1613,DR_k2,IV,2,ate,cholesterol,easy,KEEP,no,no,1,1,210,653,
gpt-4.1-nano,2,1613,DR_k2_NI,IV,2,ate,cholesterol,easy,KEEP,no,no,1,1,203,372,
gpt-4.1-nano,2,1613,DR_k3,IV,2,ate,cholesterol,easy,KEEP,no,no,1,1,210,392,
gpt-4.1-nano,2,1613,DR_k3_NI,IV,2,ate,cholesterol,easy,KEEP,no,no,1,1,203,324,
gpt-4.1-nano,3,16780,RAW,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,146,462,
gpt-4.1-nano,3,16780,ORACLE,IV,2,ate,cholesterol,anticommonsense,KEEP,no,no,1,1,201,700,
