item,lexicon,family,query_type,cond,arm,k,estimand_unchanged,touches_causal_path,strict_unchanged,unchanged_qt
0,KEEP,IV,correlation,DR_k1,DR,1,False,True,False,False
0,KEEP,IV,correlation,DR_k2,DR,2,False,True,False,False
0,KEEP,IV,correlation,DR_k3,DR,3,False,True,False,False
0,KEEP,IV,correlation,ED_k1,ED,1,False,True,False,False
0,KEEP,IV,correlation,ED_k2,ED,2,False,False,False,False
0,KEEP,IV,correlation,ED_k3,ED,3,False,True,False,False
0,KEEP,IV,correlation,FE_k1,FE,1,True,False,True,True
0,KEEP,IV,correlation,FE_k2,FE,2,False,False,False,False
0,PSEUDO,IV,correlation,DR_k1,DR,1,False,True,False,False
0,PSEUDO,IV,correlation,DR_k2,DR,2,False,True,False,False
0,PSEUDO,IV,correlation,DR_k3,DR,3,False,True,False,False
0,PSEUDO,IV,correlation,ED_k1,ED,1,False,True,False,False
0,PSEUDO,IV,correlation,ED_k2,ED,2,False,False,False,False
0,PSEUDO,IV,correlation,ED_k3,ED,3,False,True,False,False
0,PSEUDO,IV,correlation,FE_k1,FE,1,False,False,False,False
0,PSEUDO,IV,correlation,FE_k2,FE,2,False,False,False,False
1,KEEP,IV,correlation,DR_k1,DR,1,False,True,False,False
1,KEEP,IV,correlation,DR_k2,DR,2,False,True,False,False
1,KEEP,IV,correlation,DR_k3,DR,3,False,True,False,False
1,KEEP,IV,correlation,ED_k1,ED,1,True,False,True,True
1,KEEP,IV,correlation,ED_k2,ED,2,False,False,False,False
1,KEEP,IV,correlation,ED_k3,ED,3,False,True,False,False
1,KEEP,IV,correlation,FE_k1,FE,1,True,False,True,True
1,KEEP,IV,correlation,FE_k2,FE,2,False,False,False,False
1,PSEUDO,IV,correlation,DR_k1,DR,1,False,True,False,False
1,PSEUDO,IV,correlation,DR_k2,DR,2,False,True,False,False
1,PSEUDO,IV,correlation,DR_k3,DR,3,False,True,False,False
1,PSEUDO,IV,correlation,ED_k1,ED,1,True,False,True,True
1,PSEUDO,IV,correlation,ED_k2,ED,2,False,False,False,False
1,PSEUDO,IV,correlation,ED_k3,ED,3,False,True,False,False
1,PSEUDO,IV,correlation,FE_k1,FE,1,True,False,True,True
1,PSEUDO,IV,correlation,FE_k2,FE,2,False,False,False,False
2,KEEP,IV,marginal,DR_k1,DR,1,False,True,False,False
2,KEEP,IV,marginal,DR_k2,DR,2,False,True,False,False
2,KEEP,IV,marginal,DR_k3,DR,3,False,True,False,False
2,KEEP,IV,marginal,ED_k1,ED,1,False,True,False,False
2,KEEP,IV,marginal,ED_k2,ED,2,False,True,False,False
2,KEEP,IV,marginal,ED_k3,ED,3,False,True,False,False
2,KEEP,IV,marginal,FE_k1,FE,1,True,False,True,True
2,KEEP,IV,marginal,FE_k2,FE,2,False,False,False,False
2,PSEUDO,IV,marginal,DR_k1,DR,1,False,True,False,False
2,PSEUDO,IV,marginal,DR_k2,DR,2,False,True,False,False
2,PSEUDO,IV,marginal,DR_k3,DR,3,False,True,False,False
2,PSEUDO,IV,marginal,ED_k1,ED,1,False,True,False,False
2,PSEUDO,IV,marginal,ED_k2,ED,2,False,True,False,False
2,PSEUDO,IV,marginal,ED_k3,ED,3,False,True,False,False
2,PSEUDO,IV,marginal,FE_k1,FE,1,False,False,False,False
2,PSEUDO,IV,marginal,FE_k2,FE,2,False,False,False,False
3,KEEP,IV,marginal,DR_k1,DR,1,False,True,False,False
3,KEEP,IV,marginal,DR_k2,DR,2,False,True,False,False
3,KEEP,IV,marginal,DR_k3,DR,3,False,True,False,False
3,KEEP,IV,marginal,ED_k1,ED,1,False,True,False,False
