model,item,graph_id,rung,gold,pred,correct,parsed_answer,parsed_graph,precision,recall,f1,n_reversed,n_spurious,n_missing,n_wrong_edges,exact_match,n_true
gpt-4.1-nano,0,IV,1,no,no,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,1,IV,1,no,yes,0,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,2,IV,1,no,no,1,1,1,0.5,0.25,0.3333333333333333,1,0,2,3,0,4
gpt-4.1-nano,3,IV,1,yes,no,0,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,4,IV,1,yes,no,0,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,5,IV,1,yes,yes,1,1,1,0.0,0.0,0.0,1,0,3,4,0,4
gpt-4.1-nano,6,IV,1,yes,yes,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,7,IV,2,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,8,IV,2,yes,yes,1,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-nano,9,IV,2,yes,yes,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,10,IV,2,yes,yes,1,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-nano,11,IV,2,yes,yes,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,12,IV,2,yes,yes,1,1,1,1.0,0.75,0.8571428571428571,0,0,1,1,0,4
gpt-4.1-nano,13,IV,2,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,14,IV,3,yes,no,0,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,15,IV,3,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,16,IV,3,no,yes,0,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,17,IV,3,no,yes,0,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,18,IV,3,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,19,IV,3,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,20,IV,3,yes,yes,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,21,arrowhead,1,yes,,0,0,1,0.0,0.0,0.0,1,0,4,5,0,5
gpt-4.1-nano,22,arrowhead,1,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,23,arrowhead,1,no,yes,0,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,24,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,25,arrowhead,1,yes,no,0,1,1,0.5,0.2,0.28571428571428575,0,1,4,5,0,5
gpt-4.1-nano,26,arrowhead,1,no,yes,0,1,1,0.0,0.0,0.0,1,0,4,5,0,5
gpt-4.1-nano,27,arrowhead,1,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,28,arrowhead,2,no,yes,0,1,1,0.6666666666666666,0.4,0.5,1,0,2,3,0,5
gpt-4.1-nano,29,arrowhead,2,no,no,1,1,1,0.6666666666666666,0.4,0.5,1,0,2,3,0,5
gpt-4.1-nano,30,arrowhead,2,no,yes,0,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,31,arrowhead,2,no,no,1,1,1,0.6666666666666666,0.4,0.5,1,0,2,3,0,5
gpt-4.1-nano,32,arrowhead,2,yes,yes,1,1,1,0.0,0.0,0.0,2,0,3,5,0,5
