model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error,provider,finish,reason_tok,usd,answer_from,temperature,max_tokens
meta-llama/llama-3.3-70b-instruct,111,3206,ORACLE,arrowhead,3,ett,obesity_mortality,easy,PSEUDO,no,no,1,1,182,677,,Novita,stop,0,0.00029537,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,113,4093,RAW,arrowhead,3,nde,smoke_birthWeight,easy,PSEUDO,no,no,1,1,259,630,,Novita,stop,0,0.000286965,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,113,4093,ORACLE,arrowhead,3,nde,smoke_birthWeight,easy,PSEUDO,no,no,1,1,313,545,,Novita,stop,0,0.000260255,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,113,4093,DR_k1,arrowhead,3,nde,smoke_birthWeight,easy,PSEUDO,no,no,1,1,314,853,,Novita,stop,0,0.00038359,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,175,1738,PROSE,chain,3,nie,college_salary,easy,PSEUDO,no,no,1,1,129,200,,Novita,stop,0,9.7415e-05,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,176,16853,ORACLE,chain,3,ett,college_salary,anticommonsense,PSEUDO,yes,yes,1,1,157,262,,Novita,stop,0,0.000125995,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,178,18584,PROSE,chain,3,nie,orange_scurvy,anticommonsense,PSEUDO,no,yes,0,1,131,331,,Novita,stop,0,0.000150085,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,180,13202,PROSE,collision,1,exp_away,man_in_relationship,anticommonsense,PSEUDO,no,no,1,1,198,383,,Novita,stop,0,0.00017993,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,263,8718,RAW,confounding,3,ett,simpson_vaccine,hard,PSEUDO,no,yes,0,1,184,910,,Novita,stop,0,0.00038884,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,263,8718,ORACLE,confounding,3,ett,simpson_vaccine,hard,PSEUDO,no,yes,0,1,227,774,,Novita,stop,0,0.000340245,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,263,8718,DR_k1,confounding,3,ett,simpson_vaccine,hard,PSEUDO,no,yes,0,1,227,1186,,Novita,stop,0,0.000505045,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,268,19014,RAW,confounding,3,ett,simpson_kidneystone,anticommonsense,PSEUDO,yes,yes,1,1,177,461,,Novita,stop,0,0.000208295,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,275,3994,ORACLE,confounding,3,ett,simpson_vaccine,easy,PSEUDO,yes,no,0,1,227,874,,Novita,stop,0,0.000380245,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,275,3994,DR_k1,confounding,3,ett,simpson_vaccine,easy,PSEUDO,yes,yes,1,1,227,544,,Novita,stop,0,0.000248245,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,367,5143,DR_k1,diamondcut,2,ate,firing_employee,hard,PSEUDO,no,no,1,1,249,795,,Novita,stop,0,0.000351615,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,374,5121,DR_k1,diamondcut,2,ate,firing_employee,hard,PSEUDO,no,no,1,1,256,803,,Novita,stop,0,0.00035576,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,380,351,RAW,diamondcut,3,ett,firing_employee,easy,PSEUDO,yes,no,0,1,241,587,,Novita,stop,0,0.000267335,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,382,10719,RAW,diamondcut,3,ett,firing_employee,anticommonsense,PSEUDO,yes,no,0,1,223,1337,,Novita,stop,0,0.000564905,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,384,15575,PROSE,diamondcut,3,ett,firing_employee,anticommonsense,PSEUDO,no,yes,0,1,288,878,,Novita,stop,0,0.00039008,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,386,10718,ORACLE,diamondcut,3,ett,firing_employee,anticommonsense,PSEUDO,no,no,1,1,282,697,,Novita,stop,0,0.00031687,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,386,10718,DR_k1,diamondcut,3,ett,firing_employee,anticommonsense,PSEUDO,no,no,1,1,282,592,,Novita,stop,0,0.00027487,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,388,10764,RAW,diamondcut,3,ett,firing_employee,anticommonsense,PSEUDO,no,no,1,1,222,700,,Novita,stop,0,0.00030997,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,389,10771,ORACLE,diamondcut,3,ett,firing_employee,anticommonsense,PSEUDO,no,no,1,1,282,706,,Novita,stop,0,0.00032047,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,390,15530,ORACLE,diamondcut,3,ett,firing_employee,anticommonsense,PSEUDO,yes,no,0,1,283,799,,Novita,stop,0,0.000357805,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,396,19967,DR_k1,diamondcut,3,det-counterfactual,firing_employee,anticommonsense,PSEUDO,yes,yes,1,1,169,417,,Novita,stop,0,0.000189615,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,397,10742,RAW,diamondcut,3,ett,firing_employee,anticommonsense,PSEUDO,no,no,1,1,228,723,,Novita,stop,0,0.00031998,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,398,15514,DR_k1,diamondcut,3,ett,firing_employee,anticommonsense,PSEUDO,yes,no,0,1,289,628,,Novita,stop,0,0.000290215,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,440,940,RAW,fork,3,ett,getting_tanned,easy,PSEUDO,no,yes,0,1,128,460,,Novita,stop,0,0.00020128,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,440,940,ORACLE,fork,3,ett,getting_tanned,easy,PSEUDO,no,no,1,1,164,714,,Novita,stop,0,0.00030774,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,443,5724,ORACLE,fork,3,ett,getting_tanned,hard,PSEUDO,yes,yes,1,1,168,344,,Novita,stop,0,0.00016028,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,443,5724,DR_k1,fork,3,ett,getting_tanned,hard,PSEUDO,yes,no,0,1,167,546,,Novita,stop,0,0.000240945,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,458,5551,DR_k1,fork,3,ett,forest_fire,hard,PSEUDO,yes,yes,1,1,165,402,,Novita,stop,0,0.000183075,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,488,19318,ORACLE,frontdoor,2,ate,smoking_frontdoor,anticommonsense,PSEUDO,no,no,1,1,251,534,,Novita,stop,0,0.000247485,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,490,14676,PROSE,frontdoor,2,ate,smoking_frontdoor,anticommonsense,PSEUDO,no,no,1,1,229,680,,Novita,stop,0,0.000302915,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,504,14663,PROSE,frontdoor,3,nie,smoking_frontdoor,anticommonsense,PSEUDO,no,no,1,1,238,431,,Novita,stop,0,0.00020453,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,507,4220,ORACLE,frontdoor,3,ett,smoking_frontdoor,easy,PSEUDO,no,no,1,1,245,472,,Novita,stop,0,0.000221875,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,507,4220,DR_k1,frontdoor,3,ett,smoking_frontdoor,easy,PSEUDO,no,no,1,1,244,771,,Novita,stop,0,0.00034134,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,517,4270,DR_k1,frontdoor,3,ett,smoking_frontdoor,easy,PSEUDO,no,no,1,1,246,744,,Novita,stop,0,0.00033081,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,565,21,PROSE,mediation,3,nie,alarm,easy,PSEUDO,no,no,1,1,252,794,,Novita,stop,0,0.00035162,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,565,21,DR_k1,mediation,3,nie,alarm,easy,PSEUDO,no,no,1,1,267,644,,Novita,stop,0,0.000293645,content,0.0,1500
