model,item,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,1,PROSE,IV,1,correlation,water_cholera,easy,PERMUTE,no,no,1,1,144,303,
gpt-4.1-nano,3,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,PERMUTE,yes,yes,1,1,191,410,
gpt-4.1-nano,2,PROSE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PERMUTE,yes,no,0,1,167,700,
gpt-4.1-nano,1,ORACLE,IV,1,correlation,water_cholera,easy,PERMUTE,no,no,1,1,159,519,
gpt-4.1-nano,0,PROSE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PERMUTE,no,,0,0,167,700,
gpt-4.1-nano,1,DR_k1,IV,1,correlation,water_cholera,easy,PERMUTE,no,no,1,1,159,669,
gpt-4.1-nano,3,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,PERMUTE,yes,no,0,1,125,274,
gpt-4.1-nano,0,ORACLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PERMUTE,no,no,1,1,182,453,
gpt-4.1-nano,1,RAW,IV,1,correlation,water_cholera,easy,PERMUTE,no,no,1,1,113,386,
gpt-4.1-nano,2,ORACLE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PERMUTE,yes,no,0,1,182,700,
gpt-4.1-nano,2,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PERMUTE,yes,yes,1,1,125,491,
gpt-4.1-nano,3,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,PERMUTE,yes,yes,1,1,175,545,
gpt-4.1-nano,0,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PERMUTE,no,no,1,1,120,229,
gpt-4.1-nano,0,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PERMUTE,no,no,1,1,182,413,
gpt-4.1-nano,3,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,PERMUTE,yes,no,0,1,187,537,
gpt-4.1-nano,2,DR_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PERMUTE,yes,no,0,1,173,700,
gpt-4.1-nano,4,PROSE,IV,1,marginal,tax_smoke_birthWeight,hard,PERMUTE,no,no,1,1,168,417,
gpt-4.1-nano,4,RAW,IV,1,marginal,tax_smoke_birthWeight,hard,PERMUTE,no,no,1,1,122,264,
gpt-4.1-nano,4,ORACLE,IV,1,marginal,tax_smoke_birthWeight,hard,PERMUTE,no,no,1,1,184,465,
gpt-4.1-nano,5,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,PERMUTE,yes,yes,1,1,190,422,
gpt-4.1-nano,5,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,PERMUTE,yes,yes,1,1,128,269,
gpt-4.1-nano,4,DR_k1,IV,1,marginal,tax_smoke_birthWeight,hard,PERMUTE,no,no,1,1,182,508,
gpt-4.1-nano,6,RAW,IV,2,backadj,cholesterol,anticommonsense,PERMUTE,no,no,1,1,137,3,
gpt-4.1-nano,5,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,PERMUTE,yes,yes,1,1,174,370,
