model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-5.6-luna,36,13899,RAW,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,144,524,
gpt-5.6-luna,36,13899,ORACLE,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,193,643,
gpt-5.6-luna,36,13899,DR_k1,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,194,448,
gpt-5.6-luna,36,13899,DR_k2,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,194,952,
gpt-5.6-luna,36,13899,DR_k3,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,187,1027,
gpt-5.6-luna,37,9467,RAW,IV,2,ate,water_cholera,hard,PSEUDO,no,no,1,1,145,485,
gpt-5.6-luna,37,9467,ORACLE,IV,2,ate,water_cholera,hard,PSEUDO,no,no,1,1,195,2078,
gpt-5.6-luna,37,9467,DR_k1,IV,2,ate,water_cholera,hard,PSEUDO,no,no,1,1,195,348,
gpt-5.6-luna,37,9467,DR_k2,IV,2,ate,water_cholera,hard,PSEUDO,no,no,1,1,195,524,
gpt-5.6-luna,37,9467,DR_k3,IV,2,ate,water_cholera,hard,PSEUDO,no,no,1,1,194,307,
gpt-5.6-luna,38,8277,RAW,IV,2,ate,price,hard,PSEUDO,no,no,1,1,143,281,
gpt-5.6-luna,38,8277,ORACLE,IV,2,ate,price,hard,PSEUDO,no,no,1,1,194,1521,
gpt-5.6-luna,38,8277,DR_k1,IV,2,ate,price,hard,PSEUDO,no,no,1,1,194,195,
gpt-5.6-luna,38,8277,DR_k2,IV,2,ate,price,hard,PSEUDO,no,no,1,1,194,314,
gpt-5.6-luna,38,8277,DR_k3,IV,2,ate,price,hard,PSEUDO,no,no,1,1,194,205,
gpt-5.6-luna,42,16786,RAW,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,142,257,
gpt-5.6-luna,42,16786,ORACLE,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,194,1042,
gpt-5.6-luna,42,16786,DR_k1,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,193,220,
gpt-5.6-luna,42,16786,DR_k2,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,193,159,
gpt-5.6-luna,42,16786,DR_k3,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,194,307,
gpt-5.6-luna,44,18686,RAW,IV,2,ate,price,anticommonsense,PSEUDO,yes,no,0,1,140,220,
gpt-5.6-luna,44,18686,ORACLE,IV,2,ate,price,anticommonsense,PSEUDO,yes,no,0,1,188,386,
gpt-5.6-luna,44,18686,DR_k1,IV,2,ate,price,anticommonsense,PSEUDO,yes,no,0,1,189,161,
gpt-5.6-luna,44,18686,DR_k2,IV,2,ate,price,anticommonsense,PSEUDO,yes,no,0,1,189,185,
gpt-5.6-luna,44,18686,DR_k3,IV,2,ate,price,anticommonsense,PSEUDO,yes,no,0,1,189,203,
gpt-5.6-luna,50,6665,RAW,IV,2,ate,college_wage,hard,PSEUDO,yes,no,0,1,140,322,
gpt-5.6-luna,50,6665,ORACLE,IV,2,ate,college_wage,hard,PSEUDO,yes,no,0,1,193,3090,
gpt-5.6-luna,50,6665,DR_k1,IV,2,ate,college_wage,hard,PSEUDO,yes,no,0,1,186,1425,
gpt-5.6-luna,50,6665,DR_k2,IV,2,ate,college_wage,hard,PSEUDO,yes,yes,1,1,185,1430,
gpt-5.6-luna,50,6665,DR_k3,IV,2,ate,college_wage,hard,PSEUDO,yes,no,0,1,192,524,
gpt-5.6-luna,51,11998,RAW,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,138,505,
gpt-5.6-luna,51,11998,ORACLE,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,187,524,
gpt-5.6-luna,51,11998,DR_k1,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,187,524,
gpt-5.6-luna,51,11998,DR_k2,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,179,579,
gpt-5.6-luna,51,11998,DR_k3,IV,2,ate,cholesterol,anticommonsense,PSEUDO,no,no,1,1,186,244,
gpt-5.6-luna,53,6642,RAW,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,135,956,
gpt-5.6-luna,53,6642,ORACLE,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,184,1042,
gpt-5.6-luna,53,6642,DR_k1,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,185,983,
gpt-5.6-luna,53,6642,DR_k2,IV,2,ate,college_wage,hard,PSEUDO,no,no,1,1,186,661,
gpt-5.6-luna,53,6642,DR_k3,IV,2,ate,college_wage,hard,PSEUDO,no,yes,0,1,179,524,
gpt-5.6-luna,62,13847,RAW,IV,2,ate,price,anticommonsense,PSEUDO,yes,no,0,1,144,571,
gpt-5.6-luna,62,13847,ORACLE,IV,2,ate,price,anticommonsense,PSEUDO,yes,no,0,1,197,1626,
gpt-5.6-luna,62,13847,DR_k1,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,196,1042,
gpt-5.6-luna,62,13847,DR_k2,IV,2,ate,price,anticommonsense,PSEUDO,yes,no,0,1,197,424,
gpt-5.6-luna,62,13847,DR_k3,IV,2,ate,price,anticommonsense,PSEUDO,yes,no,0,1,196,357,
gpt-5.6-luna,66,13836,RAW,IV,2,ate,price,anticommonsense,PSEUDO,yes,no,0,1,140,236,
gpt-5.6-luna,66,13836,ORACLE,IV,2,ate,price,anticommonsense,PSEUDO,yes,no,0,1,189,1090,
gpt-5.6-luna,66,13836,DR_k1,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,189,646,
gpt-5.6-luna,66,13836,DR_k2,IV,2,ate,price,anticommonsense,PSEUDO,yes,no,0,1,183,524,
gpt-5.6-luna,66,13836,DR_k3,IV,2,ate,price,anticommonsense,PSEUDO,yes,yes,1,1,182,1081,
gpt-5.6-luna,68,9755,RAW,IV,3,det-counterfactual,cholesterol,commonsense,PSEUDO,no,no,1,1,113,216,
gpt-5.6-luna,68,9755,ORACLE,IV,3,det-counterfactual,cholesterol,commonsense,PSEUDO,no,no,1,1,163,173,
gpt-5.6-luna,68,9755,DR_k1,IV,3,det-counterfactual,cholesterol,commonsense,PSEUDO,no,no,1,1,163,301,
gpt-5.6-luna,68,9755,DR_k2,IV,3,det-counterfactual,cholesterol,commonsense,PSEUDO,no,no,1,1,163,573,
gpt-5.6-luna,68,9755,DR_k3,IV,3,det-counterfactual,cholesterol,commonsense,PSEUDO,no,no,1,1,162,524,
gpt-5.6-luna,69,20698,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,115,138,
gpt-5.6-luna,69,20698,ORACLE,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,167,197,
gpt-5.6-luna,69,20698,DR_k1,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,168,306,
gpt-5.6-luna,69,20698,DR_k2,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,166,559,
gpt-5.6-luna,69,20698,DR_k3,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,160,310,
gpt-5.6-luna,70,20743,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,118,153,
gpt-5.6-luna,70,20743,ORACLE,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,167,220,
gpt-5.6-luna,70,20743,DR_k1,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,168,318,
gpt-5.6-luna,70,20743,DR_k2,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,yes,1,1,168,1042,
gpt-5.6-luna,70,20743,DR_k3,IV,3,det-counterfactual,water_cholera,anticommonsense,PSEUDO,yes,no,0,1,168,689,
gpt-5.6-luna,71,20700,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,109,191,
gpt-5.6-luna,71,20700,ORACLE,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,158,192,
gpt-5.6-luna,71,20700,DR_k1,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,150,279,
gpt-5.6-luna,71,20700,DR_k2,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,yes,1,1,158,524,
gpt-5.6-luna,71,20700,DR_k3,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,yes,no,0,1,157,403,
gpt-5.6-luna,72,10039,RAW,IV,3,det-counterfactual,price,commonsense,PSEUDO,no,no,1,1,116,134,
gpt-5.6-luna,72,10039,ORACLE,IV,3,det-counterfactual,price,commonsense,PSEUDO,no,yes,0,1,166,394,
gpt-5.6-luna,72,10039,DR_k1,IV,3,det-counterfactual,price,commonsense,PSEUDO,no,yes,0,1,165,428,
gpt-5.6-luna,72,10039,DR_k2,IV,3,det-counterfactual,price,commonsense,PSEUDO,no,no,1,1,166,260,
gpt-5.6-luna,72,10039,DR_k3,IV,3,det-counterfactual,price,commonsense,PSEUDO,no,no,1,1,166,563,
gpt-5.6-luna,73,20728,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,112,179,
gpt-5.6-luna,73,20728,ORACLE,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,162,308,
gpt-5.6-luna,73,20728,DR_k1,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,155,308,
gpt-5.6-luna,73,20728,DR_k2,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,161,302,
gpt-5.6-luna,73,20728,DR_k3,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PSEUDO,no,no,1,1,161,891,
