model,item,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,3,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,189,382,
gpt-4.1-nano,6,ORACLE,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,178,409,
gpt-4.1-nano,4,ORACLE,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,189,375,
gpt-4.1-nano,2,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,130,304,
gpt-4.1-nano,8,DR_k1,IV,1,correlation,price,anticommonsense,KEEP,yes,yes,1,1,145,600,
gpt-4.1-nano,6,RAW,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,123,290,
gpt-4.1-nano,4,PROSE,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,173,275,
gpt-4.1-nano,5,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,127,264,
gpt-4.1-nano,8,ORACLE,IV,1,correlation,price,anticommonsense,KEEP,yes,yes,1,1,151,470,
gpt-4.1-nano,2,DR_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,181,364,
gpt-4.1-nano,1,ORACLE,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,159,353,
gpt-4.1-nano,3,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,192,395,
gpt-4.1-nano,2,PROSE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,175,317,
gpt-4.1-nano,10,RAW,IV,1,marginal,cholesterol,hard,KEEP,no,yes,0,1,126,276,
gpt-4.1-nano,10,ORACLE,IV,1,marginal,cholesterol,hard,KEEP,no,no,1,1,178,483,
gpt-4.1-nano,5,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,188,450,
gpt-4.1-nano,0,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,185,397,
gpt-4.1-nano,9,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,no,0,1,175,674,
gpt-4.1-nano,8,RAW,IV,1,correlation,price,anticommonsense,KEEP,yes,,0,0,108,700,
gpt-4.1-nano,4,RAW,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,127,254,
gpt-4.1-nano,5,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,189,427,
gpt-4.1-nano,0,PROSE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,169,477,
gpt-4.1-nano,5,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,173,254,
gpt-4.1-nano,2,ORACLE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,191,406,
gpt-4.1-nano,9,ORACLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,185,403,
gpt-4.1-nano,8,PROSE,IV,1,correlation,price,anticommonsense,KEEP,yes,yes,1,1,136,439,
