item,id,query_type,question_property,lexicon,u,v,first,second,flipped,model,pred,parsed,relation,in_tok,out_tok
36,13899,ate,anticommonsense,KEEP,V1,X,supply,demand,True,gpt-4.1-nano,b,1,agrees,95,57
36,13899,ate,anticommonsense,PERMUTE,V1,X,yield per acre,supply,True,gpt-4.1-nano,a,1,reversed,100,3
36,13899,ate,anticommonsense,KEEP,V1,Y,rainfall,demand,True,gpt-4.1-nano,c,1,neither,95,3
36,13899,ate,anticommonsense,PERMUTE,V1,Y,demand,supply,True,gpt-4.1-nano,a,1,reversed,95,118
36,13899,ate,anticommonsense,KEEP,V2,X,yield per acre,supply,False,gpt-4.1-nano,a,1,agrees,100,3
36,13899,ate,anticommonsense,PERMUTE,V2,X,rainfall,yield per acre,False,gpt-4.1-nano,a,1,agrees,100,3
36,13899,ate,anticommonsense,KEEP,X,Y,supply,rainfall,False,gpt-4.1-nano,c,1,neither,95,3
36,13899,ate,anticommonsense,PERMUTE,X,Y,yield per acre,demand,False,gpt-4.1-nano,c,1,neither,100,3
37,9467,ate,hard,KEEP,V1,X,water quality,poverty,True,gpt-4.1-nano,a,1,reversed,97,3
37,9467,ate,hard,PERMUTE,V1,X,water company,cholera,True,gpt-4.1-nano,a,1,reversed,99,3
37,9467,ate,hard,KEEP,V1,Y,cholera,poverty,True,gpt-4.1-nano,b,1,agrees,97,3
37,9467,ate,hard,PERMUTE,V1,Y,poverty,cholera,True,gpt-4.1-nano,a,1,reversed,97,3
37,9467,ate,hard,KEEP,V2,X,water quality,water company,True,gpt-4.1-nano,b,1,agrees,99,3
37,9467,ate,hard,PERMUTE,V2,X,water company,water quality,True,gpt-4.1-nano,c,1,neither,99,3
37,9467,ate,hard,KEEP,X,Y,cholera,water quality,True,gpt-4.1-nano,b,1,agrees,99,3
37,9467,ate,hard,PERMUTE,X,Y,poverty,water company,True,gpt-4.1-nano,c,1,neither,97,3
38,8277,ate,hard,KEEP,V1,X,supply,demand,True,gpt-4.1-nano,b,1,agrees,95,57
38,8277,ate,hard,PERMUTE,V1,X,yield per acre,supply,True,gpt-4.1-nano,a,1,reversed,100,3
38,8277,ate,hard,KEEP,V1,Y,price,demand,True,gpt-4.1-nano,a,1,reversed,94,86
38,8277,ate,hard,PERMUTE,V1,Y,demand,supply,True,gpt-4.1-nano,a,1,reversed,95,118
38,8277,ate,hard,KEEP,V2,X,yield per acre,supply,False,gpt-4.1-nano,a,1,agrees,100,3
38,8277,ate,hard,PERMUTE,V2,X,price,yield per acre,False,gpt-4.1-nano,c,1,neither,99,3
38,8277,ate,hard,KEEP,X,Y,price,supply,True,gpt-4.1-nano,b,1,agrees,94,3
38,8277,ate,hard,PERMUTE,X,Y,demand,yield per acre,True,gpt-4.1-nano,c,1,neither,100,3
42,16786,ate,anticommonsense,KEEP,V2,X,having a sister,treatment assignment,True,gpt-4.1-nano,c,1,neither,103,3
42,16786,ate,anticommonsense,PERMUTE,V2,X,cholesterol level,unobserved confounders,True,gpt-4.1-nano,c,1,neither,112,3
42,16786,ate,anticommonsense,KEEP,X,Y,having a sister,cholesterol level,False,gpt-4.1-nano,c,1,neither,103,3
42,16786,ate,anticommonsense,PERMUTE,X,Y,cholesterol level,treatment assignment,False,gpt-4.1-nano,c,1,neither,101,101
44,18686,ate,anticommonsense,KEEP,V1,X,demand,full moon,False,gpt-4.1-nano,c,1,neither,97,3
44,18686,ate,anticommonsense,PERMUTE,V1,X,price,demand,False,gpt-4.1-nano,a,1,agrees,94,86
44,18686,ate,anticommonsense,KEEP,V1,Y,price,demand,True,gpt-4.1-nano,a,1,reversed,94,86
44,18686,ate,anticommonsense,PERMUTE,V1,Y,yield per acre,price,True,gpt-4.1-nano,c,1,neither,99,3
