model,item,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,185,397,
gpt-4.1-nano,1,DR_k1,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,158,650,
gpt-4.1-nano,1,PROSE,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,143,487,
gpt-4.1-nano,0,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,124,319,
gpt-4.1-nano,1,RAW,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,111,281,
gpt-4.1-nano,0,PROSE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,169,477,
gpt-4.1-nano,0,ORACLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,185,369,
gpt-4.1-nano,1,ED_k2,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,146,474,
gpt-4.1-nano,1,ORACLE,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,159,353,
gpt-4.1-nano,2,PROSE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,175,317,
gpt-4.1-nano,2,ORACLE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,191,406,
gpt-4.1-nano,2,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,130,304,
gpt-4.1-nano,2,DR_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,181,364,
gpt-4.1-nano,1,ED_k1,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,149,358,
gpt-4.1-nano,0,ED_k2,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,168,419,
gpt-4.1-nano,0,DR_k2,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,183,450,
gpt-4.1-nano,1,FE_k2,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,164,460,
gpt-4.1-nano,2,DR_k2,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,193,400,
gpt-4.1-nano,3,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,173,391,
gpt-4.1-nano,3,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,127,253,
gpt-4.1-nano,3,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,189,382,
gpt-4.1-nano,0,ED_k3,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,155,389,
gpt-4.1-nano,3,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,192,395,
gpt-4.1-nano,0,ED_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,172,385,
gpt-4.1-nano,2,ED_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,178,477,
gpt-4.1-nano,1,DR_k3,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,157,529,
gpt-4.1-nano,1,FE_k1,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,162,511,
gpt-4.1-nano,0,FE_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,192,427,
gpt-4.1-nano,0,DR_k3,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,187,368,
gpt-4.1-nano,4,PROSE,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,173,275,
gpt-4.1-nano,4,RAW,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,127,254,
gpt-4.1-nano,4,ORACLE,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,189,375,
gpt-4.1-nano,4,DR_k1,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,192,374,
gpt-4.1-nano,1,ED_k3,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,136,481,
gpt-4.1-nano,1,DR_k2,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,157,548,
gpt-4.1-nano,2,DR_k3,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,191,442,
gpt-4.1-nano,0,FE_k2,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,197,461,
gpt-4.1-nano,3,DR_k2,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,192,285,
gpt-4.1-nano,3,DR_k3,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,190,366,
gpt-4.1-nano,2,FE_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,198,419,
gpt-4.1-nano,5,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,173,254,
gpt-4.1-nano,5,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,127,264,
gpt-4.1-nano,5,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,189,427,
gpt-4.1-nano,5,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,188,450,
gpt-4.1-nano,2,ED_k3,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,158,445,
gpt-4.1-nano,4,DR_k2,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,182,332,
gpt-4.1-nano,3,ED_k2,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,no,0,1,171,295,
gpt-4.1-nano,2,ED_k2,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,174,498,
gpt-4.1-nano,3,ED_k1,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,175,383,
gpt-4.1-nano,2,FE_k2,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,199,371,
gpt-4.1-nano,3,FE_k1,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,194,383,
gpt-4.1-nano,3,ED_k3,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,155,371,
gpt-4.1-nano,4,DR_k3,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,183,406,
gpt-4.1-nano,4,ED_k1,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,184,419,
gpt-4.1-nano,4,ED_k2,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,162,567,
gpt-4.1-nano,4,ED_k3,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,158,558,
gpt-4.1-nano,3,FE_k2,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,no,0,1,201,442,
gpt-4.1-nano,5,ED_k3,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,156,248,
gpt-4.1-nano,5,DR_k2,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,188,437,
gpt-4.1-nano,5,ED_k2,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,170,374,
gpt-4.1-nano,5,ED_k1,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,175,382,
gpt-4.1-nano,5,DR_k3,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,191,371,
gpt-4.1-nano,4,FE_k1,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,194,372,
gpt-4.1-nano,6,RAW,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,123,290,
gpt-4.1-nano,5,FE_k1,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,194,308,
gpt-4.1-nano,5,FE_k2,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,197,350,
gpt-4.1-nano,4,FE_k2,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,201,408,
gpt-4.1-nano,6,PROSE,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,163,359,
gpt-4.1-nano,6,DR_k1,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,170,459,
gpt-4.1-nano,6,ORACLE,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,178,409,
gpt-4.1-nano,6,DR_k2,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,174,440,
gpt-4.1-nano,7,RAW,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,116,253,
gpt-4.1-nano,6,ED_k3,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,148,375,
gpt-4.1-nano,6,DR_k3,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,174,483,
gpt-4.1-nano,6,ED_k1,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,175,475,
gpt-4.1-nano,6,ED_k2,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,161,394,
gpt-4.1-nano,7,DR_k1,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,165,504,
gpt-4.1-nano,6,FE_k2,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,188,481,
