model,item,cond,graph_id,rung,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,3,RAW,IV,1,yes,no,0,1,107,251,
gpt-4.1-nano,1,RAW,IV,1,no,yes,0,1,107,203,
gpt-4.1-nano,3,PROSE,IV,1,yes,yes,1,1,142,456,
gpt-4.1-nano,0,RAW,IV,1,no,yes,0,1,107,294,
gpt-4.1-nano,2,ORACLE,IV,1,no,yes,0,1,147,367,
gpt-4.1-nano,4,PROSE,IV,1,yes,no,0,1,139,178,
gpt-4.1-nano,2,RAW,IV,1,no,no,1,1,98,416,
gpt-4.1-nano,3,DR_k1,IV,1,yes,yes,1,1,157,406,
gpt-4.1-nano,2,DR_k1,IV,1,no,,0,0,140,700,
gpt-4.1-nano,4,RAW,IV,1,yes,no,0,1,106,279,
gpt-4.1-nano,2,PROSE,IV,1,no,,0,0,131,700,
gpt-4.1-nano,0,DR_k1,IV,1,no,yes,0,1,158,658,
gpt-4.1-nano,1,ORACLE,IV,1,no,,0,0,156,700,
gpt-4.1-nano,0,ORACLE,IV,1,no,,0,0,157,700,
gpt-4.1-nano,1,PROSE,IV,1,no,no,1,1,141,700,
gpt-4.1-nano,5,RAW,IV,2,no,no,1,1,129,214,
gpt-4.1-nano,3,ORACLE,IV,1,yes,yes,1,1,157,671,
gpt-4.1-nano,7,RAW,IV,2,no,no,1,1,99,96,
gpt-4.1-nano,4,DR_k1,IV,1,yes,no,0,1,154,394,
gpt-4.1-nano,6,RAW,IV,2,yes,yes,1,1,106,229,
gpt-4.1-nano,7,PROSE,IV,2,no,no,1,1,132,253,
gpt-4.1-nano,7,ORACLE,IV,2,no,yes,0,1,147,223,
gpt-4.1-nano,5,DR_k1,IV,2,no,yes,0,1,177,425,
gpt-4.1-nano,1,DR_k1,IV,1,no,yes,0,1,157,444,
gpt-4.1-nano,6,PROSE,IV,2,yes,no,0,1,140,263,
gpt-4.1-nano,5,ORACLE,IV,2,no,yes,0,1,177,563,
gpt-4.1-nano,6,ORACLE,IV,2,yes,yes,1,1,155,248,
gpt-4.1-nano,8,RAW,IV,2,yes,no,0,1,134,298,
gpt-4.1-nano,7,DR_k1,IV,2,no,yes,0,1,147,301,
gpt-4.1-nano,9,RAW,IV,2,yes,no,0,1,109,88,
gpt-4.1-nano,6,DR_k1,IV,2,yes,no,0,1,148,341,
gpt-4.1-nano,9,PROSE,IV,2,yes,yes,1,1,146,171,
gpt-4.1-nano,8,PROSE,IV,2,yes,no,0,1,169,450,
gpt-4.1-nano,5,PROSE,IV,2,no,no,1,1,162,700,
gpt-4.1-nano,9,DR_k1,IV,2,yes,yes,1,1,154,246,
gpt-4.1-nano,4,ORACLE,IV,1,yes,no,0,1,154,646,
gpt-4.1-nano,10,DR_k1,IV,3,no,yes,0,1,155,184,
gpt-4.1-nano,8,ORACLE,IV,2,yes,yes,1,1,184,474,
gpt-4.1-nano,8,DR_k1,IV,2,yes,no,0,1,177,400,
gpt-4.1-nano,11,DR_k1,IV,3,no,no,1,1,141,182,
gpt-4.1-nano,11,ORACLE,IV,3,no,yes,0,1,148,188,
gpt-4.1-nano,10,ORACLE,IV,3,no,yes,0,1,156,258,
gpt-4.1-nano,10,PROSE,IV,3,no,yes,0,1,141,444,
gpt-4.1-nano,14,ORACLE,IV,3,yes,no,0,1,149,501,
gpt-4.1-nano,11,PROSE,IV,3,no,yes,0,1,132,236,
gpt-4.1-nano,12,PROSE,IV,3,no,no,1,1,138,224,
gpt-4.1-nano,9,ORACLE,IV,2,yes,yes,1,1,161,215,
gpt-4.1-nano,12,RAW,IV,3,no,yes,0,1,104,494,
gpt-4.1-nano,13,PROSE,IV,3,no,yes,0,1,136,253,
gpt-4.1-nano,11,RAW,IV,3,no,yes,0,1,99,389,
gpt-4.1-nano,13,DR_k1,IV,3,no,yes,0,1,152,270,
gpt-4.1-nano,14,DR_k1,IV,3,yes,yes,1,1,149,238,
gpt-4.1-nano,14,PROSE,IV,3,yes,yes,1,1,134,184,
gpt-4.1-nano,14,RAW,IV,3,yes,yes,1,1,100,328,
gpt-4.1-nano,13,ORACLE,IV,3,no,yes,0,1,151,404,
gpt-4.1-nano,13,RAW,IV,3,no,no,1,1,100,517,
gpt-4.1-nano,15,RAW,arrowhead,1,yes,yes,1,1,109,259,
gpt-4.1-nano,12,ORACLE,IV,3,no,no,1,1,153,700,
gpt-4.1-nano,15,PROSE,arrowhead,1,yes,yes,1,1,146,460,
gpt-4.1-nano,12,DR_k1,IV,3,no,yes,0,1,153,449,
gpt-4.1-nano,0,PROSE,IV,1,no,yes,0,1,142,575,
gpt-4.1-nano,10,RAW,IV,3,no,yes,0,1,104,467,
gpt-4.1-nano,16,PROSE,arrowhead,1,no,yes,0,1,134,437,
gpt-4.1-nano,16,RAW,arrowhead,1,no,yes,0,1,98,516,
gpt-4.1-nano,15,DR_k1,arrowhead,1,yes,yes,1,1,162,700,
gpt-4.1-nano,15,ORACLE,arrowhead,1,yes,no,0,1,161,682,
gpt-4.1-nano,16,DR_k1,arrowhead,1,no,no,1,1,150,700,
gpt-4.1-nano,18,PROSE,arrowhead,1,no,no,1,1,142,381,
gpt-4.1-nano,18,RAW,arrowhead,1,no,no,1,1,106,318,
gpt-4.1-nano,16,ORACLE,arrowhead,1,no,no,1,1,150,676,
gpt-4.1-nano,17,RAW,arrowhead,1,no,no,1,1,103,523,
gpt-4.1-nano,17,PROSE,arrowhead,1,no,yes,0,1,143,635,
gpt-4.1-nano,17,ORACLE,arrowhead,1,no,no,1,1,158,534,
gpt-4.1-nano,17,DR_k1,arrowhead,1,no,yes,0,1,159,623,
gpt-4.1-nano,21,PROSE,arrowhead,2,yes,yes,1,1,140,72,
gpt-4.1-nano,19,RAW,arrowhead,1,no,no,1,1,101,519,
gpt-4.1-nano,18,ORACLE,arrowhead,1,no,yes,0,1,157,612,
gpt-4.1-nano,20,RAW,arrowhead,2,yes,yes,1,1,99,237,
gpt-4.1-nano,20,PROSE,arrowhead,2,yes,yes,1,1,140,284,
gpt-4.1-nano,21,RAW,arrowhead,2,yes,no,0,1,99,146,
gpt-4.1-nano,19,DR_k1,arrowhead,1,no,yes,0,1,157,514,
gpt-4.1-nano,21,ORACLE,arrowhead,2,yes,yes,1,1,155,207,
gpt-4.1-nano,18,DR_k1,arrowhead,1,no,no,1,1,157,663,
gpt-4.1-nano,22,PROSE,arrowhead,2,no,yes,0,1,140,209,
gpt-4.1-nano,22,RAW,arrowhead,2,no,yes,0,1,99,266,
gpt-4.1-nano,23,PROSE,arrowhead,2,no,no,1,1,149,220,
gpt-4.1-nano,23,RAW,arrowhead,2,no,no,1,1,108,135,
gpt-4.1-nano,22,ORACLE,arrowhead,2,no,yes,0,1,155,436,
gpt-4.1-nano,24,RAW,arrowhead,2,no,no,1,1,105,180,
gpt-4.1-nano,19,PROSE,arrowhead,1,no,,0,0,142,700,
gpt-4.1-nano,19,ORACLE,arrowhead,1,no,yes,0,1,157,700,
gpt-4.1-nano,20,DR_k1,arrowhead,2,yes,yes,1,1,154,643,
gpt-4.1-nano,24,DR_k1,arrowhead,2,no,no,1,1,156,264,
gpt-4.1-nano,24,ORACLE,arrowhead,2,no,no,1,1,156,297,
gpt-4.1-nano,21,DR_k1,arrowhead,2,yes,no,0,1,155,670,
gpt-4.1-nano,23,DR_k1,arrowhead,2,no,no,1,1,163,437,
gpt-4.1-nano,23,ORACLE,arrowhead,2,no,no,1,1,164,628,
gpt-4.1-nano,20,ORACLE,arrowhead,2,yes,yes,1,1,155,518,
gpt-4.1-nano,24,PROSE,arrowhead,2,no,no,1,1,141,358,
gpt-4.1-nano,22,DR_k1,arrowhead,2,no,no,1,1,154,700,
gpt-4.1-nano,25,RAW,arrowhead,3,no,,0,0,253,700,
gpt-4.1-nano,25,PROSE,arrowhead,3,no,,0,0,293,700,
gpt-4.1-nano,25,ORACLE,arrowhead,3,no,yes,0,1,308,700,
gpt-4.1-nano,25,DR_k1,arrowhead,3,no,,0,0,309,700,
gpt-4.1-nano,27,PROSE,arrowhead,3,yes,,0,0,279,700,
gpt-4.1-nano,28,PROSE,arrowhead,3,yes,no,0,1,290,700,
gpt-4.1-nano,27,ORACLE,arrowhead,3,yes,,0,0,294,700,
gpt-4.1-nano,27,DR_k1,arrowhead,3,yes,,0,0,294,700,
gpt-4.1-nano,27,RAW,arrowhead,3,yes,,0,0,242,700,
gpt-4.1-nano,26,ORACLE,arrowhead,3,yes,no,0,1,292,700,
gpt-4.1-nano,26,PROSE,arrowhead,3,yes,,0,0,277,700,
gpt-4.1-nano,30,PROSE,chain,1,yes,no,0,1,123,310,
gpt-4.1-nano,28,DR_k1,arrowhead,3,yes,,0,0,304,700,
gpt-4.1-nano,26,RAW,arrowhead,3,yes,,0,0,241,700,
gpt-4.1-nano,26,DR_k1,arrowhead,3,yes,,0,0,292,700,
gpt-4.1-nano,28,RAW,arrowhead,3,yes,,0,0,250,700,
gpt-4.1-nano,28,ORACLE,arrowhead,3,yes,yes,1,1,305,590,
gpt-4.1-nano,31,DR_k1,chain,1,no,yes,0,1,137,196,
gpt-4.1-nano,29,PROSE,arrowhead,3,yes,no,0,1,284,700,
gpt-4.1-nano,32,PROSE,chain,1,no,yes,0,1,123,184,
gpt-4.1-nano,31,RAW,chain,1,no,yes,0,1,101,323,
gpt-4.1-nano,29,ORACLE,arrowhead,3,yes,yes,1,1,299,700,
gpt-4.1-nano,31,ORACLE,chain,1,no,no,1,1,138,432,
gpt-4.1-nano,31,PROSE,chain,1,no,no,1,1,123,455,
gpt-4.1-nano,32,RAW,chain,1,no,no,1,1,102,252,
gpt-4.1-nano,30,DR_k1,chain,1,yes,no,0,1,130,395,
gpt-4.1-nano,33,PROSE,chain,1,yes,yes,1,1,123,170,
gpt-4.1-nano,30,ORACLE,chain,1,yes,no,0,1,138,477,
gpt-4.1-nano,29,RAW,arrowhead,3,yes,,0,0,247,700,
gpt-4.1-nano,29,DR_k1,arrowhead,3,yes,no,0,1,300,655,
gpt-4.1-nano,32,DR_k1,chain,1,no,no,1,1,139,281,
gpt-4.1-nano,35,PROSE,chain,2,no,,0,0,109,14,
gpt-4.1-nano,33,ORACLE,chain,1,yes,no,0,1,138,319,
gpt-4.1-nano,33,DR_k1,chain,1,yes,yes,1,1,139,221,
gpt-4.1-nano,36,PROSE,chain,2,no,yes,0,1,112,118,
gpt-4.1-nano,36,RAW,chain,2,no,,0,0,91,14,
gpt-4.1-nano,35,RAW,chain,2,no,,0,0,89,16,
gpt-4.1-nano,30,RAW,chain,1,yes,yes,1,1,101,270,
gpt-4.1-nano,36,DR_k1,chain,2,no,,0,0,128,20,
gpt-4.1-nano,33,RAW,chain,1,yes,no,0,1,102,305,
gpt-4.1-nano,35,ORACLE,chain,2,no,,0,0,125,20,
gpt-4.1-nano,34,RAW,chain,1,yes,yes,1,1,91,379,
gpt-4.1-nano,34,ORACLE,chain,1,yes,no,0,1,126,351,
gpt-4.1-nano,37,RAW,chain,2,no,yes,0,1,100,182,
gpt-4.1-nano,37,PROSE,chain,2,no,yes,0,1,122,199,
gpt-4.1-nano,36,ORACLE,chain,2,no,yes,0,1,127,174,
gpt-4.1-nano,32,ORACLE,chain,1,no,no,1,1,138,349,
gpt-4.1-nano,37,DR_k1,chain,2,no,no,1,1,129,194,
gpt-4.1-nano,38,PROSE,chain,2,no,yes,0,1,121,224,
gpt-4.1-nano,38,ORACLE,chain,2,no,yes,0,1,136,181,
gpt-4.1-nano,37,ORACLE,chain,2,no,yes,0,1,137,225,
gpt-4.1-nano,34,PROSE,chain,1,yes,yes,1,1,111,659,
gpt-4.1-nano,39,RAW,chain,2,no,yes,0,1,102,125,
gpt-4.1-nano,38,RAW,chain,2,no,yes,0,1,99,177,
gpt-4.1-nano,35,DR_k1,chain,2,no,yes,0,1,118,185,
gpt-4.1-nano,34,DR_k1,chain,1,yes,yes,1,1,127,503,
gpt-4.1-nano,40,RAW,chain,3,yes,no,0,1,77,124,
gpt-4.1-nano,41,ORACLE,chain,3,yes,,0,0,124,20,
gpt-4.1-nano,40,PROSE,chain,3,yes,no,0,1,99,183,
gpt-4.1-nano,41,RAW,chain,3,yes,,0,0,89,14,
gpt-4.1-nano,42,RAW,chain,3,no,yes,0,1,89,55,
gpt-4.1-nano,39,PROSE,chain,2,no,yes,0,1,124,421,
gpt-4.1-nano,38,DR_k1,chain,2,no,no,1,1,137,215,
gpt-4.1-nano,41,PROSE,chain,3,yes,yes,1,1,109,134,
gpt-4.1-nano,43,RAW,chain,3,yes,,0,0,93,15,
gpt-4.1-nano,42,DR_k1,chain,3,no,no,1,1,118,124,
gpt-4.1-nano,40,DR_k1,chain,3,yes,yes,1,1,106,179,
gpt-4.1-nano,42,ORACLE,chain,3,no,no,1,1,126,104,
gpt-4.1-nano,43,PROSE,chain,3,yes,yes,1,1,115,133,
gpt-4.1-nano,43,ORACLE,chain,3,yes,yes,1,1,130,140,
gpt-4.1-nano,41,DR_k1,chain,3,yes,yes,1,1,117,356,
gpt-4.1-nano,39,ORACLE,chain,2,no,yes,0,1,139,420,
gpt-4.1-nano,40,ORACLE,chain,3,yes,no,0,1,114,345,
gpt-4.1-nano,44,PROSE,chain,3,yes,yes,1,1,113,162,
gpt-4.1-nano,46,PROSE,collision,1,no,yes,0,1,119,241,
gpt-4.1-nano,46,ORACLE,collision,1,no,yes,0,1,134,253,
gpt-4.1-nano,44,DR_k1,chain,3,yes,no,0,1,121,331,
gpt-4.1-nano,46,RAW,collision,1,no,yes,0,1,99,293,
gpt-4.1-nano,44,ORACLE,chain,3,yes,yes,1,1,128,408,
gpt-4.1-nano,43,DR_k1,chain,3,yes,yes,1,1,123,385,
gpt-4.1-nano,39,DR_k1,chain,2,no,yes,0,1,139,244,
