model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error,provider,finish,reason_tok,usd,answer_from,temperature,max_tokens
meta-llama/llama-3.3-70b-instruct,110,3206,ORACLE,arrowhead,3,ett,obesity_mortality,easy,PSEUDO,no,no,1,1,182,677,,Novita,stop,0,0.00029537,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,112,4093,RAW,arrowhead,3,nde,smoke_birthWeight,easy,PSEUDO,no,no,1,1,259,630,,Novita,stop,0,0.000286965,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,112,4093,ORACLE,arrowhead,3,nde,smoke_birthWeight,easy,PSEUDO,no,no,1,1,313,545,,Novita,stop,0,0.000260255,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,152,14393,ORACLE,confounding,3,ett,simpson_vaccine,anticommonsense,PSEUDO,yes,yes,1,1,216,548,,Novita,stop,0,0.00024836,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,152,14393,DR_k1,confounding,3,ett,simpson_vaccine,anticommonsense,PSEUDO,yes,no,0,1,216,825,,Novita,stop,0,0.00035916,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,155,19014,RAW,confounding,3,ett,simpson_kidneystone,anticommonsense,PSEUDO,yes,yes,1,1,177,461,,Novita,stop,0,0.000208295,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,162,3766,ORACLE,confounding,3,ett,simpson_kidneystone,easy,PSEUDO,no,no,1,1,238,846,,Novita,stop,0,0.00037053,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,162,3766,DR_k1,confounding,3,ett,simpson_kidneystone,easy,PSEUDO,no,no,1,1,238,513,,Novita,stop,0,0.00023733,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,163,8688,PROSE,confounding,3,ett,simpson_vaccine,hard,PSEUDO,no,yes,0,1,208,863,,Novita,stop,0,0.00037328,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,163,8688,RAW,confounding,3,ett,simpson_vaccine,hard,PSEUDO,no,yes,0,1,181,575,,Novita,stop,0,0.000254435,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,163,8688,ORACLE,confounding,3,ett,simpson_vaccine,hard,PSEUDO,no,yes,0,1,223,780,,Novita,stop,0,0.000342105,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,163,8688,DR_k1,confounding,3,ett,simpson_vaccine,hard,PSEUDO,no,yes,0,1,224,990,,Novita,stop,0,0.00042624,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,170,19117,PROSE,confounding,3,ett,simpson_vaccine,anticommonsense,PSEUDO,yes,yes,1,1,212,444,,Novita,stop,0,0.00020622,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,266,5173,RAW,diamondcut,3,ett,firing_employee,hard,PSEUDO,yes,no,0,1,248,625,,Novita,stop,0,0.00028348,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,266,5173,ORACLE,diamondcut,3,ett,firing_employee,hard,PSEUDO,yes,no,0,1,303,608,,Novita,stop,0,0.000284105,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,270,19969,PROSE,diamondcut,3,det-counterfactual,firing_employee,anticommonsense,PSEUDO,no,no,1,1,158,398,,Novita,stop,0,0.00018053,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,270,19969,DR_k1,diamondcut,3,det-counterfactual,firing_employee,anticommonsense,PSEUDO,no,no,1,1,173,480,,Novita,stop,0,0.000215355,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,271,9579,ORACLE,diamondcut,3,det-counterfactual,firing_employee,commonsense,PSEUDO,yes,yes,1,1,173,739,,Novita,stop,0,0.000318955,content,0.0,1500
