model,item,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,RAW_CLEAN,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,113,380,
gpt-4.1-nano,1,RAW_CLEAN,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,105,282,
gpt-4.1-nano,2,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,119,343,
gpt-4.1-nano,3,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,116,266,
gpt-4.1-nano,4,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,116,235,
gpt-4.1-nano,5,RAW_CLEAN,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,116,281,
gpt-4.1-nano,6,RAW_CLEAN,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,112,325,
gpt-4.1-nano,7,RAW_CLEAN,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,110,390,
gpt-4.1-nano,8,RAW_CLEAN,IV,1,correlation,price,anticommonsense,KEEP,yes,yes,1,1,102,176,
gpt-4.1-nano,9,RAW_CLEAN,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,113,224,
gpt-4.1-nano,10,RAW_CLEAN,IV,1,marginal,cholesterol,hard,KEEP,no,no,1,1,115,389,
gpt-4.1-nano,11,RAW_CLEAN,IV,1,correlation,water_cholera,hard,KEEP,yes,yes,1,1,105,395,
gpt-4.1-nano,12,RAW_CLEAN,IV,1,correlation,cholesterol,hard,KEEP,yes,yes,1,1,115,315,
gpt-4.1-nano,13,RAW_CLEAN,IV,1,marginal,price,anticommonsense,KEEP,yes,yes,1,1,112,238,
gpt-4.1-nano,14,RAW_CLEAN,IV,1,marginal,price,anticommonsense,KEEP,no,no,1,1,112,298,
gpt-4.1-nano,15,RAW_CLEAN,IV,1,correlation,cholesterol,anticommonsense,KEEP,no,,0,0,112,700,
gpt-4.1-nano,16,RAW_CLEAN,IV,1,correlation,price,easy,KEEP,yes,yes,1,1,102,344,
gpt-4.1-nano,17,RAW_CLEAN,IV,1,correlation,cholesterol,hard,KEEP,yes,yes,1,1,115,324,
gpt-4.1-nano,18,RAW_CLEAN,IV,1,marginal,water_cholera,anticommonsense,KEEP,no,no,1,1,106,291,
gpt-4.1-nano,19,RAW_CLEAN,IV,2,backadj,price,easy,KEEP,no,no,1,1,111,3,
gpt-4.1-nano,20,RAW_CLEAN,IV,2,ate,price,hard,KEEP,yes,no,0,1,138,356,
gpt-4.1-nano,21,RAW_CLEAN,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,139,175,
gpt-4.1-nano,22,RAW_CLEAN,IV,2,backadj,cholesterol,anticommonsense,KEEP,no,no,1,1,118,3,
gpt-4.1-nano,23,RAW_CLEAN,IV,2,ate,cholesterol,anticommonsense,KEEP,no,yes,0,1,135,115,
gpt-4.1-nano,24,RAW_CLEAN,IV,2,ate,tax_smoke_birthWeight,anticommonsense,KEEP,yes,no,0,1,139,164,
gpt-4.1-nano,25,RAW_CLEAN,IV,2,backadj,college_wage,anticommonsense,KEEP,yes,no,0,1,126,3,
gpt-4.1-nano,26,RAW_CLEAN,IV,2,ate,college_wage,hard,KEEP,yes,no,0,1,140,472,
gpt-4.1-nano,27,RAW_CLEAN,IV,2,backadj,college_wage,anticommonsense,KEEP,no,no,1,1,118,3,
gpt-4.1-nano,28,RAW_CLEAN,IV,2,backadj,price,hard,KEEP,yes,no,0,1,115,3,
gpt-4.1-nano,29,RAW_CLEAN,IV,2,ate,cholesterol,easy,KEEP,no,no,1,1,141,434,
gpt-4.1-nano,30,RAW_CLEAN,IV,2,backadj,tax_smoke_birthWeight,easy,KEEP,yes,no,0,1,135,3,
gpt-4.1-nano,31,RAW_CLEAN,IV,2,backadj,cholesterol,anticommonsense,KEEP,no,no,1,1,122,3,
gpt-4.1-nano,32,RAW_CLEAN,IV,2,ate,water_cholera,anticommonsense,KEEP,no,no,1,1,144,700,
gpt-4.1-nano,33,RAW_CLEAN,IV,2,ate,price,anticommonsense,KEEP,yes,yes,1,1,138,409,
gpt-4.1-nano,34,RAW_CLEAN,IV,2,ate,college_wage,anticommonsense,KEEP,yes,no,0,1,140,238,
gpt-4.1-nano,35,RAW_CLEAN,IV,2,ate,water_cholera,anticommonsense,KEEP,yes,yes,1,1,144,302,
gpt-4.1-nano,36,RAW_CLEAN,IV,2,backadj,cholesterol,easy,KEEP,yes,no,0,1,126,3,
gpt-4.1-nano,37,RAW_CLEAN,IV,2,ate,price,easy,KEEP,no,no,1,1,138,314,
