model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,36,13899,RAW,IV,2,ate,price,anticommonsense,IRRELEVANT,no,no,1,1,130,138,
gpt-4.1-nano,37,9467,RAW,IV,2,ate,water_cholera,hard,IRRELEVANT,no,no,1,1,132,700,
gpt-4.1-nano,38,8277,RAW,IV,2,ate,price,hard,IRRELEVANT,no,no,1,1,130,191,
gpt-4.1-nano,42,16786,RAW,IV,2,ate,cholesterol,anticommonsense,IRRELEVANT,no,yes,0,1,132,200,
gpt-4.1-nano,44,18686,RAW,IV,2,ate,price,anticommonsense,IRRELEVANT,yes,yes,1,1,130,187,
gpt-4.1-nano,50,6665,RAW,IV,2,ate,college_wage,hard,IRRELEVANT,yes,yes,1,1,124,508,
gpt-4.1-nano,51,11998,RAW,IV,2,ate,cholesterol,anticommonsense,IRRELEVANT,no,no,1,1,132,242,
gpt-4.1-nano,53,6642,RAW,IV,2,ate,college_wage,hard,IRRELEVANT,no,no,1,1,124,333,
gpt-4.1-nano,62,13847,RAW,IV,2,ate,price,anticommonsense,IRRELEVANT,yes,yes,1,1,130,231,
gpt-4.1-nano,66,13836,RAW,IV,2,ate,price,anticommonsense,IRRELEVANT,yes,yes,1,1,131,151,
gpt-4.1-nano,68,9755,RAW,IV,3,det-counterfactual,cholesterol,commonsense,IRRELEVANT,no,no,1,1,101,298,
gpt-4.1-nano,69,20698,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,yes,yes,1,1,98,339,
gpt-4.1-nano,70,20743,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,IRRELEVANT,yes,yes,1,1,105,341,
gpt-4.1-nano,71,20700,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,yes,yes,1,1,98,363,
gpt-4.1-nano,72,10039,RAW,IV,3,det-counterfactual,price,commonsense,IRRELEVANT,no,no,1,1,103,468,
gpt-4.1-nano,73,20728,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,no,no,1,1,99,422,
gpt-4.1-nano,74,10332,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,IRRELEVANT,yes,no,0,1,102,602,
gpt-4.1-nano,75,9782,RAW,IV,3,det-counterfactual,college_wage,commonsense,IRRELEVANT,no,no,1,1,100,386,
gpt-4.1-nano,76,20757,RAW,IV,3,det-counterfactual,water_cholera,anticommonsense,IRRELEVANT,no,no,1,1,105,519,
gpt-4.1-nano,77,20169,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,IRRELEVANT,yes,yes,1,1,101,428,
gpt-4.1-nano,78,20125,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,IRRELEVANT,yes,no,0,1,101,371,
gpt-4.1-nano,79,10360,RAW,IV,3,det-counterfactual,water_cholera,commonsense,IRRELEVANT,yes,yes,1,1,106,555,
gpt-4.1-nano,80,20408,RAW,IV,3,det-counterfactual,price,anticommonsense,IRRELEVANT,yes,no,0,1,105,499,
gpt-4.1-nano,81,20114,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,IRRELEVANT,no,no,1,1,101,354,
gpt-4.1-nano,82,20451,RAW,IV,3,det-counterfactual,price,anticommonsense,IRRELEVANT,no,no,1,1,102,375,
gpt-4.1-nano,83,9819,RAW,IV,3,det-counterfactual,college_wage,commonsense,IRRELEVANT,no,no,1,1,100,372,
gpt-4.1-nano,84,20116,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,IRRELEVANT,no,no,1,1,103,293,
gpt-4.1-nano,85,9818,RAW,IV,3,det-counterfactual,college_wage,commonsense,IRRELEVANT,yes,yes,1,1,103,480,
gpt-4.1-nano,86,20719,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,yes,yes,1,1,98,507,
gpt-4.1-nano,87,10364,RAW,IV,3,det-counterfactual,water_cholera,commonsense,IRRELEVANT,yes,yes,1,1,105,452,
gpt-4.1-nano,88,20420,RAW,IV,3,det-counterfactual,price,anticommonsense,IRRELEVANT,yes,no,0,1,103,626,
gpt-4.1-nano,89,10376,RAW,IV,3,det-counterfactual,water_cholera,commonsense,IRRELEVANT,no,no,1,1,105,481,
gpt-4.1-nano,90,10033,RAW,IV,3,det-counterfactual,price,commonsense,IRRELEVANT,no,yes,0,1,102,361,
gpt-4.1-nano,91,20412,RAW,IV,3,det-counterfactual,price,anticommonsense,IRRELEVANT,no,no,1,1,103,505,
gpt-4.1-nano,92,20131,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,IRRELEVANT,yes,no,0,1,104,591,
gpt-4.1-nano,93,20198,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,IRRELEVANT,no,no,1,1,100,443,
gpt-4.1-nano,94,10381,RAW,IV,3,det-counterfactual,water_cholera,commonsense,IRRELEVANT,no,yes,0,1,106,378,
gpt-4.1-nano,95,10348,RAW,IV,3,det-counterfactual,water_cholera,commonsense,IRRELEVANT,no,yes,0,1,108,569,
gpt-4.1-nano,96,20150,RAW,IV,3,det-counterfactual,cholesterol,anticommonsense,IRRELEVANT,no,yes,0,1,102,511,
gpt-4.1-nano,97,10327,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,IRRELEVANT,yes,yes,1,1,102,608,
