model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error,provider,finish,reason_tok,usd,answer_from,temperature,max_tokens
meta-llama/llama-3.3-70b-instruct,20,8239,RAW,IV,2,ate,price,hard,PERMUTE,yes,no,0,1,148,306,,Novita,stop,0,0.00014238,content,0.0,700
meta-llama/llama-3.3-70b-instruct,21,19806,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PERMUTE,no,no,1,1,153,525,,Novita,stop,0,0.000230655,content,0.0,700
meta-llama/llama-3.3-70b-instruct,23,16818,RAW,IV,2,ate,cholesterol,anticommonsense,PERMUTE,no,yes,0,1,155,146,,Novita,stop,0,7.9325e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,24,19796,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PERMUTE,yes,no,0,1,151,388,,Novita,stop,0,0.000175585,content,0.0,700
meta-llama/llama-3.3-70b-instruct,26,6588,RAW,IV,2,ate,college_wage,hard,PERMUTE,yes,yes,1,1,157,295,,Novita,stop,0,0.000139195,content,0.0,700
meta-llama/llama-3.3-70b-instruct,29,1591,RAW,IV,2,ate,cholesterol,easy,PERMUTE,no,no,1,1,161,134,,Novita,stop,0,7.5335e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,32,15108,RAW,IV,2,ate,water_cholera,anticommonsense,PERMUTE,no,no,1,1,155,254,,Novita,stop,0,0.000122525,content,0.0,700
meta-llama/llama-3.3-70b-instruct,33,18628,RAW,IV,2,ate,price,anticommonsense,PERMUTE,yes,no,0,1,148,343,,Novita,stop,0,0.00015718,content,0.0,700
meta-llama/llama-3.3-70b-instruct,34,17061,RAW,IV,2,ate,college_wage,anticommonsense,PERMUTE,yes,yes,1,1,148,224,,Novita,stop,0,0.00010958,content,0.0,700
meta-llama/llama-3.3-70b-instruct,35,15152,RAW,IV,2,ate,water_cholera,anticommonsense,PERMUTE,yes,no,0,1,153,232,,Novita,stop,0,0.000113455,content,0.0,700
meta-llama/llama-3.3-70b-instruct,37,3443,RAW,IV,2,ate,price,easy,PERMUTE,no,no,1,1,148,234,,Novita,stop,0,0.00011358,content,0.0,700
meta-llama/llama-3.3-70b-instruct,39,1668,RAW,IV,2,ate,cholesterol,easy,PERMUTE,no,no,1,1,154,261,,Novita,stop,0,0.00012519,content,0.0,700
meta-llama/llama-3.3-70b-instruct,40,20200,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,PERMUTE,yes,yes,1,1,125,227,,Novita,stop,0,0.000107675,content,0.0,700
meta-llama/llama-3.3-70b-instruct,41,9719,RAW,IV,3,det-counterfactual,cholesterol,commonsense,PERMUTE,yes,yes,1,1,131,200,,Novita,stop,0,9.7685e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,42,10021,RAW,IV,3,det-counterfactual,price,commonsense,PERMUTE,no,no,1,1,125,118,,Novita,stop,0,6.4075e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,43,9798,RAW,IV,3,det-counterfactual,college_wage,commonsense,PERMUTE,yes,yes,1,1,132,128,,Novita,stop,0,6.902e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,44,10379,RAW,IV,3,det-counterfactual,water_cholera,commonsense,PERMUTE,no,no,1,1,130,292,,Novita,stop,0,0.00013435,content,0.0,700
meta-llama/llama-3.3-70b-instruct,45,10366,RAW,IV,3,det-counterfactual,water_cholera,commonsense,PERMUTE,no,no,1,1,127,295,,Novita,stop,0,0.000135145,content,0.0,700
meta-llama/llama-3.3-70b-instruct,46,9799,RAW,IV,3,det-counterfactual,college_wage,commonsense,PERMUTE,no,no,1,1,134,182,,Novita,stop,0,9.089e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,47,9728,RAW,IV,3,det-counterfactual,cholesterol,commonsense,PERMUTE,yes,yes,1,1,135,186,,Novita,stop,0,9.2625e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,48,20193,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,PERMUTE,yes,yes,1,1,127,269,,Novita,stop,0,0.000124745,content,0.0,700
meta-llama/llama-3.3-70b-instruct,49,10313,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,PERMUTE,no,no,1,1,136,330,,Novita,stop,0,0.00015036,content,0.0,700
meta-llama/llama-3.3-70b-instruct,50,20727,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PERMUTE,yes,yes,1,1,124,203,,Novita,stop,0,9.794e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,51,20195,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,PERMUTE,yes,yes,1,1,129,150,,Novita,stop,0,7.7415e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,52,9789,RAW,IV,3,det-counterfactual,college_wage,commonsense,PERMUTE,no,no,1,1,133,175,,Novita,stop,0,8.7955e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,53,20175,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,PERMUTE,yes,yes,1,1,123,177,,Novita,stop,0,8.7405e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,54,9795,RAW,IV,3,det-counterfactual,college_wage,commonsense,PERMUTE,no,no,1,1,131,169,,Novita,stop,0,8.5285e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,55,10041,RAW,IV,3,det-counterfactual,price,commonsense,PERMUTE,no,yes,0,1,125,336,,Novita,stop,0,0.000151275,content,0.0,700
meta-llama/llama-3.3-70b-instruct,56,10355,RAW,IV,3,det-counterfactual,water_cholera,commonsense,PERMUTE,no,no,1,1,126,185,,Novita,stop,0,9.101e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,57,20702,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,anticommonsense,PERMUTE,no,no,1,1,125,194,,Novita,stop,0,9.4475e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,58,9821,RAW,IV,3,det-counterfactual,college_wage,commonsense,PERMUTE,yes,yes,1,1,131,136,,Novita,stop,0,7.2085e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,59,10044,RAW,IV,3,det-counterfactual,price,commonsense,PERMUTE,no,no,1,1,125,110,,Novita,stop,0,6.0875e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,81,13538,RAW,arrowhead,2,ate,obesity_mortality,anticommonsense,PERMUTE,no,no,1,1,110,108,,Novita,stop,0,5.805e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,82,9160,RAW,arrowhead,2,ate,smoking_gene_cancer,hard,PERMUTE,no,no,1,1,111,146,,Novita,stop,0,7.3385e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,83,2848,RAW,arrowhead,2,ate,nature_vs_nurture,easy,PERMUTE,no,no,1,1,117,114,,Novita,stop,0,6.1395e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,84,7592,RAW,arrowhead,2,ate,nature_vs_nurture,hard,PERMUTE,yes,yes,1,1,117,117,,Novita,stop,0,6.2595e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,87,13650,RAW,arrowhead,2,ate,obesity_mortality,anticommonsense,PERMUTE,no,no,1,1,110,252,,Novita,stop,0,0.00011565,content,0.0,700
meta-llama/llama-3.3-70b-instruct,88,2574,RAW,arrowhead,2,ate,gender_pay,easy,PERMUTE,yes,no,0,1,109,163,,Novita,stop,0,7.9915e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,89,2323,RAW,arrowhead,2,ate,gender_admission_state,easy,PERMUTE,yes,no,0,1,111,194,,Novita,stop,0,9.2585e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,90,8091,RAW,arrowhead,2,ate,obesity_mortality,hard,PERMUTE,no,no,1,1,105,205,,Novita,stop,0,9.6175e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,92,19581,RAW,arrowhead,2,ate,smoking_gene_cancer,anticommonsense,PERMUTE,no,no,1,1,110,213,,Novita,stop,0,0.00010005,content,0.0,700
meta-llama/llama-3.3-70b-instruct,95,7208,RAW,arrowhead,2,ate,gender_admission_state,hard,PERMUTE,yes,no,0,1,113,209,,Novita,stop,0,9.8855e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,96,13558,RAW,arrowhead,2,ate,obesity_mortality,anticommonsense,PERMUTE,yes,no,0,1,109,107,,Novita,stop,0,5.7515e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,100,4365,RAW,arrowhead,3,ett,smoking_gene_cancer,easy,PERMUTE,yes,yes,1,1,122,205,,Novita,stop,0,9.847e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,101,3245,RAW,arrowhead,3,nie,obesity_mortality,easy,PERMUTE,no,no,1,1,225,169,,Novita,stop,0,9.7975e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,102,20288,RAW,arrowhead,3,det-counterfactual,gender_pay,anticommonsense,PERMUTE,yes,yes,1,1,128,218,,Novita,stop,0,0.00010448,content,0.0,700
meta-llama/llama-3.3-70b-instruct,103,20269,RAW,arrowhead,3,det-counterfactual,gender_admission_state,anticommonsense,PERMUTE,no,no,1,1,121,415,,Novita,stop,0,0.000182335,content,0.0,700
meta-llama/llama-3.3-70b-instruct,104,13224,RAW,arrowhead,3,nie,nature_vs_nurture,anticommonsense,PERMUTE,yes,no,0,1,275,441,,Novita,stop,0,0.000213525,content,0.0,700
meta-llama/llama-3.3-70b-instruct,105,9178,RAW,arrowhead,3,ett,smoking_gene_cancer,hard,PERMUTE,yes,no,0,1,127,700,,Novita,length,0,0.000297145,content,0.0,700
meta-llama/llama-3.3-70b-instruct,106,13526,RAW,arrowhead,3,nde,obesity_mortality,anticommonsense,PERMUTE,yes,no,0,1,250,119,,Novita,stop,0,8.135e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,107,2480,RAW,arrowhead,3,ett,gender_pay,easy,PERMUTE,yes,yes,1,1,125,128,,Novita,stop,0,6.8075e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,108,17732,RAW,arrowhead,3,nie,gender_pay,anticommonsense,PERMUTE,no,no,1,1,267,582,,Novita,stop,0,0.000268845,content,0.0,700
meta-llama/llama-3.3-70b-instruct,109,2437,RAW,arrowhead,3,nde,gender_admission_state,easy,PERMUTE,no,no,1,1,272,256,,Novita,stop,0,0.00013912,content,0.0,700
meta-llama/llama-3.3-70b-instruct,110,14506,RAW,arrowhead,3,ett,smoke_birthWeight,anticommonsense,PERMUTE,yes,yes,1,1,130,234,,Novita,stop,0,0.00011115,content,0.0,700
meta-llama/llama-3.3-70b-instruct,111,3206,RAW,arrowhead,3,ett,obesity_mortality,easy,PERMUTE,no,yes,0,1,120,147,,Novita,stop,0,7.5e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,112,12722,RAW,arrowhead,3,nde,gender_admission_state,anticommonsense,PERMUTE,yes,no,0,1,266,635,,Novita,stop,0,0.00028991,content,0.0,700
meta-llama/llama-3.3-70b-instruct,113,4093,RAW,arrowhead,3,nde,smoke_birthWeight,easy,PERMUTE,no,,0,0,269,700,,Novita,length,0,0.000316315,content,0.0,700
meta-llama/llama-3.3-70b-instruct,114,14729,RAW,arrowhead,3,nde,smoking_gene_cancer,anticommonsense,PERMUTE,no,no,1,1,264,419,,Novita,stop,0,0.00020324,content,0.0,700
meta-llama/llama-3.3-70b-instruct,115,20273,RAW,arrowhead,3,det-counterfactual,gender_admission_state,anticommonsense,PERMUTE,no,no,1,1,119,315,,Novita,stop,0,0.000142065,content,0.0,700
meta-llama/llama-3.3-70b-instruct,116,7216,RAW,arrowhead,3,nie,gender_admission_state,hard,PERMUTE,yes,yes,1,1,259,474,,Novita,stop,0,0.000224565,content,0.0,700
meta-llama/llama-3.3-70b-instruct,117,19297,RAW,arrowhead,3,nde,smoke_birthWeight,anticommonsense,PERMUTE,yes,no,0,1,280,580,,Novita,stop,0,0.0002698,content,0.0,700
meta-llama/llama-3.3-70b-instruct,118,17697,RAW,arrowhead,3,nde,gender_pay,anticommonsense,PERMUTE,no,yes,0,1,277,278,,Novita,stop,0,0.000148595,content,0.0,700
meta-llama/llama-3.3-70b-instruct,119,9075,RAW,arrowhead,3,ett,smoking_gene_cancer,hard,PERMUTE,yes,yes,1,1,127,449,,Novita,stop,0,0.000196745,content,0.0,700
meta-llama/llama-3.3-70b-instruct,140,3299,RAW,chain,2,ate,orange_scurvy,easy,PERMUTE,no,no,1,1,105,191,,Novita,stop,0,9.0575e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,143,9264,RAW,chain,2,ate,smoking_tar_cancer,hard,PERMUTE,yes,no,0,1,101,78,,Novita,stop,0,4.4835e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,145,16941,RAW,chain,2,ate,college_salary,anticommonsense,PERMUTE,yes,no,0,1,110,61,,Novita,stop,0,3.925e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,149,12149,RAW,chain,2,ate,college_salary,anticommonsense,PERMUTE,no,no,1,1,112,117,,Novita,stop,0,6.192e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,155,4535,RAW,chain,2,ate,smoking_tar_cancer,easy,PERMUTE,yes,no,0,1,96,158,,Novita,stop,0,7.616e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,158,1676,RAW,chain,2,ate,college_salary,easy,PERMUTE,no,no,1,1,112,141,,Novita,stop,0,7.152e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,159,12078,RAW,chain,2,ate,college_salary,anticommonsense,PERMUTE,yes,yes,1,1,107,129,,Novita,stop,0,6.6045e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,160,1716,RAW,chain,3,ett,college_salary,easy,PERMUTE,yes,yes,1,1,128,311,,Novita,stop,0,0.00014168,content,0.0,700
meta-llama/llama-3.3-70b-instruct,161,4583,RAW,chain,3,nie,smoking_tar_cancer,easy,PERMUTE,yes,no,0,1,97,259,,Novita,stop,0,0.000116695,content,0.0,700
meta-llama/llama-3.3-70b-instruct,162,9245,RAW,chain,3,nie,smoking_tar_cancer,hard,PERMUTE,no,no,1,1,101,46,,Novita,stop,0,3.2035e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,163,3350,RAW,chain,3,nie,orange_scurvy,easy,PERMUTE,yes,no,0,1,104,331,,Novita,stop,0,0.00014644,content,0.0,700
meta-llama/llama-3.3-70b-instruct,164,14940,RAW,chain,3,nie,smoking_tar_cancer,anticommonsense,PERMUTE,yes,no,0,1,111,227,,Novita,stop,0,0.000105785,content,0.0,700
meta-llama/llama-3.3-70b-instruct,165,19671,RAW,chain,3,ett,smoking_tar_cancer,anticommonsense,PERMUTE,no,no,1,1,124,261,,Novita,stop,0,0.00012114,content,0.0,700
meta-llama/llama-3.3-70b-instruct,166,20403,RAW,chain,3,det-counterfactual,orange_scurvy,anticommonsense,PERMUTE,no,no,1,1,97,100,,Novita,stop,0,5.3095e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,167,20690,RAW,chain,3,det-counterfactual,smoking_tar_cancer,anticommonsense,PERMUTE,no,no,1,1,102,75,,Novita,stop,0,4.377e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,168,19659,RAW,chain,3,nie,smoking_tar_cancer,anticommonsense,PERMUTE,no,no,1,1,111,206,,Novita,stop,0,9.7385e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,169,8162,RAW,chain,3,ett,orange_scurvy,hard,PERMUTE,no,no,1,1,116,151,,Novita,stop,0,7.606e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,170,16869,RAW,chain,3,nie,college_salary,anticommonsense,PERMUTE,no,no,1,1,110,62,,Novita,stop,0,3.965e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,171,12121,RAW,chain,3,nie,college_salary,anticommonsense,PERMUTE,yes,no,0,1,111,152,,Novita,stop,0,7.5785e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,172,14908,RAW,chain,3,ett,smoking_tar_cancer,anticommonsense,PERMUTE,no,no,1,1,124,268,,Novita,stop,0,0.00012394,content,0.0,700
meta-llama/llama-3.3-70b-instruct,173,19660,RAW,chain,3,nie,smoking_tar_cancer,anticommonsense,PERMUTE,yes,no,0,1,111,76,,Novita,stop,0,4.5385e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,174,19664,RAW,chain,3,ett,smoking_tar_cancer,anticommonsense,PERMUTE,no,no,1,1,124,104,,Novita,stop,0,5.834e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,175,1738,RAW,chain,3,nie,college_salary,easy,PERMUTE,no,no,1,1,108,318,,Novita,stop,0,0.00014178,content,0.0,700
meta-llama/llama-3.3-70b-instruct,176,16853,RAW,chain,3,ett,college_salary,anticommonsense,PERMUTE,yes,yes,1,1,124,324,,Novita,stop,0,0.00014634,content,0.0,700
meta-llama/llama-3.3-70b-instruct,177,20396,RAW,chain,3,det-counterfactual,orange_scurvy,anticommonsense,PERMUTE,yes,yes,1,1,99,342,,Novita,stop,0,0.000150165,content,0.0,700
meta-llama/llama-3.3-70b-instruct,178,18584,RAW,chain,3,nie,orange_scurvy,anticommonsense,PERMUTE,no,no,1,1,103,82,,Novita,stop,0,4.6705e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,179,16837,RAW,chain,3,ett,college_salary,anticommonsense,PERMUTE,no,no,1,1,124,430,,Novita,stop,0,0.00018874,content,0.0,700
meta-llama/llama-3.3-70b-instruct,180,13202,RAW,collision,1,exp_away,man_in_relationship,anticommonsense,PERMUTE,no,no,1,1,169,628,,Novita,stop,0,0.000274015,content,0.0,700
meta-llama/llama-3.3-70b-instruct,183,12365,RAW,collision,1,exp_away,elite_students,anticommonsense,PERMUTE,yes,no,0,1,188,654,,Novita,stop,0,0.00028698,content,0.0,700
meta-llama/llama-3.3-70b-instruct,184,17905,RAW,collision,1,exp_away,man_in_relationship,anticommonsense,PERMUTE,no,no,1,1,184,504,,Novita,stop,0,0.00022644,content,0.0,700
meta-llama/llama-3.3-70b-instruct,185,1926,RAW,collision,1,exp_away,elite_students,easy,PERMUTE,no,no,1,1,194,254,,Novita,stop,0,0.00012779,content,0.0,700
meta-llama/llama-3.3-70b-instruct,186,16715,RAW,collision,1,exp_away,celebrity,anticommonsense,PERMUTE,no,,0,0,168,700,,Novita,length,0,0.00030268,content,0.0,700
meta-llama/llama-3.3-70b-instruct,187,17843,RAW,collision,1,exp_away,hospitalization,anticommonsense,PERMUTE,yes,no,0,1,172,447,,Novita,stop,0,0.00020202,content,0.0,700
meta-llama/llama-3.3-70b-instruct,188,1567,RAW,collision,1,exp_away,celebrity,easy,PERMUTE,yes,no,0,1,159,627,,Novita,stop,0,0.000272265,content,0.0,700
meta-llama/llama-3.3-70b-instruct,190,6696,RAW,collision,1,exp_away,elite_students,hard,PERMUTE,no,no,1,1,194,242,,Novita,stop,0,0.00012299,content,0.0,700
meta-llama/llama-3.3-70b-instruct,195,11969,RAW,collision,1,exp_away,celebrity,anticommonsense,PERMUTE,no,no,1,1,161,565,,Novita,stop,0,0.000247735,content,0.0,700
meta-llama/llama-3.3-70b-instruct,197,6351,RAW,collision,1,exp_away,celebrity,hard,PERMUTE,no,no,1,1,159,489,,Novita,stop,0,0.000217065,content,0.0,700
meta-llama/llama-3.3-70b-instruct,198,6323,RAW,collision,1,exp_away,celebrity,hard,PERMUTE,no,no,1,1,164,561,,Novita,stop,0,0.00024654,content,0.0,700
meta-llama/llama-3.3-70b-instruct,200,6295,RAW,collision,2,collider_bias,celebrity,hard,PERMUTE,no,no,1,1,99,197,,Novita,stop,0,9.2165e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,203,17087,RAW,collision,2,collider_bias,elite_students,anticommonsense,PERMUTE,no,no,1,1,103,100,,Novita,stop,0,5.3905e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,204,12300,RAW,collision,2,collider_bias,elite_students,anticommonsense,PERMUTE,no,no,1,1,107,171,,Novita,stop,0,8.2845e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,205,7518,RAW,collision,2,collider_bias,man_in_relationship,hard,PERMUTE,no,no,1,1,99,227,,Novita,stop,0,0.000104165,content,0.0,700
meta-llama/llama-3.3-70b-instruct,206,13146,RAW,collision,2,collider_bias,man_in_relationship,anticommonsense,PERMUTE,no,no,1,1,101,111,,Novita,stop,0,5.8035e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,210,7576,RAW,collision,2,collider_bias,man_in_relationship,hard,PERMUTE,yes,yes,1,1,101,119,,Novita,stop,0,6.1235e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,212,17146,RAW,collision,2,collider_bias,elite_students,anticommonsense,PERMUTE,no,no,1,1,103,167,,Novita,stop,0,8.0705e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,214,2676,RAW,collision,2,collider_bias,hospitalization,easy,PERMUTE,yes,no,0,1,99,165,,Novita,stop,0,7.9365e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,218,6688,RAW,collision,2,collider_bias,elite_students,hard,PERMUTE,yes,no,0,1,109,194,,Novita,stop,0,9.2315e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,219,17131,RAW,collision,2,collider_bias,elite_students,anticommonsense,PERMUTE,yes,no,0,1,107,242,,Novita,stop,0,0.000111245,content,0.0,700
meta-llama/llama-3.3-70b-instruct,240,18810,RAW,confounding,2,ate,simpson_drug,anticommonsense,PERMUTE,no,no,1,1,164,603,,Novita,stop,0,0.00026334,content,0.0,700
meta-llama/llama-3.3-70b-instruct,241,8349,RAW,confounding,2,ate,simpson_drug,hard,PERMUTE,yes,,0,0,157,700,,Novita,length,0,0.000301195,content,0.0,700
meta-llama/llama-3.3-70b-instruct,246,8686,RAW,confounding,2,ate,simpson_vaccine,hard,PERMUTE,no,no,1,1,170,220,,Novita,stop,0,0.00011095,content,0.0,700
meta-llama/llama-3.3-70b-instruct,247,18761,RAW,confounding,2,ate,simpson_drug,anticommonsense,PERMUTE,yes,yes,1,1,160,269,,Novita,stop,0,0.0001292,content,0.0,700
meta-llama/llama-3.3-70b-instruct,250,3613,RAW,confounding,2,ate,simpson_drug,easy,PERMUTE,yes,yes,1,1,157,129,,Novita,stop,0,7.2795e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,251,14018,RAW,confounding,2,ate,simpson_drug,anticommonsense,PERMUTE,no,no,1,1,164,307,,Novita,stop,0,0.00014494,content,0.0,700
meta-llama/llama-3.3-70b-instruct,253,8414,RAW,confounding,2,ate,simpson_drug,hard,PERMUTE,no,no,1,1,157,596,,Novita,stop,0,0.000259595,content,0.0,700
meta-llama/llama-3.3-70b-instruct,257,8487,RAW,confounding,2,ate,simpson_hospital,hard,PERMUTE,yes,yes,1,1,164,180,,Novita,stop,0,9.414e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,258,13998,RAW,confounding,2,ate,simpson_drug,anticommonsense,PERMUTE,no,no,1,1,164,216,,Novita,stop,0,0.00010854,content,0.0,700
meta-llama/llama-3.3-70b-instruct,260,18887,RAW,confounding,3,ett,simpson_hospital,anticommonsense,PERMUTE,no,no,1,1,179,181,,Novita,stop,0,9.6565e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,261,20493,RAW,confounding,3,det-counterfactual,simpson_hospital,anticommonsense,PERMUTE,yes,yes,1,1,108,240,,Novita,stop,0,0.00011058,content,0.0,700
meta-llama/llama-3.3-70b-instruct,262,10063,RAW,confounding,3,det-counterfactual,simpson_drug,commonsense,PERMUTE,no,no,1,1,101,429,,Novita,stop,0,0.000185235,content,0.0,700
meta-llama/llama-3.3-70b-instruct,263,8718,RAW,confounding,3,ett,simpson_vaccine,hard,PERMUTE,no,no,1,1,187,617,,Novita,stop,0,0.000272045,content,0.0,700
meta-llama/llama-3.3-70b-instruct,264,10151,RAW,confounding,3,det-counterfactual,simpson_kidneystone,commonsense,PERMUTE,yes,yes,1,1,104,206,,Novita,stop,0,9.644e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,265,10167,RAW,confounding,3,det-counterfactual,simpson_vaccine,commonsense,PERMUTE,yes,no,0,1,116,208,,Novita,stop,0,9.886e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,266,20506,RAW,confounding,3,det-counterfactual,simpson_hospital,anticommonsense,PERMUTE,yes,yes,1,1,104,140,,Novita,stop,0,7.004e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,267,14177,RAW,confounding,3,ett,simpson_kidneystone,anticommonsense,PERMUTE,yes,yes,1,1,185,350,,Novita,stop,0,0.000164975,content,0.0,700
