model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error,provider,finish,reason_tok,usd,answer_from,temperature,max_tokens
deepseek/deepseek-r1,7,15133,RAW,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,no,1,1,148,6556,,Novita,stop,4470,0.0164936,reasoning,0.6,8000
deepseek/deepseek-r1,7,15133,ORACLE,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,,0,0,202,8000,,Novita,length,5451,0.0201414,,0.6,8000
deepseek/deepseek-r1,7,15133,DR_k1,IV,2,ate,water_cholera,anticommonsense,PSEUDO,no,no,1,1,201,7074,,Novita,stop,5571,0.0178257,reasoning,0.6,8000
deepseek/deepseek-r1,8,13835,RAW,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,139,4868,,Novita,stop,3339,0.0122673,reasoning,0.6,8000
deepseek/deepseek-r1,8,13835,ORACLE,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,192,4575,,Novita,stop,4275,0.0115719,content,0.6,8000
deepseek/deepseek-r1,8,13835,DR_k1,IV,2,ate,price,anticommonsense,PSEUDO,no,no,1,1,183,7993,,Novita,stop,6730,0.0201106,reasoning,0.6,8000
deepseek/deepseek-r1,10,4741,RAW,IV,2,ate,water_cholera,easy,PSEUDO,no,no,1,1,146,4504,,Novita,stop,3456,0.0113622,reasoning,0.6,8000
deepseek/deepseek-r1,10,4741,ORACLE,IV,2,ate,water_cholera,easy,PSEUDO,no,no,1,1,199,6511,,Novita,stop,5249,0.0164168,reasoning,0.6,8000
deepseek/deepseek-r1,10,4741,DR_k1,IV,2,ate,water_cholera,easy,PSEUDO,no,,0,0,199,8000,,Novita,length,6018,0.0201393,,0.6,8000
deepseek/deepseek-r1,11,9410,RAW,IV,2,ate,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,136,5545,,Novita,stop,5396,0.0139577,content,0.6,8000
deepseek/deepseek-r1,11,9410,ORACLE,IV,2,ate,tax_smoke_birthWeight,hard,PSEUDO,no,no,1,1,186,5322,,Novita,stop,4369,0.0134352,reasoning,0.6,8000
