model,lexicon,cond,item,old_pred,new_pred,old_correct,new_correct
gpt-4.1-nano,KEEP,RAW,7,no,no,1,1
gpt-4.1-nano,KEEP,RAW,8,no,no,1,1
gpt-4.1-nano,KEEP,RAW,10,no,,1,0
gpt-4.1-nano,KEEP,RAW,11,no,no,1,1
gpt-4.1-nano,KEEP,RAW,12,no,no,1,1
gpt-4.1-nano,KEEP,RAW,13,no,no,1,1
gpt-4.1-nano,KEEP,RAW,14,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,15,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,16,no,yes,1,0
gpt-4.1-nano,KEEP,RAW,17,no,yes,1,0
gpt-4.1-nano,KEEP,RAW,26,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,27,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,28,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,30,no,no,1,1
gpt-4.1-nano,KEEP,RAW,31,no,,1,0
gpt-4.1-nano,KEEP,RAW,32,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,33,no,no,1,1
gpt-4.1-nano,KEEP,RAW,34,no,yes,1,0
gpt-4.1-nano,KEEP,RAW,35,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,44,no,no,1,1
gpt-4.1-nano,KEEP,RAW,47,no,no,1,1
gpt-4.1-nano,KEEP,RAW,48,no,no,1,1
gpt-4.1-nano,KEEP,RAW,49,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,50,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,51,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,52,no,yes,1,0
gpt-4.1-nano,KEEP,RAW,53,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,54,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,55,no,no,1,1
gpt-4.1-nano,KEEP,RAW,58,no,no,1,1
gpt-4.1-nano,KEEP,RAW,59,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,60,no,no,1,1
gpt-4.1-nano,KEEP,RAW,62,no,no,1,1
gpt-4.1-nano,KEEP,RAW,63,no,no,1,1
gpt-4.1-nano,KEEP,RAW,65,no,no,0,0
gpt-4.1-nano,KEEP,RAW,75,,yes,0,1
gpt-4.1-nano,KEEP,RAW,77,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,78,no,no,1,1
gpt-4.1-nano,KEEP,RAW,79,no,no,0,0
gpt-4.1-nano,KEEP,RAW,80,no,no,1,1
gpt-4.1-nano,KEEP,RAW,81,no,no,0,0
gpt-4.1-nano,KEEP,RAW,82,no,no,1,1
gpt-4.1-nano,KEEP,RAW,83,no,no,1,1
gpt-4.1-nano,KEEP,RAW,90,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,91,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,93,no,no,1,1
gpt-4.1-nano,KEEP,RAW,96,yes,no,1,0
gpt-4.1-nano,KEEP,RAW,97,no,yes,0,1
gpt-4.1-nano,KEEP,RAW,98,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,99,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,100,yes,no,1,0
gpt-4.1-nano,KEEP,RAW,101,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,110,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,112,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,114,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,115,no,no,1,1
gpt-4.1-nano,KEEP,RAW,116,no,no,0,0
gpt-4.1-nano,KEEP,RAW,117,no,no,0,0
gpt-4.1-nano,KEEP,RAW,118,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,119,no,no,1,1
gpt-4.1-nano,KEEP,RAW,130,no,no,1,1
gpt-4.1-nano,KEEP,RAW,132,yes,no,1,0
gpt-4.1-nano,KEEP,RAW,133,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,134,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,135,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,136,no,no,1,1
gpt-4.1-nano,KEEP,RAW,137,no,no,1,1
gpt-4.1-nano,KEEP,RAW,145,no,no,0,0
gpt-4.1-nano,KEEP,RAW,146,no,no,0,0
gpt-4.1-nano,KEEP,RAW,148,no,no,0,0
gpt-4.1-nano,KEEP,RAW,149,yes,,1,0
gpt-4.1-nano,KEEP,RAW,150,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,151,no,no,0,0
gpt-4.1-nano,KEEP,RAW,152,no,no,1,1
gpt-4.1-nano,KEEP,RAW,153,yes,no,0,1
gpt-4.1-nano,KEEP,RAW,154,yes,no,1,0
gpt-4.1-nano,KEEP,RAW,155,no,no,1,1
gpt-4.1-nano,KEEP,RAW,162,no,no,1,1
gpt-4.1-nano,KEEP,RAW,164,yes,yes,1,1
gpt-4.1-nano,KEEP,RAW,167,no,no,1,1
gpt-4.1-nano,KEEP,RAW,168,yes,yes,0,0
gpt-4.1-nano,KEEP,RAW,169,no,no,1,1
gpt-4.1-nano,KEEP,RAW,170,no,no,1,1
gpt-4.1-nano,KEEP,RAW,171,no,no,1,1
gpt-4.1-nano,KEEP,RAW,172,no,no,1,1
gpt-4.1-nano,KEEP,RAW,173,yes,no,0,1
gpt-4.1-nano,PSEUDO,RAW,7,no,no,1,1
gpt-4.1-nano,PSEUDO,RAW,8,no,no,1,1
gpt-4.1-nano,PSEUDO,RAW,10,no,no,1,1
gpt-4.1-nano,PSEUDO,RAW,11,no,no,1,1
gpt-4.1-nano,PSEUDO,RAW,12,no,yes,1,0
gpt-4.1-nano,PSEUDO,RAW,13,no,no,1,1
gpt-4.1-nano,PSEUDO,RAW,14,yes,yes,1,1
gpt-4.1-nano,PSEUDO,RAW,15,yes,yes,1,1
