model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error,provider,finish,reason_tok,usd,answer_from,temperature,max_tokens
meta-llama/llama-3.3-70b-instruct,20,8239,RAW,IV,2,ate,price,hard,SYMBOL,yes,no,0,1,136,570,,Novita,stop,0,0.00024636,content,0.0,700
meta-llama/llama-3.3-70b-instruct,21,19806,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,SYMBOL,no,,0,0,130,700,,Novita,length,0,0.00029755,content,0.0,700
meta-llama/llama-3.3-70b-instruct,23,16818,RAW,IV,2,ate,cholesterol,anticommonsense,SYMBOL,no,no,1,1,138,463,,Novita,stop,0,0.00020383,content,0.0,700
meta-llama/llama-3.3-70b-instruct,24,19796,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,yes,1,1,130,571,,Novita,stop,0,0.00024595,content,0.0,700
meta-llama/llama-3.3-70b-instruct,26,6588,RAW,IV,2,ate,college_wage,hard,SYMBOL,yes,yes,1,1,130,377,,Novita,stop,0,0.00016835,content,0.0,700
meta-llama/llama-3.3-70b-instruct,29,1591,RAW,IV,2,ate,cholesterol,easy,SYMBOL,no,no,1,1,138,394,,Novita,stop,0,0.00017623,content,0.0,700
meta-llama/llama-3.3-70b-instruct,32,15108,RAW,IV,2,ate,water_cholera,anticommonsense,SYMBOL,no,no,1,1,138,563,,Novita,stop,0,0.00024383,content,0.0,700
meta-llama/llama-3.3-70b-instruct,33,18628,RAW,IV,2,ate,price,anticommonsense,SYMBOL,yes,no,0,1,136,432,,Novita,stop,0,0.00019116,content,0.0,700
meta-llama/llama-3.3-70b-instruct,34,17061,RAW,IV,2,ate,college_wage,anticommonsense,SYMBOL,yes,no,0,1,130,460,,Novita,stop,0,0.00020155,content,0.0,700
meta-llama/llama-3.3-70b-instruct,35,15152,RAW,IV,2,ate,water_cholera,anticommonsense,SYMBOL,yes,no,0,1,138,547,,Novita,stop,0,0.00023743,content,0.0,700
meta-llama/llama-3.3-70b-instruct,37,3443,RAW,IV,2,ate,price,easy,SYMBOL,no,no,1,1,136,181,,Novita,stop,0,9.076e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,39,1668,RAW,IV,2,ate,cholesterol,easy,SYMBOL,no,no,1,1,138,411,,Novita,stop,0,0.00018303,content,0.0,700
meta-llama/llama-3.3-70b-instruct,40,20200,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,SYMBOL,yes,yes,1,1,106,154,,Novita,stop,0,7.591e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,41,9719,RAW,IV,3,det-counterfactual,cholesterol,commonsense,SYMBOL,yes,yes,1,1,107,113,,Novita,stop,0,5.9645e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,42,10021,RAW,IV,3,det-counterfactual,price,commonsense,SYMBOL,no,no,1,1,108,235,,Novita,stop,0,0.00010858,content,0.0,700
meta-llama/llama-3.3-70b-instruct,43,9798,RAW,IV,3,det-counterfactual,college_wage,commonsense,SYMBOL,yes,yes,1,1,105,129,,Novita,stop,0,6.5775e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,44,10379,RAW,IV,3,det-counterfactual,water_cholera,commonsense,SYMBOL,no,no,1,1,111,126,,Novita,stop,0,6.5385e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,45,10366,RAW,IV,3,det-counterfactual,water_cholera,commonsense,SYMBOL,no,no,1,1,111,127,,Novita,stop,0,6.5785e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,46,9799,RAW,IV,3,det-counterfactual,college_wage,commonsense,SYMBOL,no,no,1,1,106,198,,Novita,stop,0,9.351e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,47,9728,RAW,IV,3,det-counterfactual,cholesterol,commonsense,SYMBOL,yes,no,0,1,108,99,,Novita,stop,0,5.418e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,48,20193,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,SYMBOL,yes,yes,1,1,107,208,,Novita,stop,0,9.7645e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,49,10313,RAW,IV,3,det-counterfactual,tax_smoke_birthWeight,commonsense,SYMBOL,no,no,1,1,108,402,,Novita,stop,0,0.00017538,content,0.0,700
