model,item,id,cond,graph_id,rung,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,9441,PROSE,IV,1,yes,yes,1,1,143,427,
gpt-4.1-nano,0,9441,DR_k1,IV,1,yes,yes,1,1,158,452,
gpt-4.1-nano,1,9342,ORACLE,IV,1,no,no,1,1,183,505,
gpt-4.1-nano,0,9441,RAW,IV,1,yes,yes,1,1,111,495,
gpt-4.1-nano,0,9441,DR_k3,IV,1,yes,yes,1,1,157,671,
gpt-4.1-nano,1,9342,PROSE,IV,1,no,no,1,1,167,569,
gpt-4.1-nano,0,9441,DR_k2,IV,1,yes,yes,1,1,151,305,
gpt-4.1-nano,0,9441,ORACLE,IV,1,yes,yes,1,1,159,313,
gpt-4.1-nano,1,9342,RAW,IV,1,no,no,1,1,121,315,
gpt-4.1-nano,2,18616,RAW,IV,1,no,no,1,1,118,335,
gpt-4.1-nano,2,18616,PROSE,IV,1,no,no,1,1,149,283,
gpt-4.1-nano,2,18616,ORACLE,IV,1,no,no,1,1,164,452,
gpt-4.1-nano,0,9441,ED_k1,IV,1,yes,yes,1,1,156,285,
gpt-4.1-nano,1,9342,FE_k2,IV,1,no,no,1,1,191,379,
gpt-4.1-nano,0,9441,ED_k3,IV,1,yes,yes,1,1,136,278,
gpt-4.1-nano,2,18616,ED_k3,IV,1,no,no,1,1,142,272,
gpt-4.1-nano,2,18616,DR_k2,IV,1,no,no,1,1,156,310,
gpt-4.1-nano,2,18616,DR_k3,IV,1,no,no,1,1,164,375,
gpt-4.1-nano,3,9402,PROSE,IV,1,yes,yes,1,1,173,310,
gpt-4.1-nano,3,9402,RAW,IV,1,yes,yes,1,1,127,225,
gpt-4.1-nano,3,9402,ORACLE,IV,1,yes,yes,1,1,189,433,
gpt-4.1-nano,3,9402,DR_k1,IV,1,yes,yes,1,1,192,334,
gpt-4.1-nano,1,9342,FE_k1,IV,1,no,no,1,1,186,502,
gpt-4.1-nano,2,18616,DR_k1,IV,1,no,no,1,1,163,449,
gpt-4.1-nano,1,9342,DR_k1,IV,1,no,no,1,1,182,473,
gpt-4.1-nano,0,9441,ED_k2,IV,1,yes,yes,1,1,139,434,
gpt-4.1-nano,1,9342,ED_k1,IV,1,no,no,1,1,178,369,
gpt-4.1-nano,0,9441,FE_k2,IV,1,yes,yes,1,1,164,512,
gpt-4.1-nano,1,9342,DR_k2,IV,1,no,no,1,1,186,623,
gpt-4.1-nano,4,28935,PROSE,IV,1,yes,yes,1,1,156,272,
gpt-4.1-nano,4,28935,RAW,IV,1,yes,yes,1,1,120,267,
gpt-4.1-nano,4,28935,ORACLE,IV,1,yes,yes,1,1,171,395,
gpt-4.1-nano,2,18616,FE_k2,IV,1,no,no,1,1,170,346,
gpt-4.1-nano,0,9441,FE_k1,IV,1,yes,yes,1,1,162,500,
gpt-4.1-nano,2,18616,ED_k2,IV,1,no,no,1,1,153,353,
gpt-4.1-nano,1,9342,ED_k3,IV,1,no,no,1,1,152,555,
gpt-4.1-nano,3,9402,DR_k2,IV,1,yes,yes,1,1,192,398,
gpt-4.1-nano,3,9402,DR_k3,IV,1,yes,yes,1,1,191,401,
gpt-4.1-nano,2,18616,FE_k1,IV,1,no,no,1,1,168,382,
gpt-4.1-nano,3,9402,ED_k3,IV,1,yes,yes,1,1,156,291,
gpt-4.1-nano,5,12007,PROSE,IV,1,yes,yes,1,1,158,422,
gpt-4.1-nano,5,12007,RAW,IV,1,yes,yes,1,1,123,272,
gpt-4.1-nano,5,12007,ORACLE,IV,1,yes,yes,1,1,173,575,
gpt-4.1-nano,5,12007,DR_k1,IV,1,yes,yes,1,1,177,486,
gpt-4.1-nano,5,12007,DR_k2,IV,1,yes,yes,1,1,179,514,
gpt-4.1-nano,3,9402,ED_k2,IV,1,yes,yes,1,1,169,361,
gpt-4.1-nano,1,9342,ED_k2,IV,1,no,no,1,1,165,660,
gpt-4.1-nano,4,28935,DR_k1,IV,1,yes,yes,1,1,172,349,
gpt-4.1-nano,3,9402,ED_k1,IV,1,yes,yes,1,1,175,422,
gpt-4.1-nano,3,9402,FE_k1,IV,1,yes,yes,1,1,192,399,
gpt-4.1-nano,2,18616,ED_k1,IV,1,no,no,1,1,161,439,
gpt-4.1-nano,6,18678,PROSE,IV,1,yes,yes,1,1,149,421,
gpt-4.1-nano,6,18678,RAW,IV,1,yes,yes,1,1,118,348,
gpt-4.1-nano,6,18678,ORACLE,IV,1,yes,yes,1,1,164,389,
gpt-4.1-nano,4,28935,DR_k3,IV,1,yes,yes,1,1,172,292,
gpt-4.1-nano,3,9402,FE_k2,IV,1,yes,yes,1,1,197,425,
gpt-4.1-nano,4,28935,ED_k2,IV,1,yes,yes,1,1,156,314,
gpt-4.1-nano,4,28935,DR_k2,IV,1,yes,yes,1,1,171,324,
gpt-4.1-nano,4,28935,ED_k3,IV,1,yes,yes,1,1,145,281,
gpt-4.1-nano,4,28935,FE_k2,IV,1,yes,yes,1,1,177,408,
gpt-4.1-nano,4,28935,ED_k1,IV,1,yes,yes,1,1,167,330,
gpt-4.1-nano,4,28935,FE_k1,IV,1,yes,yes,1,1,174,441,
gpt-4.1-nano,7,11979,PROSE,IV,2,yes,yes,1,1,184,145,
gpt-4.1-nano,7,11979,RAW,IV,2,yes,yes,1,1,149,145,
gpt-4.1-nano,7,11979,ORACLE,IV,2,yes,no,0,1,199,700,
gpt-4.1-nano,6,18678,DR_k1,IV,1,yes,yes,1,1,157,402,
gpt-4.1-nano,5,12007,ED_k1,IV,1,yes,yes,1,1,164,494,
gpt-4.1-nano,5,12007,ED_k3,IV,1,yes,yes,1,1,147,284,
gpt-4.1-nano,7,11979,DR_k3,IV,2,yes,no,0,1,205,466,
gpt-4.1-nano,5,12007,ED_k2,IV,1,yes,yes,1,1,161,569,
gpt-4.1-nano,6,18678,ED_k2,IV,1,yes,yes,1,1,150,298,
gpt-4.1-nano,5,12007,DR_k3,IV,1,yes,yes,1,1,171,484,
gpt-4.1-nano,6,18678,DR_k2,IV,1,yes,yes,1,1,156,312,
gpt-4.1-nano,5,12007,FE_k2,IV,1,yes,yes,1,1,178,537,
gpt-4.1-nano,8,23255,PROSE,IV,2,no,no,1,1,178,279,
gpt-4.1-nano,8,23255,RAW,IV,2,no,no,1,1,144,495,
gpt-4.1-nano,8,23255,ORACLE,IV,2,no,no,1,1,193,391,
gpt-4.1-nano,8,23255,DR_k1,IV,2,no,no,1,1,194,408,
gpt-4.1-nano,8,23255,DR_k3,IV,2,no,no,1,1,187,401,
gpt-4.1-nano,5,12007,FE_k1,IV,1,yes,yes,1,1,180,490,
gpt-4.1-nano,6,18678,ED_k3,IV,1,yes,yes,1,1,141,349,
gpt-4.1-nano,1,9342,DR_k3,IV,1,no,no,1,1,177,574,
gpt-4.1-nano,6,18678,FE_k2,IV,1,yes,yes,1,1,168,444,
gpt-4.1-nano,7,11979,ED_k3,IV,2,yes,no,0,1,177,206,
gpt-4.1-nano,6,18678,ED_k1,IV,1,yes,yes,1,1,162,407,
gpt-4.1-nano,9,4741,PROSE,IV,2,no,no,1,1,179,269,
gpt-4.1-nano,9,4741,RAW,IV,2,no,no,1,1,147,700,
gpt-4.1-nano,9,4741,ORACLE,IV,2,no,no,1,1,195,683,
gpt-4.1-nano,6,18678,FE_k1,IV,1,yes,yes,1,1,168,385,
gpt-4.1-nano,7,11979,ED_k1,IV,2,yes,yes,1,1,196,464,
gpt-4.1-nano,7,11979,DR_k1,IV,2,yes,no,0,1,200,547,
gpt-4.1-nano,8,23255,ED_k3,IV,2,no,yes,0,1,169,212,
gpt-4.1-nano,8,23255,ED_k2,IV,2,no,no,1,1,180,489,
gpt-4.1-nano,7,11979,ED_k2,IV,2,yes,no,0,1,187,387,
gpt-4.1-nano,7,11979,FE_k1,IV,2,yes,yes,1,1,201,478,
gpt-4.1-nano,10,9466,PROSE,IV,2,yes,yes,1,1,159,3,
gpt-4.1-nano,10,9466,RAW,IV,2,yes,yes,1,1,127,3,
gpt-4.1-nano,10,9466,ORACLE,IV,2,yes,yes,1,1,175,190,
gpt-4.1-nano,8,23255,ED_k1,IV,2,no,no,1,1,183,677,
gpt-4.1-nano,7,11979,FE_k2,IV,2,yes,yes,1,1,208,621,
gpt-4.1-nano,7,11979,DR_k2,IV,2,yes,yes,1,1,205,560,
gpt-4.1-nano,8,23255,FE_k1,IV,2,no,yes,0,1,197,411,
