model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,19800,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PERMUTE,no,no,1,1,120,229,
gpt-4.1-nano,1,4782,RAW,IV,1,correlation,water_cholera,easy,PERMUTE,no,no,1,1,113,386,
gpt-4.1-nano,2,19758,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,PERMUTE,yes,yes,1,1,125,491,
gpt-4.1-nano,3,4655,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,PERMUTE,yes,no,0,1,125,274,
gpt-4.1-nano,4,9401,RAW,IV,1,marginal,tax_smoke_birthWeight,hard,PERMUTE,no,no,1,1,122,264,
gpt-4.1-nano,5,4711,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,PERMUTE,yes,yes,1,1,128,269,
gpt-4.1-nano,6,17025,RAW,IV,1,marginal,college_wage,anticommonsense,PERMUTE,no,no,1,1,127,411,
gpt-4.1-nano,7,15193,RAW,IV,1,correlation,water_cholera,anticommonsense,PERMUTE,no,no,1,1,113,248,
gpt-4.1-nano,8,13861,RAW,IV,1,correlation,price,anticommonsense,PERMUTE,yes,yes,1,1,115,429,
gpt-4.1-nano,9,19761,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,PERMUTE,yes,yes,1,1,121,239,
gpt-4.1-nano,10,6400,RAW,IV,1,marginal,cholesterol,hard,PERMUTE,no,no,1,1,132,571,
gpt-4.1-nano,11,9438,RAW,IV,1,correlation,water_cholera,hard,PERMUTE,yes,yes,1,1,116,219,
gpt-4.1-nano,12,6402,RAW,IV,1,correlation,cholesterol,hard,PERMUTE,yes,yes,1,1,124,273,
gpt-4.1-nano,13,18644,RAW,IV,1,marginal,price,anticommonsense,PERMUTE,yes,yes,1,1,124,356,
gpt-4.1-nano,14,18624,RAW,IV,1,marginal,price,anticommonsense,PERMUTE,no,no,1,1,120,384,
gpt-4.1-nano,15,12019,RAW,IV,1,correlation,cholesterol,anticommonsense,PERMUTE,no,no,1,1,125,444,
gpt-4.1-nano,16,3469,RAW,IV,1,correlation,price,easy,PERMUTE,yes,yes,1,1,110,363,
gpt-4.1-nano,17,6363,RAW,IV,1,correlation,cholesterol,hard,PERMUTE,yes,yes,1,1,129,477,
gpt-4.1-nano,18,19821,RAW,IV,1,marginal,water_cholera,anticommonsense,PERMUTE,no,no,1,1,120,329,
gpt-4.1-nano,19,3516,RAW,IV,1,marginal,price,easy,PERMUTE,no,no,1,1,120,297,
gpt-4.1-nano,20,8239,RAW,IV,2,ate,price,hard,PERMUTE,yes,yes,1,1,142,230,
gpt-4.1-nano,21,19806,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PERMUTE,no,no,1,1,151,468,
gpt-4.1-nano,22,12014,RAW,IV,2,backadj,cholesterol,anticommonsense,PERMUTE,no,yes,0,1,137,188,
gpt-4.1-nano,23,16818,RAW,IV,2,ate,cholesterol,anticommonsense,PERMUTE,no,yes,0,1,152,430,
gpt-4.1-nano,24,19796,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,PERMUTE,yes,no,0,1,149,281,
gpt-4.1-nano,25,16984,RAW,IV,2,backadj,college_wage,anticommonsense,PERMUTE,yes,no,0,1,147,3,
gpt-4.1-nano,26,6588,RAW,IV,2,ate,college_wage,hard,PERMUTE,yes,yes,1,1,154,440,
gpt-4.1-nano,27,12201,RAW,IV,2,backadj,college_wage,anticommonsense,PERMUTE,no,no,1,1,125,3,
gpt-4.1-nano,28,8284,RAW,IV,2,backadj,price,hard,PERMUTE,yes,no,0,1,127,3,
gpt-4.1-nano,29,1591,RAW,IV,2,ate,cholesterol,easy,PERMUTE,no,no,1,1,155,237,
gpt-4.1-nano,30,4713,RAW,IV,2,backadj,tax_smoke_birthWeight,easy,PERMUTE,yes,yes,1,1,144,3,
gpt-4.1-nano,31,16813,RAW,IV,2,backadj,cholesterol,anticommonsense,PERMUTE,no,no,1,1,137,3,
gpt-4.1-nano,32,15108,RAW,IV,2,ate,water_cholera,anticommonsense,PERMUTE,no,no,1,1,149,426,
gpt-4.1-nano,33,18628,RAW,IV,2,ate,price,anticommonsense,PERMUTE,yes,no,0,1,142,234,
gpt-4.1-nano,34,17061,RAW,IV,2,ate,college_wage,anticommonsense,PERMUTE,yes,yes,1,1,145,422,
gpt-4.1-nano,35,15152,RAW,IV,2,ate,water_cholera,anticommonsense,PERMUTE,yes,no,0,1,147,172,
gpt-4.1-nano,36,1653,RAW,IV,2,backadj,cholesterol,easy,PERMUTE,yes,yes,1,1,130,3,
gpt-4.1-nano,37,3443,RAW,IV,2,ate,price,easy,PERMUTE,no,no,1,1,142,521,
gpt-4.1-nano,38,1628,RAW,IV,2,backadj,cholesterol,easy,PERMUTE,no,yes,0,1,124,137,
gpt-4.1-nano,39,1668,RAW,IV,2,ate,cholesterol,easy,PERMUTE,no,no,1,1,148,361,
gpt-4.1-nano,40,20200,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,PERMUTE,yes,yes,1,1,121,519,
gpt-4.1-nano,41,9719,RAW,IV,3,det-counterfactual,cholesterol,commonsense,PERMUTE,yes,yes,1,1,126,432,
gpt-4.1-nano,42,10021,RAW,IV,3,det-counterfactual,price,commonsense,PERMUTE,no,no,1,1,119,107,
