model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,3,4655,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,189,382,
gpt-4.1-nano,6,17025,ORACLE,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,178,409,
gpt-4.1-nano,4,9401,ORACLE,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,189,375,
gpt-4.1-nano,2,19758,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,130,304,
gpt-4.1-nano,8,13861,DR_k1,IV,1,correlation,price,anticommonsense,KEEP,yes,yes,1,1,145,600,
gpt-4.1-nano,6,17025,RAW,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,123,290,
gpt-4.1-nano,4,9401,PROSE,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,173,275,
gpt-4.1-nano,5,4711,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,127,264,
gpt-4.1-nano,8,13861,ORACLE,IV,1,correlation,price,anticommonsense,KEEP,yes,yes,1,1,151,470,
gpt-4.1-nano,2,19758,DR_k1,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,181,364,
gpt-4.1-nano,1,4782,ORACLE,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,159,353,
gpt-4.1-nano,3,4655,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,192,395,
gpt-4.1-nano,2,19758,PROSE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,175,317,
gpt-4.1-nano,10,6400,RAW,IV,1,marginal,cholesterol,hard,KEEP,no,yes,0,1,126,276,
gpt-4.1-nano,10,6400,ORACLE,IV,1,marginal,cholesterol,hard,KEEP,no,no,1,1,178,483,
gpt-4.1-nano,5,4711,DR_k1,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,188,450,
gpt-4.1-nano,0,19800,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,185,397,
gpt-4.1-nano,9,19761,DR_k1,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,no,0,1,175,674,
gpt-4.1-nano,8,13861,RAW,IV,1,correlation,price,anticommonsense,KEEP,yes,,0,0,108,700,
gpt-4.1-nano,4,9401,RAW,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,127,254,
gpt-4.1-nano,5,4711,ORACLE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,189,427,
gpt-4.1-nano,0,19800,PROSE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,169,477,
gpt-4.1-nano,5,4711,PROSE,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,173,254,
gpt-4.1-nano,2,19758,ORACLE,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,191,406,
gpt-4.1-nano,9,19761,ORACLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,185,403,
gpt-4.1-nano,8,13861,PROSE,IV,1,correlation,price,anticommonsense,KEEP,yes,yes,1,1,136,439,
gpt-4.1-nano,1,4782,PROSE,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,143,487,
gpt-4.1-nano,10,6400,DR_k1,IV,1,marginal,cholesterol,hard,KEEP,no,no,1,1,180,565,
gpt-4.1-nano,0,19800,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,124,319,
gpt-4.1-nano,4,9401,DR_k1,IV,1,marginal,tax_smoke_birthWeight,hard,KEEP,no,no,1,1,192,374,
gpt-4.1-nano,9,19761,PROSE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,yes,yes,1,1,169,438,
gpt-4.1-nano,7,15193,DR_k1,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,165,504,
gpt-4.1-nano,6,17025,PROSE,IV,1,marginal,college_wage,anticommonsense,KEEP,no,no,1,1,163,359,
gpt-4.1-nano,3,4655,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,KEEP,yes,yes,1,1,127,253,
gpt-4.1-nano,0,19800,ORACLE,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,KEEP,no,no,1,1,185,369,
gpt-4.1-nano,7,15193,ORACLE,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,167,443,
gpt-4.1-nano,1,4782,RAW,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,111,281,
gpt-4.1-nano,11,9438,ORACLE,IV,1,correlation,water_cholera,hard,KEEP,yes,yes,1,1,159,476,
gpt-4.1-nano,7,15193,RAW,IV,1,correlation,water_cholera,anticommonsense,KEEP,no,no,1,1,116,253,
