model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error,provider,finish,reason_tok,usd,answer_from,temperature,max_tokens
meta-llama/llama-3.3-70b-instruct,1,4782,RAW,IV,1,correlation,water_cholera,easy,KEEP,no,no,1,1,117,554,,Novita,stop,0,0.000237395,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,31,19218,PROSE,arrowhead,3,nde,smoke_birthWeight,anticommonsense,KEEP,no,yes,0,1,327,709,,Novita,stop,0,0.000327745,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,31,19218,RAW,arrowhead,3,nde,smoke_birthWeight,anticommonsense,KEEP,no,yes,0,1,284,1012,,Novita,stop,0,0.00044314,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,36,3303,RAW,chain,1,correlation,orange_scurvy,easy,KEEP,yes,no,0,1,112,811,,Novita,stop,0,0.00033952,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,37,3405,RAW,chain,1,correlation,orange_scurvy,easy,KEEP,yes,yes,1,1,112,1237,,Novita,stop,0,0.00050992,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,37,3405,ORACLE,chain,1,correlation,orange_scurvy,easy,KEEP,yes,yes,1,1,151,583,,Novita,stop,0,0.000253585,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,82,18797,RAW,confounding,3,ett,simpson_drug,anticommonsense,KEEP,no,yes,0,1,180,695,,Novita,stop,0,0.0003023,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,115,10764,PROSE,diamondcut,3,ett,firing_employee,anticommonsense,KEEP,no,no,1,1,254,780,,Novita,stop,0,0.00034629,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,115,10764,RAW,diamondcut,3,ett,firing_employee,anticommonsense,KEEP,no,no,1,1,224,715,,Novita,stop,0,0.00031624,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,115,10764,ORACLE,diamondcut,3,ett,firing_employee,anticommonsense,KEEP,no,no,1,1,272,825,,Novita,stop,0,0.00036672,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,117,5086,RAW,diamondcut,3,ett,firing_employee,hard,KEEP,yes,no,0,1,228,781,,Novita,stop,0,0.00034318,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,117,5086,ORACLE,diamondcut,3,ett,firing_employee,hard,KEEP,yes,no,0,1,270,605,,Novita,stop,0,0.00027845,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,117,5086,DR_k1,diamondcut,3,ett,firing_employee,hard,KEEP,yes,no,0,1,271,856,,Novita,stop,0,0.000378985,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,118,350,ORACLE,diamondcut,3,ett,firing_employee,easy,KEEP,no,yes,0,1,270,920,,Novita,stop,0,0.00040445,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,119,10718,ORACLE,diamondcut,3,ett,firing_employee,anticommonsense,KEEP,no,no,1,1,272,819,,Novita,stop,0,0.00036432,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,120,5508,RAW,fork,1,correlation,forest_fire,hard,KEEP,no,yes,0,1,127,860,,Novita,stop,0,0.000361145,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,120,5508,ORACLE,fork,1,correlation,forest_fire,hard,KEEP,no,yes,0,1,162,965,,Novita,stop,0,0.00040787,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,120,5508,DR_k1,fork,1,correlation,forest_fire,hard,KEEP,no,yes,0,1,162,1016,,Novita,stop,0,0.00042827,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,124,5480,RAW,fork,1,correlation,forest_fire,hard,KEEP,yes,,0,0,127,1500,,Novita,length,0,0.000617145,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,124,5480,ORACLE,fork,1,correlation,forest_fire,hard,KEEP,yes,no,0,1,162,1273,,Novita,stop,0,0.00053107,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,125,687,RAW,fork,1,correlation,forest_fire,easy,KEEP,no,no,1,1,127,1046,,Novita,stop,0,0.000435545,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,125,687,ORACLE,fork,1,correlation,forest_fire,easy,KEEP,no,no,1,1,162,835,,Novita,stop,0,0.00035587,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,125,687,DR_k1,fork,1,correlation,forest_fire,easy,KEEP,no,no,1,1,162,584,,Novita,stop,0,0.00025547,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,136,940,DR_k1,fork,3,ett,getting_tanned,easy,KEEP,no,no,1,1,170,595,,Novita,stop,0,0.00026095,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,142,4207,DR_k1,frontdoor,1,correlation,smoking_frontdoor,easy,KEEP,no,no,1,1,157,472,,Novita,stop,0,0.000209995,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,148,19325,RAW,frontdoor,2,ate,smoking_frontdoor,anticommonsense,KEEP,yes,yes,1,1,191,399,,Novita,stop,0,0.000185385,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,152,10229,DR_k1,frontdoor,3,det-counterfactual,smoking_frontdoor,commonsense,KEEP,no,yes,0,1,153,552,,Novita,stop,0,0.000241455,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,153,19421,ORACLE,frontdoor,3,ett,smoking_frontdoor,anticommonsense,KEEP,no,yes,0,1,242,1039,,Novita,stop,0,0.00044827,content,0.0,1500
meta-llama/llama-3.3-70b-instruct,153,19421,DR_k1,frontdoor,3,ett,smoking_frontdoor,anticommonsense,KEEP,no,no,1,1,242,1236,,Novita,stop,0,0.00052707,content,0.0,1500
