model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,19800,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,no,no,1,1,102,199,
gpt-4.1-nano,1,4782,RAW,IV,1,correlation,water_cholera,easy,IRRELEVANT,no,no,1,1,102,184,
gpt-4.1-nano,2,19758,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,yes,yes,1,1,112,138,
gpt-4.1-nano,3,4655,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,IRRELEVANT,yes,yes,1,1,109,232,
gpt-4.1-nano,4,9401,RAW,IV,1,marginal,tax_smoke_birthWeight,hard,IRRELEVANT,no,no,1,1,109,249,
gpt-4.1-nano,5,4711,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,IRRELEVANT,yes,yes,1,1,107,225,
gpt-4.1-nano,6,17025,RAW,IV,1,marginal,college_wage,anticommonsense,IRRELEVANT,no,no,1,1,109,623,
gpt-4.1-nano,7,15193,RAW,IV,1,correlation,water_cholera,anticommonsense,IRRELEVANT,no,no,1,1,102,199,
gpt-4.1-nano,8,13861,RAW,IV,1,correlation,price,anticommonsense,IRRELEVANT,yes,yes,1,1,102,228,
gpt-4.1-nano,9,19761,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,yes,yes,1,1,102,189,
gpt-4.1-nano,10,6400,RAW,IV,1,marginal,cholesterol,hard,IRRELEVANT,no,no,1,1,115,639,
gpt-4.1-nano,11,9438,RAW,IV,1,correlation,water_cholera,hard,IRRELEVANT,yes,yes,1,1,102,554,
gpt-4.1-nano,12,6402,RAW,IV,1,correlation,cholesterol,hard,IRRELEVANT,yes,yes,1,1,102,503,
gpt-4.1-nano,13,18644,RAW,IV,1,marginal,price,anticommonsense,IRRELEVANT,yes,yes,1,1,112,261,
gpt-4.1-nano,14,18624,RAW,IV,1,marginal,price,anticommonsense,IRRELEVANT,no,no,1,1,112,302,
gpt-4.1-nano,15,12019,RAW,IV,1,correlation,cholesterol,anticommonsense,IRRELEVANT,no,yes,0,1,102,291,
gpt-4.1-nano,16,3469,RAW,IV,1,correlation,price,easy,IRRELEVANT,yes,yes,1,1,102,225,
gpt-4.1-nano,17,6363,RAW,IV,1,correlation,cholesterol,hard,IRRELEVANT,yes,yes,1,1,102,199,
gpt-4.1-nano,18,19821,RAW,IV,1,marginal,water_cholera,anticommonsense,IRRELEVANT,no,no,1,1,110,285,
gpt-4.1-nano,19,3516,RAW,IV,1,marginal,price,easy,IRRELEVANT,no,no,1,1,107,270,
gpt-4.1-nano,20,8239,RAW,IV,2,ate,price,hard,IRRELEVANT,yes,no,0,1,130,163,
gpt-4.1-nano,21,19806,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,no,no,1,1,124,643,
gpt-4.1-nano,22,12014,RAW,IV,2,backadj,cholesterol,anticommonsense,IRRELEVANT,no,no,1,1,117,3,
gpt-4.1-nano,23,16818,RAW,IV,2,ate,cholesterol,anticommonsense,IRRELEVANT,no,no,1,1,133,265,
gpt-4.1-nano,24,19796,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,yes,no,0,1,124,325,
gpt-4.1-nano,25,16984,RAW,IV,2,backadj,college_wage,anticommonsense,IRRELEVANT,yes,yes,1,1,121,3,
gpt-4.1-nano,26,6588,RAW,IV,2,ate,college_wage,hard,IRRELEVANT,yes,yes,1,1,124,461,
gpt-4.1-nano,27,12201,RAW,IV,2,backadj,college_wage,anticommonsense,IRRELEVANT,no,no,1,1,117,3,
gpt-4.1-nano,28,8284,RAW,IV,2,backadj,price,hard,IRRELEVANT,yes,no,0,1,121,3,
gpt-4.1-nano,29,1591,RAW,IV,2,ate,cholesterol,easy,IRRELEVANT,no,no,1,1,132,178,
gpt-4.1-nano,30,4713,RAW,IV,2,backadj,tax_smoke_birthWeight,easy,IRRELEVANT,yes,no,0,1,121,3,
gpt-4.1-nano,31,16813,RAW,IV,2,backadj,cholesterol,anticommonsense,IRRELEVANT,no,no,1,1,117,3,
gpt-4.1-nano,32,15108,RAW,IV,2,ate,water_cholera,anticommonsense,IRRELEVANT,no,no,1,1,132,333,
gpt-4.1-nano,33,18628,RAW,IV,2,ate,price,anticommonsense,IRRELEVANT,yes,no,0,1,130,101,
gpt-4.1-nano,34,17061,RAW,IV,2,ate,college_wage,anticommonsense,IRRELEVANT,yes,no,0,1,124,156,
gpt-4.1-nano,35,15152,RAW,IV,2,ate,water_cholera,anticommonsense,IRRELEVANT,yes,no,0,1,132,439,
gpt-4.1-nano,36,1653,RAW,IV,2,backadj,cholesterol,easy,IRRELEVANT,yes,no,0,1,121,3,
gpt-4.1-nano,37,3443,RAW,IV,2,ate,price,easy,IRRELEVANT,no,no,1,1,130,171,
gpt-4.1-nano,38,1628,RAW,IV,2,backadj,cholesterol,easy,IRRELEVANT,no,no,1,1,117,3,
gpt-4.1-nano,39,1668,RAW,IV,2,ate,cholesterol,easy,IRRELEVANT,no,no,1,1,132,175,
gpt-4.1-nano,40,20200,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,IRRELEVANT,yes,yes,1,1,100,328,
gpt-4.1-nano,41,9719,RAW,IV,3,det-counterfactual,cholesterol,commonsense,IRRELEVANT,yes,yes,1,1,101,285,
gpt-4.1-nano,42,10021,RAW,IV,3,det-counterfactual,price,commonsense,IRRELEVANT,no,no,1,1,102,294,
gpt-4.1-nano,43,9798,RAW,IV,3,det-counterfactual,college_wage,commonsense,IRRELEVANT,yes,yes,1,1,99,375,
gpt-4.1-nano,44,10379,RAW,IV,3,det-counterfactual,water_cholera,commonsense,IRRELEVANT,no,no,1,1,105,485,
gpt-4.1-nano,45,10366,RAW,IV,3,det-counterfactual,water_cholera,commonsense,IRRELEVANT,no,no,1,1,105,373,
gpt-4.1-nano,46,9799,RAW,IV,3,det-counterfactual,college_wage,commonsense,IRRELEVANT,no,no,1,1,100,327,
gpt-4.1-nano,47,9728,RAW,IV,3,det-counterfactual,cholesterol,commonsense,IRRELEVANT,yes,no,0,1,102,492,
