model,item,graph_id,rung,gold,pred,correct,parsed_answer,parsed_graph,precision,recall,f1,n_reversed,n_spurious,n_missing,n_wrong_edges,exact_match,n_true
gpt-4.1-nano,0,IV,1,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,1,IV,1,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,2,IV,1,yes,yes,1,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,3,IV,1,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,4,IV,1,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,5,IV,1,yes,yes,1,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,6,IV,2,no,no,1,1,1,0.75,0.75,0.75,0,1,1,2,0,4
gpt-4.1-nano,7,IV,2,no,no,1,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-nano,8,IV,2,no,no,1,1,1,0.5,0.25,0.3333333333333333,0,1,3,4,0,4
gpt-4.1-nano,9,IV,2,yes,yes,1,1,1,1.0,0.75,0.8571428571428571,0,0,1,1,0,4
gpt-4.1-nano,10,IV,2,no,no,1,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,11,IV,2,no,no,1,1,1,0.6666666666666666,0.5,0.5714285714285715,0,1,2,3,0,4
gpt-4.1-nano,12,IV,3,no,yes,0,1,1,1.0,0.25,0.4,0,0,3,3,0,4
gpt-4.1-nano,13,IV,3,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,14,IV,3,yes,no,0,1,1,1.0,0.75,0.8571428571428571,0,0,1,1,0,4
gpt-4.1-nano,15,IV,3,yes,yes,1,1,1,1.0,0.5,0.6666666666666666,0,0,2,2,0,4
gpt-4.1-nano,16,IV,3,no,yes,0,1,1,1.0,0.75,0.8571428571428571,0,0,1,1,0,4
gpt-4.1-nano,17,IV,3,no,yes,0,1,1,1.0,1.0,1.0,0,0,0,0,1,4
gpt-4.1-nano,18,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,19,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,20,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,21,arrowhead,1,no,no,1,1,1,0.5,0.4,0.4444444444444445,1,1,2,4,0,5
gpt-4.1-nano,22,arrowhead,1,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,23,arrowhead,1,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,24,arrowhead,2,no,yes,0,1,1,1.0,0.6,0.7499999999999999,0,0,2,2,0,5
gpt-4.1-nano,25,arrowhead,2,yes,yes,1,1,1,1.0,0.4,0.5714285714285715,0,0,3,3,0,5
gpt-4.1-nano,26,arrowhead,2,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,27,arrowhead,2,yes,yes,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,28,arrowhead,2,yes,yes,1,1,0,0.0,0.0,0.0,0,0,5,5,0,5
gpt-4.1-nano,29,arrowhead,2,no,yes,0,1,1,0.75,0.6,0.6666666666666665,0,1,2,3,0,5
gpt-4.1-nano,30,arrowhead,3,no,no,1,1,0,0.0,0.0,0.0,0,0,5,5,0,5
gpt-4.1-nano,31,arrowhead,3,no,yes,0,1,1,1.0,0.8,0.888888888888889,0,0,1,1,0,5
gpt-4.1-nano,32,arrowhead,3,no,yes,0,1,1,1.0,0.8,0.888888888888889,0,0,1,1,0,5
gpt-4.1-nano,33,arrowhead,3,no,no,1,1,1,1.0,0.4,0.5714285714285715,0,0,3,3,0,5
gpt-4.1-nano,34,arrowhead,3,no,no,1,1,1,1.0,0.2,0.33333333333333337,0,0,4,4,0,5
gpt-4.1-nano,35,arrowhead,3,yes,,0,0,1,1.0,0.4,0.5714285714285715,0,0,3,3,0,5
gpt-4.1-nano,36,chain,1,yes,no,0,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,37,chain,1,yes,no,0,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,38,chain,1,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,39,chain,1,no,no,1,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,40,chain,1,no,yes,0,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,41,chain,1,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,42,chain,2,no,no,1,1,1,0.6666666666666666,1.0,0.8,0,1,0,1,0,2
gpt-4.1-nano,43,chain,2,no,yes,0,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,44,chain,2,no,no,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,45,chain,2,no,yes,0,1,1,0.6666666666666666,1.0,0.8,0,1,0,1,0,2
gpt-4.1-nano,46,chain,2,no,yes,0,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,47,chain,2,no,no,1,1,1,0.6666666666666666,1.0,0.8,0,1,0,1,0,2
gpt-4.1-nano,48,chain,3,no,no,1,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,49,chain,3,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,50,chain,3,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,51,chain,3,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,52,chain,3,no,no,1,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,53,chain,3,yes,yes,1,1,1,0.0,0.0,0.0,0,1,2,3,0,2
gpt-4.1-nano,54,collision,1,yes,no,0,1,1,0.0,0.0,0.0,1,1,1,3,0,2
gpt-4.1-nano,55,collision,1,no,no,1,1,1,0.0,0.0,0.0,1,1,1,3,0,2
gpt-4.1-nano,56,collision,1,no,no,1,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,57,collision,1,no,no,1,1,0,0.0,0.0,0.0,0,0,2,2,0,2
gpt-4.1-nano,58,collision,1,no,no,1,1,1,0.0,0.0,0.0,1,1,1,3,0,2
gpt-4.1-nano,59,collision,1,yes,yes,1,1,1,0.0,0.0,0.0,1,1,1,3,0,2
gpt-4.1-nano,60,collision,2,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-nano,61,collision,2,yes,yes,1,1,1,0.3333333333333333,0.5,0.4,1,1,0,2,0,2
gpt-4.1-nano,62,collision,2,no,no,1,1,1,1.0,0.5,0.6666666666666666,0,0,1,1,0,2
gpt-4.1-nano,63,collision,2,no,no,1,1,1,1.0,1.0,1.0,0,0,0,0,1,2
gpt-4.1-nano,64,collision,2,no,yes,0,1,1,1.0,1.0,1.0,0,0,0,0,1,2
