model,item,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error
gpt-4.1-nano,0,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,SYMBOL,no,no,1,1,102,339,
gpt-4.1-nano,1,RAW,IV,1,correlation,water_cholera,easy,SYMBOL,no,no,1,1,102,185,
gpt-4.1-nano,2,RAW,IV,1,marginal,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,yes,1,1,112,433,
gpt-4.1-nano,3,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,107,227,
gpt-4.1-nano,4,RAW,IV,1,marginal,tax_smoke_birthWeight,hard,SYMBOL,no,no,1,1,107,158,
gpt-4.1-nano,5,RAW,IV,1,marginal,tax_smoke_birthWeight,easy,SYMBOL,yes,yes,1,1,107,227,
gpt-4.1-nano,6,RAW,IV,1,marginal,college_wage,anticommonsense,SYMBOL,no,no,1,1,109,269,
gpt-4.1-nano,7,RAW,IV,1,correlation,water_cholera,anticommonsense,SYMBOL,no,no,1,1,102,314,
gpt-4.1-nano,8,RAW,IV,1,correlation,price,anticommonsense,SYMBOL,yes,yes,1,1,102,183,
gpt-4.1-nano,9,RAW,IV,1,correlation,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,yes,1,1,102,178,
gpt-4.1-nano,10,RAW,IV,1,marginal,cholesterol,hard,SYMBOL,no,no,1,1,114,370,
gpt-4.1-nano,11,RAW,IV,1,correlation,water_cholera,hard,SYMBOL,yes,yes,1,1,102,300,
gpt-4.1-nano,12,RAW,IV,1,correlation,cholesterol,hard,SYMBOL,yes,yes,1,1,102,197,
gpt-4.1-nano,13,RAW,IV,1,marginal,price,anticommonsense,SYMBOL,yes,yes,1,1,112,188,
gpt-4.1-nano,14,RAW,IV,1,marginal,price,anticommonsense,SYMBOL,no,no,1,1,112,202,
gpt-4.1-nano,15,RAW,IV,1,correlation,cholesterol,anticommonsense,SYMBOL,no,no,1,1,102,219,
gpt-4.1-nano,16,RAW,IV,1,correlation,price,easy,SYMBOL,yes,yes,1,1,102,183,
gpt-4.1-nano,17,RAW,IV,1,correlation,cholesterol,hard,SYMBOL,yes,yes,1,1,102,306,
gpt-4.1-nano,18,RAW,IV,1,marginal,water_cholera,anticommonsense,SYMBOL,no,no,1,1,110,331,
gpt-4.1-nano,19,RAW,IV,1,marginal,price,easy,SYMBOL,no,no,1,1,107,264,
gpt-4.1-nano,20,RAW,IV,2,ate,price,hard,SYMBOL,yes,yes,1,1,130,228,
gpt-4.1-nano,21,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,SYMBOL,no,no,1,1,124,495,
gpt-4.1-nano,22,RAW,IV,2,backadj,cholesterol,anticommonsense,SYMBOL,no,no,1,1,117,3,
gpt-4.1-nano,23,RAW,IV,2,ate,cholesterol,anticommonsense,SYMBOL,no,no,1,1,132,513,
gpt-4.1-nano,24,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,SYMBOL,yes,yes,1,1,124,428,
gpt-4.1-nano,25,RAW,IV,2,backadj,college_wage,anticommonsense,SYMBOL,yes,no,0,1,121,3,
gpt-4.1-nano,26,RAW,IV,2,ate,college_wage,hard,SYMBOL,yes,yes,1,1,124,369,
gpt-4.1-nano,27,RAW,IV,2,backadj,college_wage,anticommonsense,SYMBOL,no,no,1,1,117,3,
gpt-4.1-nano,28,RAW,IV,2,backadj,price,hard,SYMBOL,yes,no,0,1,121,3,
gpt-4.1-nano,29,RAW,IV,2,ate,cholesterol,easy,SYMBOL,no,no,1,1,132,208,
gpt-4.1-nano,30,RAW,IV,2,backadj,tax_smoke_birthWeight,easy,SYMBOL,yes,no,0,1,121,3,
gpt-4.1-nano,31,RAW,IV,2,backadj,cholesterol,anticommonsense,SYMBOL,no,no,1,1,117,3,
gpt-4.1-nano,32,RAW,IV,2,ate,water_cholera,anticommonsense,SYMBOL,no,no,1,1,132,356,
gpt-4.1-nano,33,RAW,IV,2,ate,price,anticommonsense,SYMBOL,yes,no,0,1,130,221,
gpt-4.1-nano,34,RAW,IV,2,ate,college_wage,anticommonsense,SYMBOL,yes,no,0,1,124,384,
gpt-4.1-nano,35,RAW,IV,2,ate,water_cholera,anticommonsense,SYMBOL,yes,yes,1,1,132,507,
gpt-4.1-nano,36,RAW,IV,2,backadj,cholesterol,easy,SYMBOL,yes,no,0,1,121,3,
