family,model,lexicon,cond,needs_probabilities,path,n,accuracy_pct,says_yes_pct
llama,meta-llama/llama-3.3-70b-instruct,KEEP,ORACLE,False,False,283,91.52,8.48
llama,meta-llama/llama-3.3-70b-instruct,KEEP,ORACLE,True,True,231,99.13,43.72
llama,meta-llama/llama-3.3-70b-instruct,KEEP,RAW,False,False,283,56.89,43.11
llama,meta-llama/llama-3.3-70b-instruct,KEEP,RAW,True,True,225,99.56,44.44
llama,all,KEEP,ORACLE,False,False,283,91.52,8.48
llama,all,KEEP,ORACLE,True,True,231,99.13,43.72
llama,all,KEEP,RAW,False,False,283,56.89,43.11
llama,all,KEEP,RAW,True,True,225,99.56,44.44
llama,meta-llama/llama-3.3-70b-instruct,PSEUDO,DR_k1,False,False,277,83.39,16.61
llama,meta-llama/llama-3.3-70b-instruct,PSEUDO,DR_k1,True,True,232,100.0,45.26
llama,meta-llama/llama-3.3-70b-instruct,PSEUDO,ORACLE,False,False,279,96.06,3.94
llama,meta-llama/llama-3.3-70b-instruct,PSEUDO,ORACLE,True,True,227,99.56,44.49
llama,meta-llama/llama-3.3-70b-instruct,PSEUDO,RAW,False,False,279,68.46,31.54
llama,meta-llama/llama-3.3-70b-instruct,PSEUDO,RAW,True,True,231,99.57,44.59
llama,all,PSEUDO,DR_k1,False,False,277,83.39,16.61
llama,all,PSEUDO,DR_k1,True,True,232,100.0,45.26
llama,all,PSEUDO,ORACLE,False,False,279,96.06,3.94
llama,all,PSEUDO,ORACLE,True,True,227,99.56,44.49
llama,all,PSEUDO,RAW,False,False,279,68.46,31.54
llama,all,PSEUDO,RAW,True,True,231,99.57,44.59
gpt,gpt-4.1-nano,KEEP,ORACLE,False,False,283,92.23,7.77
gpt,gpt-4.1-nano,KEEP,ORACLE,True,True,205,93.17,48.29
gpt,gpt-4.1-nano,KEEP,RAW,False,False,283,80.57,19.43
gpt,gpt-4.1-nano,KEEP,RAW,True,True,218,96.79,46.79
gpt,gpt-4.1-mini,KEEP,ORACLE,False,False,283,98.59,1.41
gpt,gpt-4.1-mini,KEEP,ORACLE,True,True,205,97.07,43.41
gpt,gpt-4.1-mini,KEEP,RAW,False,False,283,81.98,18.02
gpt,gpt-4.1-mini,KEEP,RAW,True,True,236,97.46,44.49
gpt,gpt-4.1,KEEP,ORACLE,False,False,283,99.29,0.71
gpt,gpt-4.1,KEEP,ORACLE,True,True,234,100.0,45.3
gpt,gpt-4.1,KEEP,RAW,False,False,281,88.97,11.03
gpt,gpt-4.1,KEEP,RAW,True,True,237,100.0,45.15
gpt,all,KEEP,ORACLE,False,False,849,96.7,3.3
gpt,all,KEEP,ORACLE,True,True,644,96.89,45.65
gpt,all,KEEP,RAW,False,False,847,83.83,16.17
gpt,all,KEEP,RAW,True,True,691,98.12,45.44
gpt,gpt-4.1-nano,PSEUDO,DR_k1,False,False,283,84.81,15.19
gpt,gpt-4.1-nano,PSEUDO,DR_k1,True,True,213,94.37,43.66
gpt,gpt-4.1-nano,PSEUDO,ORACLE,False,False,283,94.35,5.65
gpt,gpt-4.1-nano,PSEUDO,ORACLE,True,True,208,91.35,46.15
gpt,gpt-4.1-nano,PSEUDO,RAW,False,False,282,93.26,6.74
gpt,gpt-4.1-nano,PSEUDO,RAW,True,True,235,100.0,44.68
gpt,gpt-4.1-mini,PSEUDO,DR_k1,False,False,283,94.7,5.3
gpt,gpt-4.1-mini,PSEUDO,DR_k1,True,True,211,89.1,34.6
gpt,gpt-4.1-mini,PSEUDO,ORACLE,False,False,283,100.0,0.0
gpt,gpt-4.1-mini,PSEUDO,ORACLE,True,True,208,98.56,43.75
gpt,gpt-4.1-mini,PSEUDO,RAW,False,False,272,99.63,0.37
gpt,gpt-4.1-mini,PSEUDO,RAW,True,True,235,100.0,45.53
gpt,gpt-4.1,PSEUDO,DR_k1,False,False,283,94.35,5.65
gpt,gpt-4.1,PSEUDO,DR_k1,True,True,230,88.7,33.91
gpt,gpt-4.1,PSEUDO,ORACLE,False,False,283,100.0,0.0
gpt,gpt-4.1,PSEUDO,ORACLE,True,True,230,99.57,45.22
gpt,gpt-4.1,PSEUDO,RAW,False,False,245,93.88,6.12
gpt,gpt-4.1,PSEUDO,RAW,True,True,237,100.0,45.15
gpt,all,PSEUDO,DR_k1,False,False,849,91.28,8.72
gpt,all,PSEUDO,DR_k1,True,True,654,90.67,37.31
gpt,all,PSEUDO,ORACLE,False,False,849,98.12,1.88
gpt,all,PSEUDO,ORACLE,True,True,646,96.59,45.05
gpt,all,PSEUDO,RAW,False,False,799,95.62,4.38
gpt,all,PSEUDO,RAW,True,True,707,100.0,45.12
