model,item,id,cond,graph_id,rung,query_type,story_id,question_property,lexicon,gold,pred,correct,parsed,in_tok,out_tok,error,provider,finish,reason_tok,usd,answer_from,temperature,max_tokens
meta-llama/llama-3.3-70b-instruct,20,8239,RAW,IV,2,ate,price,hard,IRRELEVANT,yes,yes,1,1,136,441,,Novita,stop,0,0.00019476,content,0.0,700
meta-llama/llama-3.3-70b-instruct,21,19806,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,no,no,1,1,130,400,,Novita,stop,0,0.00017755,content,0.0,700
meta-llama/llama-3.3-70b-instruct,23,16818,RAW,IV,2,ate,cholesterol,anticommonsense,IRRELEVANT,no,no,1,1,139,624,,Novita,stop,0,0.000268365,content,0.0,700
meta-llama/llama-3.3-70b-instruct,24,19796,RAW,IV,2,ate,tax_smoke_birthWeight,anticommonsense,IRRELEVANT,yes,no,0,1,130,581,,Novita,stop,0,0.00024995,content,0.0,700
meta-llama/llama-3.3-70b-instruct,26,6588,RAW,IV,2,ate,college_wage,hard,IRRELEVANT,yes,yes,1,1,130,404,,Novita,stop,0,0.00017915,content,0.0,700
meta-llama/llama-3.3-70b-instruct,29,1591,RAW,IV,2,ate,cholesterol,easy,IRRELEVANT,no,no,1,1,138,594,,Novita,stop,0,0.00025623,content,0.0,700
meta-llama/llama-3.3-70b-instruct,32,15108,RAW,IV,2,ate,water_cholera,anticommonsense,IRRELEVANT,no,no,1,1,138,606,,Novita,stop,0,0.00026103,content,0.0,700
meta-llama/llama-3.3-70b-instruct,33,18628,RAW,IV,2,ate,price,anticommonsense,IRRELEVANT,yes,no,0,1,136,339,,Novita,stop,0,0.00015396,content,0.0,700
meta-llama/llama-3.3-70b-instruct,34,17061,RAW,IV,2,ate,college_wage,anticommonsense,IRRELEVANT,yes,no,0,1,131,442,,Novita,stop,0,0.000194485,content,0.0,700
meta-llama/llama-3.3-70b-instruct,35,15152,RAW,IV,2,ate,water_cholera,anticommonsense,IRRELEVANT,yes,no,0,1,138,394,,Novita,stop,0,0.00017623,content,0.0,700
meta-llama/llama-3.3-70b-instruct,37,3443,RAW,IV,2,ate,price,easy,IRRELEVANT,no,no,1,1,136,199,,Novita,stop,0,9.796e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,39,1668,RAW,IV,2,ate,cholesterol,easy,IRRELEVANT,no,no,1,1,138,510,,Novita,stop,0,0.00022263,content,0.0,700
meta-llama/llama-3.3-70b-instruct,40,20200,RAW,IV,3,det-counterfactual,college_wage,anticommonsense,IRRELEVANT,yes,yes,1,1,106,340,,Novita,stop,0,0.00015031,content,0.0,700
meta-llama/llama-3.3-70b-instruct,41,9719,RAW,IV,3,det-counterfactual,cholesterol,commonsense,IRRELEVANT,yes,yes,1,1,107,199,,Novita,stop,0,9.4045e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,42,10021,RAW,IV,3,det-counterfactual,price,commonsense,IRRELEVANT,no,no,1,1,108,171,,Novita,stop,0,8.298e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,43,9798,RAW,IV,3,det-counterfactual,college_wage,commonsense,IRRELEVANT,yes,yes,1,1,105,122,,Novita,stop,0,6.2975e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,44,10379,RAW,IV,3,det-counterfactual,water_cholera,commonsense,IRRELEVANT,no,no,1,1,111,474,,Novita,stop,0,0.000204585,content,0.0,700
meta-llama/llama-3.3-70b-instruct,45,10366,RAW,IV,3,det-counterfactual,water_cholera,commonsense,IRRELEVANT,no,no,1,1,111,224,,Novita,stop,0,0.000104585,content,0.0,700
meta-llama/llama-3.3-70b-instruct,46,9799,RAW,IV,3,det-counterfactual,college_wage,commonsense,IRRELEVANT,no,no,1,1,106,200,,Novita,stop,0,9.431e-05,content,0.0,700
meta-llama/llama-3.3-70b-instruct,47,9728,RAW,IV,3,det-counterfactual,cholesterol,commonsense,IRRELEVANT,yes,no,0,1,108,223,,Novita,stop,0,0.00010378,content,0.0,700
